연도,학교,기숙사 수용률,2023기준 존재여부
2022,장로회신학대학교 ,32.6,False
2022,전남대학교 ,22.5,False
2022,전남대학교 _제2캠퍼스,34.9,False
2022,전북대학교 ,25.1,False
2022,전주교육대학교 ,41.8,False
2022,전주대학교 ,17.0,False
2022,제주국제대학교 ,28.7,False
2022,제주대학교 ,20.7,False
2022,조선대학교 ,12.7,False
2022,중부대학교 ,22.7,False
2022,중앙대학교 ,12.9,False
2022,중앙대학교 _제2캠퍼스,38.9,False
2022,중앙승가대학교 ,194.5,False
2022,중원대학교 ,82.0,False
2022,진주교육대학교 ,10.0,False
2022,차의과학대학교 ,23.3,False
2022,창신대학교 ,52.0,False
2022,청운대학교 ,18.9,False
2022,청주교육대학교 ,40.0,False
2022,청주대학교 ,21.3,False
2022,초당대학교 ,37.4,False
2022,총신대학교 ,55.4,False
2022,추계예술대학교 ,13.4,False
2022,춘천교육대학교 ,59.3,False
2022,충남대학교 ,24.2,False
2022,충북대학교 ,27.1,False
2022,칼빈대학교 ,52.2,False
2022,평택대학교 ,33.4,False
2022,포항공과대학교 ,97.6,False
2022,한경국립대학교 ,25.2,False
2022,한국공학대학교 ,36.5,False
2022,한국과학기술원 ,59.5,False
2022,한국교원대학교 ,60.8,False
2022,한국국제대학교 ,236.0,False
2022,한국기술교육대학교 ,80.4,False
2022,한국성서대학교 ,15.7,False
2022,한국에너지공과대학교 ,74.7,False
2022,한국예술종합학교 ,9.1,False
2022,한국외국어대학교 ,18.8,False
2022,한국전통문화대학교 ,87.5,False
2022,한국체육대학교 ,37.0,False
2022,한국침례신학대학교 ,37.8,False
2022,한국항공대학교 ,17.1,False
2022,한남대학교 ,12.9,False
2022,한동대학교 ,80.1,False
2022,한라대학교 ,20.2,False
2022,한림대학교 ,34.1,False
2022,한서대학교 ,30.3,False
2022,한성대학교 ,12.4,False
2022,한세대학교 ,14.4,False
2022,한신대학교 ,15.1,False
2022,한양대학교 ,11.4,False
2022,한양대학교(ERICA) _분교,26.4,False
2022,한일장신대학교 ,21.5,False
2022,협성대학교 ,11.7,False
2022,호남대학교 ,21.8,False
2022,호남신학대학교 ,35.9,False
2022,호서대학교 ,27.4,False
2022,호원대학교 ,37.7,False
2022,홍익대학교 ,13.2,False
2022,홍익대학교 _제2캠퍼스,24.9,False
2022,화성의과학대학교 ,27.8,False
2021,가야대학교(김해) ,32.6,False
2021,가천대학교 ,11.5,False
2021,가톨릭관동대학교 ,34.4,False
2021,가톨릭꽃동네대학교 ,46.0,False
2021,가톨릭대학교 ,16.7,False
2021,가톨릭대학교 _제2캠퍼스,5.2,False
2021,가톨릭대학교 _제3캠퍼스,103.7,False
2021,감리교신학대학교 ,22.6,False
2021,강남대학교 ,13.9,False
2021,강서대학교 ,5.8,False
2021,강원대학교 ,28.4,False
2021,강원대학교 _제2캠퍼스,44.8,False
2021,건국대학교 ,18.9,False
2021,건국대학교(글로컬) _분교,31.8,False
2021,건양대학교 ,35.4,False
2021,건양대학교 _제2캠퍼스,31.4,False
2021,경기대학교 ,17.9,False
2021,경기대학교 _제2캠퍼스,0.0,False
2021,경남대학교 ,14.7,False
2021,경동대학교 ,47.4,False
2021,경동대학교 _제3캠퍼스,25.5,False
2021,경동대학교 _제4캠퍼스,17.9,False
2021,경북대학교 ,27.5,False
2021,경상국립대학교 ,24.1,False
2021,경성대학교 ,11.3,False
2021,경운대학교 ,33.9,False
2021,경인교육대학교 ,34.6,False
2021,경인교육대학교 _제2캠퍼스,52.0,False
2021,경일대학교 ,23.1,False
2021,경희대학교 ,17.1,False
2021,계명대학교 ,13.7,False
2021,고려대학교 ,12.2,False
2021,고려대학교(세종) _분교,35.8,False
2021,고신대학교 ,37.3,False
2021,공주교육대학교 ,43.8,False
2021,광신대학교 ,0.0,False
2021,광운대학교 ,12.0,False
2021,광주가톨릭대학교 ,204.6,False
2021,광주과학기술원 ,105.2,False
2021,광주교육대학교 ,37.4,False
2021,광주대학교 ,28.4,False
2021,광주여자대학교 ,14.5,False
2021,국립강릉원주대학교 ,26.4,False
2021,국립강릉원주대학교 _제2캠퍼스,29.3,False
2021,국립경국대학교 ,31.2,False
2021,국립공주대학교 ,31.8,False
2021,국립군산대학교 ,21.6,False
2021,국립금오공과대학교 ,47.1,False
2021,국립목포대학교 ,25.8,False
2021,국립목포해양대학교 ,93.9,False
2021,국립부경대학교 ,23.8,False
2021,국립순천대학교 ,30.4,False
2021,국립창원대학교 ,25.1,False
