연도,학교,총 강좌 수,소규모 강좌 비율,대형 강좌 비율,평균 강좌 규모 점수
2010.0,대구가톨릭대학교 ,2464,0.3173701298701298,0.0,37.4
2010.0,대구가톨릭대학교 _제2캠퍼스,43,0.5581395348837209,0.0,18.8
2010.0,대구가톨릭대학교 _제3캠퍼스,43,0.0,0.0,42.6
2010.0,대구교육대학교 ,624,0.1217948717948717,0.0064102564102564,29.3
2010.0,대구대학교 ,3484,0.2545924225028703,0.0045924225028702,39.1
2010.0,대구대학교 _제2캠퍼스,26,0.2307692307692307,0.0,25.4
2010.0,대구사이버대학교 ,256,0.10546875,0.0234375,95.5
2010.0,대구예술대학교 ,812,0.8386699507389163,0.0,14.5
2010.0,대구외국어대학교 ,88,0.6477272727272727,0.0,19.9
2010.0,대구한의대학교 ,1334,0.2706146926536731,0.0022488755622188,43.8
2010.0,대신대학교 ,229,0.5851528384279476,0.0043668122270742,22.0
2010.0,대전가톨릭대학교 ,36,0.0277777777777777,0.0,29.4
2010.0,대전대학교 ,2244,0.230837789661319,0.0,33.6
2010.0,대전신학대학교 ,80,0.525,0.0,24.6
2010.0,대진대학교 ,1946,0.3884892086330935,0.0056526207605344,30.3
2010.0,덕성여자대학교 ,1037,0.2777242044358727,0.0009643201542912,35.2
2010.0,동국대학교 ,2216,0.1800541516245487,0.0031588447653429,43.3
2010.0,동국대학교(WISE) _분교,1633,0.2320881812614819,0.0012247397428046,39.5
2010.0,동덕여자대학교 ,1510,0.3006622516556291,0.0026490066225165,33.5
2010.0,동명대학교 ,1544,0.1528497409326424,0.0025906735751295,35.6
2010.0,동서대학교 ,2297,0.2699172834131476,0.0043535045711798,37.3
2010.0,동신대학교 ,1471,0.2426920462270564,0.000679809653297,34.7
2010.0,동아대학교 ,3450,0.2060869565217391,0.0023188405797101,41.0
2010.0,동양대학교 ,602,0.1677740863787375,0.0,38.6
2010.0,동의대학교 ,4427,0.4230856110232663,0.0002258866049243,31.0
2010.0,디지털서울문화예술대학교 ,240,0.0333333333333333,0.1708333333333333,105.4
2010.0,루터대학교 ,179,0.4301675977653631,0.0,26.3
2010.0,명신대학교 ,337,0.7922848664688428,0.0,17.9
2010.0,명지대학교 ,1432,0.2555865921787709,0.0055865921787709,34.8
2010.0,명지대학교 _제2캠퍼스,967,0.0982419855222337,0.0134436401240951,49.8
2010.0,목원대학교 ,2988,0.5153949129852744,0.0043507362784471,27.3
2010.0,목포가톨릭대학교 ,107,0.4205607476635514,0.0,45.3
2010.0,배재대학교 ,2251,0.3278542869835628,0.0035539760106619,30.2
2010.0,백석대학교 ,3497,0.4235058621675722,0.0,31.3
2010.0,부산가톨릭대학교 ,692,0.2080924855491329,0.0014450867052023,39.5
2010.0,부산교육대학교 ,694,0.0893371757925072,0.0014409221902017,28.8
2010.0,부산대학교 ,4499,0.3154034229828851,0.0004445432318292,33.3
2010.0,부산디지털대학교 ,130,0.1153846153846153,0.0,84.8
2010.0,부산외국어대학교 ,1592,0.2374371859296482,0.0050251256281407,34.3
2010.0,부산장신대학교 ,83,0.3253012048192771,0.0,33.3
2010.0,사이버한국외국어대학교 ,171,0.0116959064327485,0.3508771929824561,157.1
2010.0,삼육대학교 ,1816,0.3072687224669603,0.0044052863436123,30.8
2010.0,상명대학교 ,1555,0.382636655948553,0.0006430868167202,34.9
2010.0,상명대학교(천안) _분교,1339,0.1964152352501867,0.0007468259895444,41.1
2010.0,상지대학교 ,1480,0.2222972972972973,0.0013513513513513,42.5
2010.0,서강대학교 ,1194,0.2680067001675041,0.0016750418760469,42.9
2010.0,서경대학교 ,1553,0.4256278171281391,0.0,28.6
2010.0,서남대학교 ,383,0.5274151436031331,0.0,30.4
2010.0,서남대학교 _제2캠퍼스,181,0.5082872928176796,0.0,30.5
2010.0,서울과학기술대학교(산업대) ,2658,0.2520692249811889,0.0022573363431151,29.4
2010.0,서울교육대학교 ,673,0.1069836552748885,0.0,28.2
2010.0,서울기독대학교 ,222,0.4729729729729729,0.0045045045045045,26.3
2010.0,서울대학교 ,6591,0.6785009861932939,0.0016689424973448,23.0
2010.0,서울디지털대학교 ,407,0.0098280098280098,0.2751842751842752,132.9
2010.0,서울사이버대학교 ,326,0.0153374233128834,0.2607361963190184,148.6
2010.0,서울시립대학교 ,1682,0.302615933412604,0.0005945303210463,32.3
2010.0,서울신학대학교 ,507,0.2761341222879684,0.0,41.4
2010.0,서울여자대학교 ,1474,0.3297150610583446,0.0128900949796472,34.8
2010.0,서울장신대학교 ,180,0.5444444444444444,0.0,24.5
2010.0,서울한영대학교 ,276,0.6702898550724637,0.0,21.4
2010.0,서원대학교 ,1494,0.3734939759036144,0.0127175368139223,34.9
2010.0,선교청대학교 ,114,0.8245614035087719,0.0,13.5
2010.0,선문대학교 ,1953,0.2524321556579621,0.007168458781362,33.4
2010.0,성결대학교 ,1201,0.3363863447127393,0.0,31.4
2010.0,성공회대학교 ,514,0.3793774319066147,0.0038910505836575,29.9
2010.0,성균관대학교 ,2404,0.1880199667221297,0.0178868552412645,49.5
2010.0,성신여자대학교 ,2185,0.3427917620137299,0.0036613272311212,33.8
2010.0,세명대학교 ,1567,0.1021059349074665,0.0006381620931716,39.6
2010.0,세종대학교 ,1800,0.2094444444444444,0.0011111111111111,38.5
2010.0,세종사이버대학교 ,248,0.0241935483870967,0.0967741935483871,115.2
2010.0,세한대학교 ,1702,0.6163337250293772,0.0029377203290246,21.7
2010.0,수도침례신학교 ,0,,,
2010.0,수원가톨릭대학교 ,40,0.175,0.0,26.5
