통합_대학별_취업현황,,,,,,,,,,,,,,,,,,,,,,
기준년도,학교명,졸업자,취업률(%),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2010,가야대학교,43,64.1,,,,,,,,,,,,,,,,,,,
,대구예술대학교,212,22,,,,,,,,,,,,,,,,,,,
,대구외국어대학교,41,34.3,,,,,,,,,,,,,,,,,,,
,대구한의대학교,"1,287",54.7,,,,,,,,,,,,,,,,,,,
,대신대학교,154,29.2,,,,,,,,,,,,,,,,,,,
,대전가톨릭대학교,13,0,,,,,,,,,,,,,,,,,,,
,대전대학교,"1,866",50.3,,,,,,,,,,,,,,,,,,,
,대전신학교,65,12.7,,,,,,,,,,,,,,,,,,,
,대진대학교,"1,458",42.2,,,,,,,,,,,,,,,,,,,
,덕성여자대학교,"1,242",45.8,,,,,,,,,,,,,,,,,,,
,동국대학교,"2,425",45.9,,,,,,,,,,,,,,,,,,,
,동국대학교(WISE) _분교,"2,009",54.3,,,,,,,,,,,,,,,,,,,
,동덕여자대학교,"1,549",42.4,,,,,,,,,,,,,,,,,,,
,동명대학교,510,56.6,,,,,,,,,,,,,,,,,,,
,동명정보대학교,850,48.7,,,,,,,,,,,,,,,,,,,
,동서대학교,"2,077",57,,,,,,,,,,,,,,,,,,,
,동신대학교,"1,317",62.5,,,,,,,,,,,,,,,,,,,
,동아대학교,"4,299",49.8,,,,,,,,,,,,,,,,,,,
,동양대학교,680,54.2,,,,,,,,,,,,,,,,,,,
,동의대학교,"3,198",55.2,,,,,,,,,,,,,,,,,,,
,루터대학교,33,33.3,,,,,,,,,,,,,,,,,,,
,명신대학교,223,48.8,,,,,,,,,,,,,,,,,,,
,명지대학교,"1,369",52.5,,,,,,,,,,,,,,,,,,,
,명지대학교 _제2캠퍼스,"1,284",52.2,,,,,,,,,,,,,,,,,,,
,목원대학교,"1,837",35.8,,,,,,,,,,,,,,,,,,,
,목포가톨릭대학교,148,69,,,,,,,,,,,,,,,,,,,
,배재대학교,"1,793",41.2,,,,,,,,,,,,,,,,,,,
,백석대학교,"2,517",43.7,,,,,,,,,,,,,,,,,,,
,부산가톨릭대학교,932,56.6,,,,,,,,,,,,,,,,,,,
,부산교육대학교,591,44.8,,,,,,,,,,,,,,,,,,,
,부산대학교,"4,344",51.5,,,,,,,,,,,,,,,,,,,
,부산외국어대학교,"1,554",40.8,,,,,,,,,,,,,,,,,,,
,부산장신대학교,77,45.9,,,,,,,,,,,,,,,,,,,
,삼육대학교,875,50.1,,,,,,,,,,,,,,,,,,,
,상명대학교,"1,426",39.8,,,,,,,,,,,,,,,,,,,
,상명대학교(천안) _분교,"1,143",40.7,,,,,,,,,,,,,,,,,,,
,상주대학교,34,61.8,,,,,,,,,,,,,,,,,,,
,상지대학교,"1,567",49.6,,,,,,,,,,,,,,,,,,,
,서강대학교,"1,638",63.7,,,,,,,,,,,,,,,,,,,
,서경대학교,"1,296",44.6,,,,,,,,,,,,,,,,,,,
,서남대학교,395,66.9,,,,,,,,,,,,,,,,,,,
,서남대학교 _제2캠퍼스,84,47,,,,,,,,,,,,,,,,,,,
,서울과학기술대학교(산업대),"3,056",69.4,,,,,,,,,,,,,,,,,,,
,서울교육대학교,551,51.6,,,,,,,,,,,,,,,,,,,
,서울기독대학교,124,38.4,,,,,,,,,,,,,,,,,,,
,서울대학교,"3,683",54.2,,,,,,,,,,,,,,,,,,,
,서울시립대학교,"1,595",61.1,,,,,,,,,,,,,,,,,,,
,서울신학대학교,533,41.4,,,,,,,,,,,,,,,,,,,
,서울여자대학교,"1,546",49.2,,,,,,,,,,,,,,,,,,,
,서울장신대학교,115,17.6,,,,,,,,,,,,,,,,,,,
,서울한영대학교,170,35.6,,,,,,,,,,,,,,,,,,,
,서원대학교,"1,382",34.1,,,,,,,,,,,,,,,,,,,
,선교청대학교,19,38.5,,,,,,,,,,,,,,,,,,,
,선문대학교,"1,531",49.7,,,,,,,,,,,,,,,,,,,
,성결대학교,"1,152",45.8,,,,,,,,,,,,,,,,,,,
,성공회대학교,444,45.4,,,,,,,,,,,,,,,,,,,
,성균관대학교,"4,101",65.2,,,,,,,,,,,,,,,,,,,
,성신여자대학교,"2,153",43.1,,,,,,,,,,,,,,,,,,,
,세명대학교,"1,732",51.6,,,,,,,,,,,,,,,,,,,
,세종대학교,"2,305",44.1,,,,,,,,,,,,,,,,,,,
,세한대학교,798,47.4,,,,,,,,,,,,,,,,,,,
,수도침례신학교,5,25,,,,,,,,,,,,,,,,,,,
,수원가톨릭대학교,33,0,,,,,,,,,,,,,,,,,,,
,수원대학교,"2,337",43.9,,,,,,,,,,,,,,,,,,,
,숙명여자대학교,"2,019",57.9,,,,,,,,,,,,,,,,,,,
,순천향대학교,"2,227",50.7,,,,,,,,,,,,,,,,,,,
,숭실대학교,"2,336",61.5,,,,,,,,,,,,,,,,,,,
,신경주대학교,873,50.1,,,,,,,,,,,,,,,,,,,
,신라대학교,"1,876",49,,,,,,,,,,,,,,,,,,,
,아신대학교,227,16.3,,,,,,,,,,,,,,,,,,,
,아주대학교,"1,803",64.3,,,,,,,,,,,,,,,,,,,
,안양대학교,996,49.9,,,,,,,,,,,,,,,,,,,
,안양대학교 _제2캠퍼스,89,58,,,,,,,,,,,,,,,,,,,
,연세대학교,"4,001",64,,,,,,,,,,,,,,,,,,,
,연세대학교(미래) _분교,"1,760",57.5,,,,,,,,,,,,,,,,,,,
,영남대학교,"5,211",53.2,,,,,,,,,,,,,,,,,,,
,영남신학대학교,122,32.2,,,,,,,,,,,,,,,,,,,
,영산대학교,246,77.2,,,,,,,,,,,,,,,,,,,
,영산대학교 _제2캠퍼스,167,61.6,,,,,,,,,,,,,,,,,,,
,영산대학교(산업대),387,42.2,,,,,,,,,,,,,,,,,,,
,영산대학교(산업대) _제2캠퍼스,470,40.7,,,,,,,,,,,,,,,,,,,
,영산선학대학교,10,50,,,,,,,,,,,,,,,,,,,
,예수대학교,137,69.2,,,,,,,,,,,,,,,,,,,
,예원예술대학교,157,52.2,,,,,,,,,,,,,,,,,,,
,용인대학교,"1,494",43.3,,,,,,,,,,,,,,,,,,,
,우석대학교,"1,625",52.2,,,,,,,,,,,,,,,,,,,
,우송대학교,"1,439",56.9,,,,,,,,,,,,,,,,,,,
,울산과학기술원,0,0,,,,,,,,,,,,,,,,,,,
,울산대학교,"2,771",61.1,,,,,,,,,,,,,,,,,,,
,원광대학교,"3,591",44.8,,,,,,,,,,,,,,,,,,,
,위덕대학교,572,57.9,,,,,,,,,,,,,,,,,,,
,유원대학교,450,52.9,,,,,,,,,,,,,,,,,,,
,을지대학교,244,75,,,,,,,,,,,,,,,,,,,
,을지대학교 _제2캠퍼스,193,88.6,,,,,,,,,,,,,,,,,,,
,이화여자대학교,"3,529",53,,,,,,,,,,,,,,,,,,,
,인제대학교,"2,024",58,,,,,,,,,,,,,,,,,,,
,인제대학교 _제2캠퍼스,253,87.7,,,,,,,,,,,,,,,,,,,
,인천가톨릭대학교,68,16,,,,,,,,,,,,,,,,,,,
,인천대학교,"1,415",54.5,,,,,,,,,,,,,,,,,,,
,인하대학교,"4,011",58.7,,,,,,,,,,,,,,,,,,,
,장로회신학대학교,152,7.4,,,,,,,,,,,,,,,,,,,
,전남대학교,"3,632",46.6,,,,,,,,,,,,,,,,,,,
,전남대학교 _제2캠퍼스,752,44.6,,,,,,,,,,,,,,,,,,,
,전북대학교,"3,597",52.2,,,,,,,,,,,,,,,,,,,
,전주교육대학교,429,61.3,,,,,,,,,,,,,,,,,,,
,전주대학교,"2,110",60,,,,,,,,,,,,,,,,,,,
,제주교육대학교,165,44.7,,,,,,,,,,,,,,,,,,,
,제주대학교,"2,043",48.9,,,,,,,,,,,,,,,,,,,
,조선대학교,"4,610",43.6,,,,,,,,,,,,,,,,,,,
,중부대학교,"1,298",46.3,,,,,,,,,,,,,,,,,,,
,중앙대학교,"2,787",57.8,,,,,,,,,,,,,,,,,,,
,중앙대학교(안성) _분교,"2,109",38.3,,,,,,,,,,,,,,,,,,,
,중앙승가대학교,69,4.1,,,,,,,,,,,,,,,,,,,
,진주교육대학교,547,46.8,,,,,,,,,,,,,,,,,,,
,진주산업대학교(산업대),"1,397",67.7,,,,,,,,,,,,,,,,,,,
,차의과학대학교,131,67.2,,,,,,,,,,,,,,,,,,,
,청운대학교,"1,159",60.6,,,,,,,,,,,,,,,,,,,
,청주교육대학교,463,47.6,,,,,,,,,,,,,,,,,,,
,청주대학교,"2,834",45.9,,,,,,,,,,,,,,,,,,,
,초당대학교(산업대),"1,168",64,,,,,,,,,,,,,,,,,,,
,총신대학교,333,36.1,,,,,,,,,,,,,,,,,,,
,추계예술대학교,265,17.5,,,,,,,,,,,,,,,,,,,
,춘천교육대학교,551,47.8,,,,,,,,,,,,,,,,,,,
,충남대학교,"4,020",50.3,,,,,,,,,,,,,,,,,,,
,충북대학교,"3,168",48.8,,,,,,,,,,,,,,,,,,,
,칼빈대학교,92,33.3,,,,,,,,,,,,,,,,,,,
,탐라대학교,127,56.1,,,,,,,,,,,,,,,,,,,
,평택대학교,768,43.3,,,,,,,,,,,,,,,,,,,
,포항공과대학교,327,67,,,,,,,,,,,,,,,,,,,
,한경대학교(산업대),"1,396",69.8,,,,,,,,,,,,,,,,,,,
,한국과학기술원,738,53.3,,,,,,,,,,,,,,,,,,,
,한국교원대학교,512,40.3,,,,,,,,,,,,,,,,,,,
,한국국제대학교,638,53.9,,,,,,,,,,,,,,,,,,,
,한국기술교육대학교,662,81.1,,,,,,,,,,,,,,,,,,,
,한국산업기술대학교(산업대),"1,134",73.1,,,,,,,,,,,,,,,,,,,
,한국성서대학교,212,54.9,,,,,,,,,,,,,,,,,,,
,한국외국어대학교,"1,614",56.9,,,,,,,,,,,,,,,,,,,
,한국외국어대학교(용인) _분교,"1,342",49.7,,,,,,,,,,,,,,,,,,,
,한국체육대학교,515,52.8,,,,,,,,,,,,,,,,,,,
,한국침례신학대학교,315,31.8,,,,,,,,,,,,,,,,,,,
,한국항공대학교,915,65.1,,,,,,,,,,,,,,,,,,,
,한남대학교,"2,323",44.2,,,,,,,,,,,,,,,,,,,
,한동대학교,627,57.7,,,,,,,,,,,,,,,,,,,
,한라대학교,429,59.6,,,,,,,,,,,,,,,,,,,
