기준년도,학교명,졸업자,취업률
2010,전주교육대학교,429,61.3
2010,전주대학교,2110,60.0
2010,제주교육대학교,165,44.7
2010,제주대학교,2043,48.9
2010,조선대학교,4610,43.6
2010,중부대학교,1298,46.3
2010,중앙대학교,2787,57.8
2010,중앙대학교(안성) _분교,2109,38.3
2010,중앙승가대학교,69,4.1
2010,진주교육대학교,547,46.8
2010,진주산업대학교(산업대),1397,67.7
2010,차의과학대학교,131,67.2
2010,청운대학교,1159,60.6
2010,청주교육대학교,463,47.6
2010,청주대학교,2834,45.9
2010,초당대학교(산업대),1168,64.0
2010,총신대학교,333,36.1
2010,추계예술대학교,265,17.5
2010,춘천교육대학교,551,47.8
2010,충남대학교,4020,50.3
2010,충북대학교,3168,48.8
2010,칼빈대학교,92,33.3
2010,탐라대학교,127,56.1
2010,평택대학교,768,43.3
2010,포항공과대학교,327,67.0
2010,한경대학교(산업대),1396,69.8
2010,한국과학기술원,738,53.3
2010,한국교원대학교,512,40.3
2010,한국국제대학교,638,53.9
2010,한국기술교육대학교,662,81.1
2010,한국산업기술대학교(산업대),1134,73.1
2010,한국성서대학교,212,54.9
2010,한국외국어대학교,1614,56.9
2010,한국외국어대학교(용인) _분교,1342,49.7
2010,한국체육대학교,515,52.8
2010,한국침례신학대학교,315,31.8
2010,한국항공대학교,915,65.1
2010,한남대학교,2323,44.2
2010,한동대학교,627,57.7
2010,한라대학교,429,59.6
2010,한려대학교(산업대),321,69.9
2010,한림대학교,1487,57.1
2010,한민학교,201,38.7
2010,한밭대학교(산업대),2269,70.6
2010,한북대학교,27,52.0
2010,한서대학교,1496,53.5
2010,한성대학교,1392,47.6
2010,한세대학교,493,51.5
2010,한신대학교,1010,41.7
2010,한양대학교,3564,60.8
2010,한양대학교(ERICA) _분교,1968,52.6
2010,한일장신대학교,312,33.3
2010,한중대학교,364,66.3
2010,협성대학교,906,42.0
2010,호남대학교,1443,49.8
2010,호남신학대학교,173,16.1
2010,호서대학교,2350,51.1
2010,호원대학교,1482,58.5
2010,홍익대학교,2250,54.4
2010,홍익대학교(세종) _분교,1222,45.1
2010,화성의과학대학교,5,0.0
2011,가야대학교 _제2캠퍼스,568,59.9
2011,가천대학교,2441,50.6
2011,가천의과학대학교,904,57.6
2011,가톨릭관동대학교,1591,48.4
2011,가톨릭꽃동네대학교,113,65.2
2011,가톨릭대학교,1498,50.4
2011,가톨릭대학교 _제2캠퍼스,190,85.5
2011,가톨릭대학교 _제3캠퍼스,62,0.0
2011,감리교신학대학교,194,0.0
2011,강남대학교,1609,52.0
2011,강서대학교,259,44.2
2011,강원대학교,3187,51.3
2011,강원대학교 _제2캠퍼스,1043,52.4
2011,건국대학교,3007,60.7
2011,건국대학교(글로컬) _분교,1624,49.7
2011,건동대학교,104,49.3
2011,건양대학교,1531,70.1
2011,건양대학교 _제2캠퍼스,370,88.3
2011,경기대학교,2570,50.3
2011,경기대학교 _제2캠퍼스,459,43.0
2011,경남대학교,2991,47.5
2011,경동대학교,499,60.3
2011,경북대학교,4360,59.0
2011,경북대학교 _제2캠퍼스,798,52.2
2011,경북외국어대학교,62,47.3
2011,경상국립대학교,3147,55.1
2011,경성대학교,2859,47.4
2011,경운대학교(산업대),972,63.4
2011,경인교육대학교,472,61.2
2011,경인교육대학교 _제2캠퍼스,438,60.7
2011,경일대학교,859,60.9
2011,경희대학교,2749,54.1
2011,경희대학교 _분교,2709,54.8
2011,계명대학교,4897,54.5
2011,고려대학교,4275,64.9
2011,고려대학교(세종) _분교,1492,46.1
2011,고신대학교,758,58.6
2011,공주교육대학교,503,62.6
2011,광신대학교,114,55.3
2011,광운대학교,1751,63.3
2011,광주가톨릭대학교,34,0.0
2011,광주교육대학교,475,56.3
2011,광주대학교,1038,61.5
2011,광주대학교(산업대),189,51.6
2011,광주여자대학교,890,63.7
2011,국립강릉원주대학교,1358,52.0
2011,국립강릉원주대학교 _제2캠퍼스,416,60.0
2011,국립경국대학교,1489,52.1
2011,국립공주대학교,3143,51.7
2011,국립군산대학교,1557,48.1
2011,국립금오공과대학교,1480,67.9
2011,국립목포대학교,1482,51.5
2011,국립목포해양대학교,596,77.1
2011,국립부경대학교,3696,57.4
2011,국립순천대학교,1600,50.6
2011,국립창원대학교,1707,57.8
2011,국립한국해양대학교,1503,71.7
2011,국민대학교,3086,52.4
2011,극동대학교,715,49.1
2011,금강대학교,53,48.6
2011,김천대학교,0,0.0
2011,나사렛대학교,1028,62.1
2011,남부대학교,483,61.1
2011,남서울대학교(산업대),2064,55.3
2011,단국대학교,2379,50.3
2011,단국대학교(천안) _분교,2611,49.2
2011,대구가톨릭대학교,2502,59.7
2011,대구교육대학교,560,54.3
2011,대구대학교,4045,56.4
2011,대구예술대학교,198,46.5
2011,대구외국어대학교,61,54.7
2011,대구한의대학교,1390,58.5
2011,대신대학교,135,38.2
2011,대전가톨릭대학교,29,0.0
2011,대전대학교,1894,50.3
2011,대전신학교,65,0.0
2011,대진대학교,1589,45.8
2011,덕성여자대학교,1166,48.9
2011,동국대학교,2944,53.3
2011,동국대학교(WISE) _분교,1884,63.1
2011,동덕여자대학교,1582,44.5
2011,동명대학교,667,59.0
2011,동명정보대학교,644,56.9
2011,동서대학교,2169,61.9
2011,동신대학교,1414,65.7
2011,동아대학교,4397,51.2
2011,동양대학교,678,60.0
2011,동의대학교,3533,52.9
2011,루터대학교,95,52.1
2011,명신대학교,198,53.3
2011,명지대학교,1516,55.2
2011,명지대학교 _제2캠퍼스,1404,51.5
2011,목원대학교,1831,40.1
2011,목포가톨릭대학교,153,85.0
2011,배재대학교,1915,43.7
2011,백석대학교,2627,49.3
2011,부산가톨릭대학교,926,59.2
2011,부산교육대학교,570,47.8
2011,부산대학교,4491,54.6
2011,부산외국어대학교,1835,46.4
2011,부산장신대학교,72,61.8
2011,삼육대학교,1044,50.4
2011,상명대학교,1393,44.2
2011,상명대학교(천안) _분교,1309,45.0
2011,상주대학교,10,50.0
2011,상지대학교,1643,51.5
2011,서강대학교,1737,70.2
2011,서경대학교,1349,51.4
2011,서남대학교,314,70.5
2011,서남대학교 _제2캠퍼스,123,47.5
2011,서울과학기술대학교(산업대),3162,73.5
2011,서울교육대학교,551,45.2
2011,서울기독대학교,145,50.9
2011,서울대학교,3745,59.8
2011,서울시립대학교,1622,62.9
2011,서울신학대학교,523,50.9
2011,서울여자대학교,1738,49.4
2011,서울장신대학교,103,31.8
2011,서울한영대학교,173,48.3
2011,서원대학교,1367,48.1
2011,선교청대학교,27,31.8
2011,선문대학교,1605,50.1
2011,성결대학교,1106,47.2
2011,성공회대학교,492,42.6
2011,성균관대학교,4261,68.7
2011,성신여자대학교,2238,44.9
2011,세명대학교,1640,54.6
2011,세종대학교,2431,48.9
2011,세한대학교,956,52.5
2011,수도침례신학교,1,0.0
2011,수원가톨릭대학교,41,0.0
2011,수원대학교,2591,44.8
2011,숙명여자대학교,2062,55.7
2011,순천향대학교,2484,54.8
2011,숭실대학교,2546,61.1
2011,신경주대학교,918,52.5
2011,신라대학교,1957,55.6
2011,아신대학교,250,0.0
2011,아주대학교,2005,68.4
2011,안양대학교,1080,48.2
2011,안양대학교 _제2캠퍼스,83,42.3
2011,연세대학교,4212,65.5
2011,연세대학교(미래) _분교,1705,64.4
2011,영남대학교,5245,51.1
2011,영남신학대학교,128,45.5
2011,영산대학교,336,63.1
2011,영산대학교 _제2캠퍼스,293,53.6
2011,영산대학교(산업대),286,46.3
2011,영산대학교(산업대) _제2캠퍼스,312,50.7
2011,영산선학대학교,9,0.0
2011,예수대학교,133,70.8
2011,예원예술대학교,297,59.7
2011,용인대학교,1372,46.0
2011,우석대학교,1722,52.0
