통합_대학별_장학금,,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,"재학생
(A)","재학생 1인당
장학금
(C=B/A)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,대구예술대학교,"1,127",2264700,,,,,,,,,,,,,,,,,,
,대구외국어대학교,362,930000,,,,,,,,,,,,,,,,,,
,대구한의대학교,"6,622",1095300,,,,,,,,,,,,,,,,,,
,대신대학교,497,1554200,,,,,,,,,,,,,,,,,,
,대전가톨릭대학교,94,4127900,,,,,,,,,,,,,,,,,,
,대전대학교,"9,184",965200,,,,,,,,,,,,,,,,,,
,대전신학교,170,1201600,,,,,,,,,,,,,,,,,,
,대전신학대학교,89,1152400,,,,,,,,,,,,,,,,,,
,대진대학교,"7,528",1297200,,,,,,,,,,,,,,,,,,
,덕성여자대학교,"5,651",1281400,,,,,,,,,,,,,,,,,,
,동국대학교,"13,518",1507700,,,,,,,,,,,,,,,,,,
,동국대학교(WISE) _분교,"8,279",1354300,,,,,,,,,,,,,,,,,,
,동덕여자대학교,"7,163",962400,,,,,,,,,,,,,,,,,,
,동명대학교,"5,857",1008100,,,,,,,,,,,,,,,,,,
,동명정보대학교,"1,431",300,,,,,,,,,,,,,,,,,,
,동서대학교,"10,629",1133600,,,,,,,,,,,,,,,,,,
,동신대학교,"6,025",1701800,,,,,,,,,,,,,,,,,,
,동아대학교,"19,822",1256400,,,,,,,,,,,,,,,,,,
,동양대학교,"3,526",1467700,,,,,,,,,,,,,,,,,,
,동의대학교,"16,275",921500,,,,,,,,,,,,,,,,,,
,디지털서울문화예술대학교,"2,974",510200,,,,,,,,,,,,,,,,,,
,루터대학교,508,692200,,,,,,,,,,,,,,,,,,
,명신대학교,666,1704900,,,,,,,,,,,,,,,,,,
,명지대학교,"7,085",1188200,,,,,,,,,,,,,,,,,,
,명지대학교 _제2캠퍼스,"6,355",1120400,,,,,,,,,,,,,,,,,,
,목원대학교,"8,680",986000,,,,,,,,,,,,,,,,,,
,목포가톨릭대학교,574,1389300,,,,,,,,,,,,,,,,,,
,배재대학교,"8,847",1133500,,,,,,,,,,,,,,,,,,
,백석대학교,"12,372",1123000,,,,,,,,,,,,,,,,,,
,부산가톨릭대학교,"3,959",1118900,,,,,,,,,,,,,,,,,,
,부산교육대학교,"2,123",750500,,,,,,,,,,,,,,,,,,
,부산대학교,"20,983",1138200,,,,,,,,,,,,,,,,,,
,부산디지털대학교,"2,066",588500,,,,,,,,,,,,,,,,,,
,부산외국어대학교,"8,804",1057000,,,,,,,,,,,,,,,,,,
,부산장신대학교,275,1200100,,,,,,,,,,,,,,,,,,
,삼육대학교,"5,006",1469100,,,,,,,,,,,,,,,,,,
,상명대학교,"6,300",1264900,,,,,,,,,,,,,,,,,,
,상명대학교(천안) _분교,"6,002",1113600,,,,,,,,,,,,,,,,,,
,상주대학교,"2,535",747100,,,,,,,,,,,,,,,,,,
,상지대학교,"7,868",1153600,,,,,,,,,,,,,,,,,,
,서강대학교,"7,804",1742300,,,,,,,,,,,,,,,,,,
,서경대학교,"6,082",750700,,,,,,,,,,,,,,,,,,
,서남대학교,"1,292",827700,,,,,,,,,,,,,,,,,,
,서남대학교 _제2캠퍼스,770,804900,,,,,,,,,,,,,,,,,,
,서울과학기술대학교(산업대),"11,974",797800,,,,,,,,,,,,,,,,,,
,서울교육대학교,"2,044",872500,,,,,,,,,,,,,,,,,,
,서울기독대학교,643,1378100,,,,,,,,,,,,,,,,,,
,서울대학교,"15,971",2179900,,,,,,,,,,,,,,,,,,
,서울디지털대학교,"10,084",412100,,,,,,,,,,,,,,,,,,
,서울시립대학교,"8,310",1375200,,,,,,,,,,,,,,,,,,
,서울신학대학교,"2,263",943700,,,,,,,,,,,,,,,,,,
,서울여자대학교,"7,511",1632900,,,,,,,,,,,,,,,,,,
,서울장신대학교,521,1017300,,,,,,,,,,,,,,,,,,
,서울한영대학교,734,860400,,,,,,,,,,,,,,,,,,
,서원대학교,"6,272",863800,,,,,,,,,,,,,,,,,,
,선교청대학교,197,118300,,,,,,,,,,,,,,,,,,
,선문대학교,"8,557",1112800,,,,,,,,,,,,,,,,,,
,성결대학교,"5,194",1108200,,,,,,,,,,,,,,,,,,
,성공회대학교,"2,216",1109400,,,,,,,,,,,,,,,,,,
,성균관대학교,"18,818",2157000,,,,,,,,,,,,,,,,,,
,성신여자대학교,"9,777",1337300,,,,,,,,,,,,,,,,,,
,세명대학교,"7,883",1101000,,,,,,,,,,,,,,,,,,
,세종대학교,"10,436",1074700,,,,,,,,,,,,,,,,,,
,세한대학교,"4,108",1648700,,,,,,,,,,,,,,,,,,
,수도침례신학교,0,0,,,,,,,,,,,,,,,,,,
,수원가톨릭대학교,160,3419900,,,,,,,,,,,,,,,,,,
,수원대학교,"10,889",1086100,,,,,,,,,,,,,,,,,,
,숙명여자대학교,"10,099",1697700,,,,,,,,,,,,,,,,,,
,순복음총회신학교,122,272300,,,,,,,,,,,,,,,,,,
,순천향대학교,"11,013",1188600,,,,,,,,,,,,,,,,,,
,숭실대학교,"12,697",1328100,,,,,,,,,,,,,,,,,,
,신경주대학교,"4,080",1128600,,,,,,,,,,,,,,,,,,
,신라대학교,"9,591",1118800,,,,,,,,,,,,,,,,,,
,아신대학교,802,957800,,,,,,,,,,,,,,,,,,
,아주대학교,"9,418",1403800,,,,,,,,,,,,,,,,,,
,안양대학교,"4,498",908700,,,,,,,,,,,,,,,,,,
,안양대학교 _제2캠퍼스,454,781500,,,,,,,,,,,,,,,,,,
,연세대학교,"18,268",2528600,,,,,,,,,,,,,,,,,,
,연세대학교(미래) _분교,"7,574",1471900,,,,,,,,,,,,,,,,,,
,영남대학교,"22,892",1326500,,,,,,,,,,,,,,,,,,
,영남신학대학교,560,1292600,,,,,,,,,,,,,,,,,,
,영산대학교,"2,487",1308400,,,,,,,,,,,,,,,,,,
,영산대학교 _제2캠퍼스,"1,957",738000,,,,,,,,,,,,,,,,,,
,영산대학교(산업대),594,835700,,,,,,,,,,,,,,,,,,
,영산대학교(산업대) _제2캠퍼스,535,607700,,,,,,,,,,,,,,,,,,
,영산선학대학교,38,1900000,,,,,,,,,,,,,,,,,,
,예수대학교,547,1271800,,,,,,,,,,,,,,,,,,
,예원예술대학교,"1,084",2249000,,,,,,,,,,,,,,,,,,
,예원예술대학교 _제2캠퍼스,0,0,,,,,,,,,,,,,,,,,,
,용인대학교,"5,986",1212500,,,,,,,,,,,,,,,,,,
,우석대학교,"7,635",1420000,,,,,,,,,,,,,,,,,,
,우송대학교,"4,088",1629400,,,,,,,,,,,,,,,,,,
,우송대학교(산업대),"3,599",1391000,,,,,,,,,,,,,,,,,,
,울산과학기술원,"1,114",6508400,,,,,,,,,,,,,,,,,,
,울산대학교,"13,312",1409500,,,,,,,,,,,,,,,,,,
,원광대학교,"16,770",1136800,,,,,,,,,,,,,,,,,,
,원광디지털대학교,"3,728",640900,,,,,,,,,,,,,,,,,,
,위덕대학교,"2,651",2199800,,,,,,,,,,,,,,,,,,
,유원대학교,"2,651",1555200,,,,,,,,,,,,,,,,,,
,을지대학교,922,1370300,,,,,,,,,,,,,,,,,,
,을지대학교 _제2캠퍼스,"4,571",1357800,,,,,,,,,,,,,,,,,,
,이화여자대학교,"14,716",1550900,,,,,,,,,,,,,,,,,,
,인제대학교,"9,233",1352300,,,,,,,,,,,,,,,,,,
,인제대학교 _제2캠퍼스,873,1135800,,,,,,,,,,,,,,,,,,
,인천가톨릭대학교,539,1111500,,,,,,,,,,,,,,,,,,
,인천가톨릭대학교 _제2캠퍼스,0,0,,,,,,,,,,,,,,,,,,
,인천대학교,"8,460",1212400,,,,,,,,,,,,,,,,,,
,인하대학교,"17,829",1332700,,,,,,,,,,,,,,,,,,
,장로회신학대학교,660,1481200,,,,,,,,,,,,,,,,,,
,전남대학교,"17,395",1208500,,,,,,,,,,,,,,,,,,
,전남대학교 _제2캠퍼스,"3,441",1251400,,,,,,,,,,,,,,,,,,
,전북대학교,"17,444",1149200,,,,,,,,,,,,,,,,,,
,전북대학교 _제2캠퍼스,448,824800,,,,,,,,,,,,,,,,,,
,전주교육대학교,"1,615",1046100,,,,,,,,,,,,,,,,,,
,전주대학교,"10,597",1099900,,,,,,,,,,,,,,,,,,
,정석대학,139,0,,,,,,,,,,,,,,,,,,
,제주교육대학교,292,1166700,,,,,,,,,,,,,,,,,,
,제주대학교,"9,346",1275400,,,,,,,,,,,,,,,,,,
,조선대학교,"20,059",1287200,,,,,,,,,,,,,,,,,,
,중부대학교,"7,562",1053200,,,,,,,,,,,,,,,,,,
,중앙대학교,"12,841",1670000,,,,,,,,,,,,,,,,,,
,중앙대학교(안성) _분교,"8,670",1571300,,,,,,,,,,,,,,,,,,
,중앙승가대학교,280,959300,,,,,,,,,,,,,,,,,,
,중원대학교,598,4683400,,,,,,,,,,,,,,,,,,
,진주교육대학교,"1,851",840100,,,,,,,,,,,,,,,,,,
,진주산업대학교(산업대),"5,686",844300,,,,,,,,,,,,,,,,,,
,차의과학대학교,482,1754100,,,,,,,,,,,,,,,,,,
,청운대학교,"5,586",1153500,,,,,,,,,,,,,,,,,,
,청주교육대학교,"1,679",1081600,,,,,,,,,,,,,,,,,,
,청주대학교,"13,036",1180700,,,,,,,,,,,,,,,,,,
,초당대학교(산업대),"3,926",1945300,,,,,,,,,,,,,,,,,,
,총신대학교,"1,650",1912800,,,,,,,,,,,,,,,,,,
,추계예술대학교,"1,235",1139400,,,,,,,,,,,,,,,,,,
,춘천교육대학교,"1,902",957100,,,,,,,,,,,,,,,,,,
,충남대학교,"17,555",1091400,,,,,,,,,,,,,,,,,,
,충북대학교,"13,954",993700,,,,,,,,,,,,,,,,,,
,칼빈대학교,424,973900,,,,,,,,,,,,,,,,,,
,탐라대학교,481,2330400,,,,,,,,,,,,,,,,,,
,평택대학교,"3,716",1096200,,,,,,,,,,,,,,,,,,
,포항공과대학교,"1,321",5302600,,,,,,,,,,,,,,,,,,
,한경대학교(산업대),"6,188",724800,,,,,,,,,,,,,,,,,,
,한국과학기술원,"3,903",14575400,,,,,,,,,,,,,,,,,,
,한국교원대학교,"2,366",1256900,,,,,,,,,,,,,,,,,,
,한국교통대학교(산업대),"6,342",729300,,,,,,,,,,,,,,,,,,
