기준연도,학교명,재학생,1인당장학금
2010,용인대학교,"5,986",1212500
2010,우석대학교,"7,635",1420000
2010,우송대학교,"4,088",1629400
2010,우송대학교(산업대),"3,599",1391000
2010,울산과학기술원,"1,114",6508400
2010,울산대학교,"13,312",1409500
2010,원광대학교,"16,770",1136800
2010,원광디지털대학교,"3,728",640900
2010,위덕대학교,"2,651",2199800
2010,유원대학교,"2,651",1555200
2010,을지대학교,922,1370300
2010,을지대학교 _제2캠퍼스,"4,571",1357800
2010,이화여자대학교,"14,716",1550900
2010,인제대학교,"9,233",1352300
2010,인제대학교 _제2캠퍼스,873,1135800
2010,인천가톨릭대학교,539,1111500
2010,인천가톨릭대학교 _제2캠퍼스,0,0
2010,인천대학교,"8,460",1212400
2010,인하대학교,"17,829",1332700
2010,장로회신학대학교,660,1481200
2010,전남대학교,"17,395",1208500
2010,전남대학교 _제2캠퍼스,"3,441",1251400
2010,전북대학교,"17,444",1149200
2010,전북대학교 _제2캠퍼스,448,824800
2010,전주교육대학교,"1,615",1046100
2010,전주대학교,"10,597",1099900
2010,정석대학,139,0
2010,제주교육대학교,292,1166700
2010,제주대학교,"9,346",1275400
2010,조선대학교,"20,059",1287200
2010,중부대학교,"7,562",1053200
2010,중앙대학교,"12,841",1670000
2010,중앙대학교(안성) _분교,"8,670",1571300
2010,중앙승가대학교,280,959300
2010,중원대학교,598,4683400
2010,진주교육대학교,"1,851",840100
2010,진주산업대학교(산업대),"5,686",844300
2010,차의과학대학교,482,1754100
2010,청운대학교,"5,586",1153500
2010,청주교육대학교,"1,679",1081600
2010,청주대학교,"13,036",1180700
2010,초당대학교(산업대),"3,926",1945300
2010,총신대학교,"1,650",1912800
2010,추계예술대학교,"1,235",1139400
2010,춘천교육대학교,"1,902",957100
2010,충남대학교,"17,555",1091400
2010,충북대학교,"13,954",993700
2010,칼빈대학교,424,973900
2010,탐라대학교,481,2330400
2010,평택대학교,"3,716",1096200
2010,포항공과대학교,"1,321",5302600
2010,한경대학교(산업대),"6,188",724800
2010,한국과학기술원,"3,903",14575400
2010,한국교원대학교,"2,366",1256900
