기준연도,학교명,단과대학,학과,구분,학기,재학생,1인당장학금
2021,가천대학교,바이오나노대학,나노화학과,주간,2학기,85,1625613.6
2021,가천대학교,바이오나노대학,물리학과,주간,1학기,85,883644.7
2021,가천대학교,바이오나노대학,물리학과,주간,2학기,76,1311109.2
2021,가천대학교,바이오나노대학,바이오나노학과,주간,1학기,222,1374589.2
2021,가천대학교,바이오나노대학,바이오나노학과,주간,2학기,194,1685346.4
2021,가천대학교,바이오나노대학,생명과학과,주간,1학기,240,1332145.0
2021,가천대학교,바이오나노대학,생명과학과,주간,2학기,217,1520418.9
2021,가천대학교,바이오나노대학,식품생물공학과,주간,1학기,225,1519482.7
2021,가천대학교,바이오나노대학,식품생물공학과,주간,2학기,216,1892929.9
2021,가천대학교,바이오나노대학,식품영양학과,주간,1학기,276,1506839.7
2021,가천대학교,바이오나노대학,식품영양학과,주간,2학기,264,1601120.4
2021,가천대학교,바이오나노대학,화학과,주간,1학기,96,1198075.5
2021,가천대학교,바이오나노대학,화학과,주간,2학기,89,1437269.7
2021,가천대학교,법과대학,경찰・안보학과,주간,1학기,180,1572009.7
2021,가천대학교,법과대학,경찰・안보학과,주간,2학기,174,1707146.8
2021,가천대학교,법과대학,경찰행정학과,주간,1학기,56,1218013.6
2021,가천대학교,법과대학,경찰행정학과,주간,2학기,50,1572390.8
2021,가천대학교,법과대학,법학과,주간,1학기,471,1328670.7
2021,가천대학교,법과대학,법학과,주간,2학기,423,1555768.6
2021,가천대학교,법과대학,행정학과,주간,1학기,283,1630958.8
2021,가천대학교,법과대학,행정학과,주간,2학기,280,1719161.1
2021,가천대학교,보건과학대학,물리치료학과,주간,1학기,208,2449540.7
2021,가천대학교,보건과학대학,물리치료학과,주간,2학기,216,2619380.0
2021,가천대학교,보건과학대학,방사선학과,주간,1학기,215,2090058.0
2021,가천대학교,보건과학대학,방사선학과,주간,2학기,215,2261109.6
2021,가천대학교,보건과학대학,운동재활복지학과,주간,1학기,159,1995929.9
2021,가천대학교,보건과학대학,운동재활복지학과,주간,2학기,152,2391565.0
2021,가천대학교,보건과학대학,응급구조학과,주간,1학기,119,2254045.0
2021,가천대학교,보건과학대학,응급구조학과,주간,2학기,116,2381223.1
2021,가천대학교,보건과학대학,의용생체공학과,주간,1학기,191,1804760.8
2021,가천대학교,보건과학대학,의용생체공학과,주간,2학기,175,1922041.9
2021,가천대학교,보건과학대학,치위생학과,주간,1학기,193,1882389.9
2021,가천대학교,보건과학대학,치위생학과,주간,2학기,192,2055386.2
2021,가천대학교,사회과학대학,경제학과,주간,1학기,283,1226680.5
2021,가천대학교,사회과학대학,경제학과,주간,2학기,248,1330245.4
2021,가천대학교,사회과학대학,관광경영학과,주간,1학기,477,1464847.6
2021,가천대학교,사회과학대학,관광경영학과,주간,2학기,449,1612505.2
2021,가천대학교,사회과학대학,글로벌경제학과,주간,1학기,356,1264429.3
2021,가천대학교,사회과학대학,글로벌경제학과,주간,2학기,333,1514151.4
2021,가천대학교,사회과학대학,글로벌경제학과,야간,1학기,20,465750.0
2021,가천대학교,사회과학대학,글로벌경제학과,야간,2학기,17,373441.2
2021,가천대학교,사회과학대학,미디어커뮤니케이션학과,주간,1학기,491,1694200.4
2021,가천대학교,사회과학대학,미디어커뮤니케이션학과,주간,2학기,478,1890619.6
2021,가천대학교,사회과학대학,사회복지학과,주간,1학기,288,1904447.5
2021,가천대학교,사회과학대학,사회복지학과,주간,2학기,268,2279790.1
2021,가천대학교,사회과학대학,심리학과,주간,1학기,120,1727241.3
2021,가천대학교,사회과학대학,심리학과,주간,2학기,120,1912884.2
2021,가천대학교,사회과학대학,유아교육학과,주간,1학기,268,1622224.6
2021,가천대학교,사회과학대학,유아교육학과,주간,2학기,260,1766892.7
2021,가천대학교,사회과학대학,응용통계학과,주간,1학기,254,1395870.6
2021,가천대학교,사회과학대학,응용통계학과,주간,2학기,225,1653907.4
2021,가천대학교,사회과학대학,의료경영학과,주간,1학기,186,1708818.5
2021,가천대학교,사회과학대학,의료경영학과,주간,2학기,175,2001739.5
2021,가천대학교,사회과학대학,헬스케어경영학과,주간,1학기,106,1363992.5
2021,가천대학교,사회과학대학,헬스케어경영학과,주간,2학기,98,1815489.8
2021,가천대학교,약학대학,약학과(2+4학제),주간,1학기,128,2974538.0
2021,가천대학교,약학대학,약학과(2+4학제),주간,2학기,128,2945012.0
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(디자인),주간,1학기,528,1515247.3
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(디자인),주간,2학기,501,1740930.1
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(패션디자인),주간,1학기,217,1363773.5
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(패션디자인),주간,2학기,199,1706898.0
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(회화·조소),주간,1학기,308,1278828.9
2021,가천대학교,예술ㆍ체육대학,미술·디자인학부(회화·조소),주간,2학기,260,1502046.2
2021,가천대학교,예술ㆍ체육대학,연기예술학과,주간,1학기,156,1727801.9
2021,가천대학교,예술ㆍ체육대학,연기예술학과,주간,2학기,134,2027820.9
2021,가천대학교,예술ㆍ체육대학,음악학부(기악),주간,1학기,207,1785550.2
2021,가천대학교,예술ㆍ체육대학,음악학부(기악),주간,2학기,208,2159393.4
2021,가천대학교,예술ㆍ체육대학,음악학부(성악),주간,1학기,89,2431333.7
2021,가천대학교,예술ㆍ체육대학,음악학부(성악),주간,2학기,106,2370829.8
2021,가천대학교,예술ㆍ체육대학,음악학부(작곡),주간,1학기,55,1492891.8
2021,가천대학교,예술ㆍ체육대학,음악학부(작곡),주간,2학기,58,1604364.7
2021,가천대학교,예술ㆍ체육대학,체육학부(체육),주간,1학기,195,2233989.2
2021,가천대학교,예술ㆍ체육대학,체육학부(체육),주간,2학기,180,1915981.0
2021,가천대학교,예술ㆍ체육대학,체육학부(태권도),주간,1학기,142,3601430.3
2021,가천대학교,예술ㆍ체육대학,체육학부(태권도),주간,2학기,147,2830569.7
2021,가천대학교,의과대학,의예과,주간,1학기,84,5644756.7
2021,가천대학교,의과대학,의예과,주간,2학기,79,5594109.6
2021,가천대학교,의과대학,의학과,주간,1학기,152,5972667.1
2021,가천대학교,의과대학,의학과,주간,2학기,151,6065556.3
2021,가천대학교,인문대학,동양어문학과,주간,1학기,448,1179771.4
2021,가천대학교,인문대학,동양어문학과,주간,2학기,408,1356085.7
2021,가천대학교,인문대학,영미어문학과,주간,1학기,306,1292383.6
2021,가천대학교,인문대학,영미어문학과,주간,2학기,277,1377926.5
2021,가천대학교,인문대학,영미어문학과,야간,1학기,14,175700.0
2021,가천대학교,인문대학,유럽어문학과,주간,1학기,255,1221700.2
2021,가천대학교,인문대학,유럽어문학과,주간,2학기,234,1353323.4
2021,가천대학교,인문대학,한국어문학과,주간,1학기,332,1546553.6
2021,가천대학교,인문대학,한국어문학과,주간,2학기,324,1702089.6
2021,가천대학교,한의과대학,한의예과,주간,1학기,63,1331721.4
2021,가천대학교,한의과대학,한의예과,주간,2학기,61,1369878.4
2021,가천대학교,한의과대학,한의학과,주간,1학기,109,1793002.3
2021,가천대학교,한의과대학,한의학과,주간,2학기,109,1919367.0
2021,가천대학교,IT대학,에너지IT학과,주간,1학기,41,885202.4
2021,가천대학교,IT대학,에너지IT학과,주간,2학기,32,978106.3
2021,가천대학교,IT대학,전자공학과,야간,1학기,34,1072602.9
2021,가천대학교,IT대학,전자공학과,야간,2학기,26,1275700.0
2021,가천대학교,가천리버럴아츠칼리지,자유전공학부,주간,1학기,163,1260229.8
2021,가천대학교,가천리버럴아츠칼리지,자유전공학부,주간,2학기,157,1325518.3
