통합_학과별_장학금_21-23,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,단과대학,학과,구분,학기,"재학생
(A)","재학생 1인당
장학금
(D=B/A)",,,,,,,,,,,,,
,,바이오나노대학,나노물리학과,주간,1학기,67,"1,289,092.5",,,,,,,,,,,,,
,,,,,2학기,59,"1,546,457.3",,,,,,,,,,,,,
,,,나노화학과,주간,1학기,99,"1,343,603.5",,,,,,,,,,,,,
,,,,,2학기,85,"1,625,613.6",,,,,,,,,,,,,
,,,물리학과,주간,1학기,85,"883,644.7",,,,,,,,,,,,,
,,,,,2학기,76,"1,311,109.2",,,,,,,,,,,,,
,,,바이오나노학과,주간,1학기,222,"1,374,589.2",,,,,,,,,,,,,
,,,,,2학기,194,"1,685,346.4",,,,,,,,,,,,,
,,,생명과학과,주간,1학기,240,"1,332,145",,,,,,,,,,,,,
,,,,,2학기,217,"1,520,418.9",,,,,,,,,,,,,
,,,식품생물공학과,주간,1학기,225,"1,519,482.7",,,,,,,,,,,,,
,,,,,2학기,216,"1,892,929.9",,,,,,,,,,,,,
,,,식품영양학과,주간,1학기,276,"1,506,839.7",,,,,,,,,,,,,
,,,,,2학기,264,"1,601,120.4",,,,,,,,,,,,,
,,,화학과,주간,1학기,96,"1,198,075.5",,,,,,,,,,,,,
,,,,,2학기,89,"1,437,269.7",,,,,,,,,,,,,
,,법과대학,경찰・안보학과,주간,1학기,180,"1,572,009.7",,,,,,,,,,,,,
,,,,,2학기,174,"1,707,146.8",,,,,,,,,,,,,
,,,경찰행정학과,주간,1학기,56,"1,218,013.6",,,,,,,,,,,,,
,,,,,2학기,50,"1,572,390.8",,,,,,,,,,,,,
,,,법학과,주간,1학기,471,"1,328,670.7",,,,,,,,,,,,,
,,,,,2학기,423,"1,555,768.6",,,,,,,,,,,,,
,,,행정학과,주간,1학기,283,"1,630,958.8",,,,,,,,,,,,,
,,,,,2학기,280,"1,719,161.1",,,,,,,,,,,,,
,,보건과학대학,물리치료학과,주간,1학기,208,"2,449,540.7",,,,,,,,,,,,,
,,,,,2학기,216,"2,619,380",,,,,,,,,,,,,
,,,방사선학과,주간,1학기,215,"2,090,058",,,,,,,,,,,,,
,,,,,2학기,215,"2,261,109.6",,,,,,,,,,,,,
,,,운동재활복지학과,주간,1학기,159,"1,995,929.9",,,,,,,,,,,,,
,,,,,2학기,152,"2,391,565",,,,,,,,,,,,,
,,,응급구조학과,주간,1학기,119,"2,254,045",,,,,,,,,,,,,
,,,,,2학기,116,"2,381,223.1",,,,,,,,,,,,,
,,,의용생체공학과,주간,1학기,191,"1,804,760.8",,,,,,,,,,,,,
,,,,,2학기,175,"1,922,041.9",,,,,,,,,,,,,
,,,치위생학과,주간,1학기,193,"1,882,389.9",,,,,,,,,,,,,
,,,,,2학기,192,"2,055,386.2",,,,,,,,,,,,,
,,사회과학대학,경제학과,주간,1학기,283,"1,226,680.5",,,,,,,,,,,,,
,,,,,2학기,248,"1,330,245.4",,,,,,,,,,,,,
,,,관광경영학과,주간,1학기,477,"1,464,847.6",,,,,,,,,,,,,
,,,,,2학기,449,"1,612,505.2",,,,,,,,,,,,,
,,,글로벌경제학과,주간,1학기,356,"1,264,429.3",,,,,,,,,,,,,
,,,,,2학기,333,"1,514,151.4",,,,,,,,,,,,,
,,,,야간,1학기,20,"465,750",,,,,,,,,,,,,
,,,,,2학기,17,"373,441.2",,,,,,,,,,,,,
,,,미디어커뮤니케이션학과,주간,1학기,491,"1,694,200.4",,,,,,,,,,,,,
,,,,,2학기,478,"1,890,619.6",,,,,,,,,,,,,
,,,사회복지학과,주간,1학기,288,"1,904,447.5",,,,,,,,,,,,,
,,,,,2학기,268,"2,279,790.1",,,,,,,,,,,,,
,,,심리학과,주간,1학기,120,"1,727,241.3",,,,,,,,,,,,,
,,,,,2학기,120,"1,912,884.2",,,,,,,,,,,,,
,,,유아교육학과,주간,1학기,268,"1,622,224.6",,,,,,,,,,,,,
,,,,,2학기,260,"1,766,892.7",,,,,,,,,,,,,
,,,응용통계학과,주간,1학기,254,"1,395,870.6",,,,,,,,,,,,,
,,,,,2학기,225,"1,653,907.4",,,,,,,,,,,,,
,,,의료경영학과,주간,1학기,186,"1,708,818.5",,,,,,,,,,,,,
,,,,,2학기,175,"2,001,739.5",,,,,,,,,,,,,
,,,헬스케어경영학과,주간,1학기,106,"1,363,992.5",,,,,,,,,,,,,
,,,,,2학기,98,"1,815,489.8",,,,,,,,,,,,,
,,약학대학,약학과(2+4학제),주간,1학기,128,"2,974,538",,,,,,,,,,,,,
,,,,,2학기,128,"2,945,012",,,,,,,,,,,,,
,,예술ㆍ체육대학,미술·디자인학부(디자인),주간,1학기,528,"1,515,247.3",,,,,,,,,,,,,
,,,,,2학기,501,"1,740,930.1",,,,,,,,,,,,,
,,,미술·디자인학부(패션디자인),주간,1학기,217,"1,363,773.5",,,,,,,,,,,,,
,,,,,2학기,199,"1,706,898",,,,,,,,,,,,,
,,,미술·디자인학부(회화·조소),주간,1학기,308,"1,278,828.9",,,,,,,,,,,,,
,,,,,2학기,260,"1,502,046.2",,,,,,,,,,,,,
,,,연기예술학과,주간,1학기,156,"1,727,801.9",,,,,,,,,,,,,
,,,,,2학기,134,"2,027,820.9",,,,,,,,,,,,,
,,,음악학부(기악),주간,1학기,207,"1,785,550.2",,,,,,,,,,,,,
,,,,,2학기,208,"2,159,393.4",,,,,,,,,,,,,
,,,음악학부(성악),주간,1학기,89,"2,431,333.7",,,,,,,,,,,,,
,,,,,2학기,106,"2,370,829.8",,,,,,,,,,,,,
,,,음악학부(작곡),주간,1학기,55,"1,492,891.8",,,,,,,,,,,,,
,,,,,2학기,58,"1,604,364.7",,,,,,,,,,,,,
,,,체육학부(체육),주간,1학기,195,"2,233,989.2",,,,,,,,,,,,,
,,,,,2학기,180,"1,915,981",,,,,,,,,,,,,
,,,체육학부(태권도),주간,1학기,142,"3,601,430.3",,,,,,,,,,,,,
,,,,,2학기,147,"2,830,569.7",,,,,,,,,,,,,
,,의과대학,의예과,주간,1학기,84,"5,644,756.7",,,,,,,,,,,,,
,,,,,2학기,79,"5,594,109.6",,,,,,,,,,,,,
,,,의학과,주간,1학기,152,"5,972,667.1",,,,,,,,,,,,,
,,,,,2학기,151,"6,065,556.3",,,,,,,,,,,,,
,,인문대학,동양어문학과,주간,1학기,448,"1,179,771.4",,,,,,,,,,,,,
,,,,,2학기,408,"1,356,085.7",,,,,,,,,,,,,
