통합_학과별_장학금_21-23,,,,,,,,,,,,,,,,,,,,
기준연도,학교명,단과대학,학과,구분,학기,"재학생
(A)","재학생 1인당
장학금
(D=B/A)",,,,,,,,,,,,,
,,,,,2학기,198,"1,597,327.1",,,,,,,,,,,,,
,,,,야간,2학기,30,"763,268.7",,,,,,,,,,,,,
,,,신소재공학과,주간,1학기,516,"1,536,618.1",,,,,,,,,,,,,
,,,,,1학기,52,"1,345,809.8",,,,,,,,,,,,,
,,,,야간,1학기,31,"568,420.3",,,,,,,,,,,,,
,,,,주간,2학기,475,"1,562,546.3",,,,,,,,,,,,,
,,,,야간,2학기,28,"661,229.3",,,,,,,,,,,,,
,,,,주간,2학기,45,"1,563,537.3",,,,,,,,,,,,,
,,,창의융합학과,주간,1학기,120,"1,796,334.9",,,,,,,,,,,,,
,,,,,1학기,63,"1,220,791.1",,,,,,,,,,,,,
,,,,,2학기,65,"1,289,809.7",,,,,,,,,,,,,
,,,,,2학기,114,"1,745,447.1",,,,,,,,,,,,,
,,,화학생명공학과,주간,1학기,482,"1,558,802.3",,,,,,,,,,,,,
,,,,야간,1학기,29,"1,395,418.6",,,,,,,,,,,,,
,,,,,2학기,27,"1,801,090.7",,,,,,,,,,,,,
,,,,주간,2학기,454,"1,811,379.3",,,,,,,,,,,,,
,,인문사회대학,공공행정학과,주간,1학기,139,"1,416,881.3",,,,,,,,,,,,,
,,,,,2학기,143,"1,441,399.8",,,,,,,,,,,,,
,,,영어영문학과,야간,1학기,19,"1,241,710.8",,,,,,,,,,,,,
,,,,주간,1학기,219,"1,213,551.2",,,,,,,,,,,,,
,,,,야간,2학기,16,"1,151,319.4",,,,,,,,,,,,,
,,,,주간,2학기,213,"1,317,164.2",,,,,,,,,,,,,
,,,일본어과,주간,1학기,226,"1,401,152.1",,,,,,,,,,,,,
,,,,야간,1학기,28,"641,363.9",,,,,,,,,,,,,
,,,,,2학기,26,"918,204.2",,,,,,,,,,,,,
,,,,주간,2학기,211,"1,583,670.5",,,,,,,,,,,,,
,,,중국어과,주간,1학기,248,"1,394,052.1",,,,,,,,,,,,,
,,,,,2학기,214,"1,566,005.3",,,,,,,,,,,,,
,,정보기술대학,모바일융합공학과,주간,1학기,41,"1,201,256.6",,,,,,,,,,,,,
,,,,,2학기,34,"1,354,802.4",,,,,,,,,,,,,
,,,인공지능소프트웨어학과,주간,1학기,40,"1,289,320",,,,,,,,,,,,,
,,,,,2학기,39,"1,496,662.1",,,,,,,,,,,,,
,,,전기공학과,주간,1학기,272,"1,357,410.1",,,,,,,,,,,,,
,,,,야간,1학기,28,"869,438.9",,,,,,,,,,,,,
,,,,주간,1학기,25,"1,255,228.8",,,,,,,,,,,,,
,,,,,2학기,264,"1,460,518.9",,,,,,,,,,,,,
,,,,야간,2학기,26,"1,148,166.5",,,,,,,,,,,,,
,,,,주간,2학기,26,"1,662,438.5",,,,,,,,,,,,,
,,,전자·제어공학과,야간,1학기,33,"1,126,480.6",,,,,,,,,,,,,
,,,,주간,1학기,347,"1,217,789.3",,,,,,,,,,,,,
,,,,야간,2학기,33,"1,131,934.8",,,,,,,,,,,,,
,,,,주간,2학기,357,"1,403,531.6",,,,,,,,,,,,,
,,,전자공학과,주간,1학기,202,"1,339,814.9",,,,,,,,,,,,,
,,,,,2학기,178,"1,261,993.4",,,,,,,,,,,,,
,,,정보통신공학과,주간,1학기,401,"1,380,274.4",,,,,,,,,,,,,
,,,,,2학기,405,"1,674,022.5",,,,,,,,,,,,,
,,,지능미디어공학과,주간,1학기,41,"1,526,830.5",,,,,,,,,,,,,
,,,,,2학기,35,"1,744,600.6",,,,,,,,,,,,,
,,,컴퓨터공학과,주간,1학기,300,"1,641,335.9",,,,,,,,,,,,,
,,,,야간,1학기,13,"1,496,105.4",,,,,,,,,,,,,
,,,,주간,2학기,305,"1,787,735.3",,,,,,,,,,,,,
,,,,야간,2학기,10,"1,792,126",,,,,,,,,,,,,
,,건설환경조형대학,건설환경공학과,야간,1학기,32,"903,299.7",,,,,,,,,,,,,
,,,,주간,1학기,394,"1,419,940.2",,,,,,,,,,,,,
,,,,,1학기,72,"1,196,394.2",,,,,,,,,,,,,
,,,,야간,2학기,31,"1,313,235.5",,,,,,,,,,,,,
,,,,주간,2학기,71,"1,078,839.2",,,,,,,,,,,,,
,,,,,2학기,384,"1,355,701.3",,,,,,,,,,,,,
,,,건축공학과,야간,1학기,20,"1,045,066",,,,,,,,,,,,,
,,,,주간,1학기,56,"1,239,103.1",,,,,,,,,,,,,
,,,,,1학기,208,"1,467,059.4",,,,,,,,,,,,,
,,,,야간,2학기,21,"911,045.7",,,,,,,,,,,,,
,,,,주간,2학기,53,"1,569,816.2",,,,,,,,,,,,,
,,,,,2학기,199,"1,511,601.3",,,,,,,,,,,,,
,,,건축학과(5년제),주간,1학기,139,"1,488,799.9",,,,,,,,,,,,,
,,,,,2학기,140,"1,576,273.3",,,,,,,,,,,,,
,,,도시공학과,주간,1학기,218,"1,408,933.2",,,,,,,,,,,,,
,,,,야간,1학기,27,"671,151.9",,,,,,,,,,,,,
,,,,주간,2학기,195,"1,648,794.6",,,,,,,,,,,,,
,,,,야간,2학기,21,"932,430.5",,,,,,,,,,,,,
,,,산업디자인학과,야간,1학기,26,"1,667,064",,,,,,,,,,,,,
,,,,주간,1학기,178,"1,805,184.5",,,,,,,,,,,,,
,,,,야간,2학기,24,"1,638,015",,,,,,,,,,,,,
,,,,주간,2학기,177,"1,853,268.1",,,,,,,,,,,,,
,,,시각・영상디자인학과,주간,1학기,54,"1,811,374.8",,,,,,,,,,,,,
,,,,,2학기,47,"1,915,258.3",,,,,,,,,,,,,
,,,시각디자인학과,야간,1학기,26,"848,370.4",,,,,,,,,,,,,
,,,,주간,1학기,137,"1,616,828.8",,,,,,,,,,,,,
,,,,,2학기,128,"1,916,202.9",,,,,,,,,,,,,
,,,,야간,2학기,24,"1,237,782.5",,,,,,,,,,,,,
,,미래산업융합대학,IT시스템공학과,야간,1학기,33,"2,037,084.2",,,,,,,,,,,,,
,,,,주간,1학기,18,"1,651,807.8",,,,,,,,,,,,,
,,,,야간,2학기,34,"1,988,325.3",,,,,,,,,,,,,
,,,,주간,2학기,17,"2,073,451.8",,,,,,,,,,,,,
,,,기계소재융합시스템공학과,주간,1학기,16,"1,216,576.9",,,,,,,,,,,,,
,,,,야간,1학기,22,"1,386,546.8",,,,,,,,,,,,,
,,,,,2학기,18,"2,197,762.2",,,,,,,,,,,,,
,,,,주간,2학기,14,"1,840,327.1",,,,,,,,,,,,,
,,,생산경영공학과,야간,1학기,36,"55,340.3",,,,,,,,,,,,,
,,,,,2학기,30,"73,450",,,,,,,,,,,,,
,,,생활디자인학과,야간,1학기,20,"1,244,698",,,,,,,,,,,,,
,,,,,2학기,15,"1,831,232",,,,,,,,,,,,,
,,,스마트제조응용공학과,주간,1학기,25,"1,663,847.6",,,,,,,,,,,,,
,,,,야간,1학기,21,"1,995,565.2",,,,,,,,,,,,,
,,,,,2학기,20,"1,533,526",,,,,,,,,,,,,
,,,,주간,2학기,23,"1,492,880.4",,,,,,,,,,,,,
,,,스포츠건강과학과,야간,1학기,11,"1,009,499.1",,,,,,,,,,,,,
,,,,주간,1학기,43,"1,245,853",,,,,,,,,,,,,
,,,,야간,2학기,10,"1,129,710",,,,,,,,,,,,,
,,,,주간,2학기,39,"1,454,192.1",,,,,,,,,,,,,
,,,융합건설시스템학과,야간,1학기,51,"1,646,299.8",,,,,,,,,,,,,
,,,,,2학기,51,"1,615,629.8",,,,,,,,,,,,,
,,,융합기술학과,야간,1학기,107,0,,,,,,,,,,,,,
,,,,,2학기,99,"25,252.5",,,,,,,,,,,,,
,,,융합디자인학과,야간,1학기,45,"2,178,520.7",,,,,,,,,,,,,
,,,,,2학기,44,"2,014,953.6",,,,,,,,,,,,,
,,,전기시스템공학과,주간,1학기,87,"1,597,177.8",,,,,,,,,,,,,
,,,,야간,1학기,18,"1,759,248.3",,,,,,,,,,,,,
,,,,,2학기,19,"1,912,450.5",,,,,,,,,,,,,
,,,,주간,2학기,81,"1,771,623.2",,,,,,,,,,,,,
,,,창업경영학과,주간,1학기,40,"1,345,127.8",,,,,,,,,,,,,
,,,,야간,1학기,48,"1,418,228.3",,,,,,,,,,,,,
,,,,주간,2학기,39,"1,349,357.2",,,,,,,,,,,,,
,,,,야간,2학기,47,"1,478,299.8",,,,,,,,,,,,,
,,,통합물관리학과,야간,1학기,45,0,,,,,,,,,,,,,
,,,,,2학기,46,0,,,,,,,,,,,,,
,,,협동조합금융학과,야간,1학기,43,"270,930.2",,,,,,,,,,,,,
,,,,,2학기,42,"301,904.8",,,,,,,,,,,,,
,,,회계세무부동산학과,야간,1학기,52,"1,577,180.4",,,,,,,,,,,,,
,,,,주간,1학기,126,"1,641,342.6",,,,,,,,,,,,,
,,,,야간,2학기,49,"1,538,585.3",,,,,,,,,,,,,
,,,,주간,2학기,120,"1,665,740.3",,,,,,,,,,,,,
,국민대학교,건축대학,건축설계전공,주간,1학기,179,"2,024,916.6",,,,,,,,,,,,,
,,,,,2학기,192,"2,147,835",,,,,,,,,,,,,
,,,건축시스템전공,주간,1학기,33,"1,967,755.2",,,,,,,,,,,,,
,,,,,2학기,35,"2,336,882.3",,,,,,,,,,,,,
,,,건축학부,주간,1학기,144,"1,612,401.7",,,,,,,,,,,,,
,,,,,2학기,133,"2,355,176.6",,,,,,,,,,,,,
,,,건축학전공,주간,1학기,1,"4,448,000",,,,,,,,,,,,,
,,,,,2학기,1,"5,448,000",,,,,,,,,,,,,
,,경상대학,경제학과,주간,1학기,280,"1,427,032.9",,,,,,,,,,,,,
,,,,,2학기,260,"1,794,246",,,,,,,,,,,,,
,,,국제통상학과,주간,1학기,318,"1,295,956.7",,,,,,,,,,,,,
,,,,,2학기,271,"1,627,915.2",,,,,,,,,,,,,
,,경영대학,AI빅데이터융합경영학과,주간,1학기,223,"1,639,878.3",,,,,,,,,,,,,
,,,,,2학기,202,"1,957,873.1",,,,,,,,,,,,,
,,,International Business 전공,주간,1학기,101,"1,706,984.6",,,,,,,,,,,,,
,,,,,2학기,97,"2,237,590",,,,,,,,,,,,,
,,,KMU International Business school,주간,1학기,94,"1,531,054.9",,,,,,,,,,,,,
,,,,,2학기,93,"1,831,784.2",,,,,,,,,,,,,
,,,경영정보전공,주간,1학기,147,"1,968,749",,,,,,,,,,,,,
,,,,,2학기,133,"2,201,171.3",,,,,,,,,,,,,
,,,경영정보학부,주간,1학기,100,"1,474,915.1",,,,,,,,,,,,,
,,,,,2학기,105,"1,820,324.6",,,,,,,,,,,,,
,,,경영학부,주간,1학기,352,"1,292,903.7",,,,,,,,,,,,,
,,,,,2학기,281,"1,538,223.6",,,,,,,,,,,,,
,,,경영학전공,주간,1학기,451,"1,184,170.3",,,,,,,,,,,,,
,,,,,2학기,442,"1,535,155.7",,,,,,,,,,,,,
,,,글로벌경영전공,주간,1학기,70,"671,271.4",,,,,,,,,,,,,
,,,,,2학기,72,"644,930.6",,,,,,,,,,,,,
,,,기업경영전공,야간,1학기,276,"2,663,830.3",,,,,,,,,,,,,
,,,,,2학기,368,"1,979,426.6",,,,,,,,,,,,,
,,,기업경영학부,야간,1학기,258,"2,693,598.5",,,,,,,,,,,,,
,,,,,2학기,126,"5,684,192.7",,,,,,,,,,,,,
,,,빅데이터경영통계전공,주간,2학기,4,"1,150,500",,,,,,,,,,,,,
,,,재무금융전공,주간,1학기,203,"1,330,112.9",,,,,,,,,,,,,
,,,,,2학기,207,"1,821,959.8",,,,,,,,,,,,,
,,,재무금융회계학부,주간,1학기,11,"2,669,320",,,,,,,,,,,,,
,,,,,2학기,10,"2,726,325",,,,,,,,,,,,,
,,,정보시스템전공,주간,1학기,2,"2,856,000",,,,,,,,,,,,,
,,,,,2학기,1,0,,,,,,,,,,,,,
,,,파이낸스보험경영학전공,주간,2학기,4,"2,124,000",,,,,,,,,,,,,
,,,회계학전공,주간,1학기,210,"1,678,109.6",,,,,,,,,,,,,
,,,,,2학기,192,"2,011,146.2",,,,,,,,,,,,,
,,공과대학,기계시스템공학전공,주간,1학기,1,0,,,,,,,,,,,,,
,,,,,2학기,1,"5,031,000",,,,,,,,,,,,,
,,,신소재공학부,주간,1학기,2,"1,350,000",,,,,,,,,,,,,
,,,,,2학기,1,"4,311,000",,,,,,,,,,,,,
,,,신소재공학전공,주간,1학기,24,"1,675,177.1",,,,,,,,,,,,,
,,,,,2학기,24,"1,793,765",,,,,,,,,,,,,
,,과학기술대학,나노소재전공,주간,1학기,115,"1,871,367",,,,,,,,,,,,,
,,,,,2학기,112,"2,021,392.7",,,,,,,,,,,,,
,,,나노전자물리학과,주간,1학기,168,"1,711,212.3",,,,,,,,,,,,,
,,,,,2학기,145,"2,255,621",,,,,,,,,,,,,
,,,바이오발효융합학과,주간,1학기,180,"1,768,478.9",,,,,,,,,,,,,
,,,,,2학기,167,"2,414,987.2",,,,,,,,,,,,,
,,,바이오의약전공,주간,1학기,89,"2,237,208.6",,,,,,,,,,,,,
,,,,,2학기,81,"2,687,931.9",,,,,,,,,,,,,
,,,산림환경시스템학과,주간,1학기,149,"1,567,718.8",,,,,,,,,,,,,
,,,,,2학기,152,"2,056,675.6",,,,,,,,,,,,,
,,,식품영양학과,주간,1학기,188,"1,763,507.1",,,,,,,,,,,,,
,,,,,2학기,174,"2,108,398.9",,,,,,,,,,,,,
,,,응용화학과,주간,1학기,64,"1,820,603.4",,,,,,,,,,,,,
,,,,,2학기,54,"2,492,450",,,,,,,,,,,,,
,,,응용화학부,주간,1학기,13,"3,355,760.8",,,,,,,,,,,,,
,,,,,2학기,13,"3,854,401.5",,,,,,,,,,,,,
,,,임산생명공학과,주간,1학기,155,"2,077,185.7",,,,,,,,,,,,,
,,,,,2학기,141,"2,521,155.5",,,,,,,,,,,,,
,,,정보보안암호수학과,주간,1학기,175,"1,820,252.5",,,,,,,,,,,,,
,,,,,2학기,167,"2,128,469.1",,,,,,,,,,,,,
,,문과대학,국사학과,주간,1학기,4,"1,578,000",,,,,,,,,,,,,
,,,,,2학기,5,"200,000",,,,,,,,,,,,,
,,,국어국문학과,주간,1학기,2,"1,520,000",,,,,,,,,,,,,
,,,,,2학기,2,0,,,,,,,,,,,,,
,,,영어영문학과,주간,1학기,2,0,,,,,,,,,,,,,
,,,,,2학기,2,0,,,,,,,,,,,,,
,,,중어중문학과,주간,1학기,4,"760,000",,,,,,,,,,,,,
,,,,,2학기,3,"1,956,333.3",,,,,,,,,,,,,
,,법과대학,공법학전공,주간,1학기,166,"2,093,452.5",,,,,,,,,,,,,
,,,,,2학기,169,"2,248,795.9",,,,,,,,,,,,,
,,,기업융합법학과,야간,1학기,196,"2,174,116.8",,,,,,,,,,,,,
,,,,,2학기,172,"2,484,953.6",,,,,,,,,,,,,
,,,법학부,주간,1학기,234,"1,702,041.5",,,,,,,,,,,,,
,,,,,2학기,201,"2,022,585.9",,,,,,,,,,,,,
,,,사법학전공,주간,1학기,88,"1,508,395.3",,,,,,,,,,,,,
,,,,,2학기,91,"2,039,755.4",,,,,,,,,,,,,
,,사회과학대학,광고홍보학전공,주간,1학기,235,"1,649,665.3",,,,,,,,,,,,,
,,,,,2학기,223,"1,998,790.3",,,,,,,,,,,,,
,,,교육학과,주간,1학기,152,"1,436,008.5",,,,,,,,,,,,,
,,,,,2학기,133,"1,886,277.9",,,,,,,,,,,,,
,,,러시아・유라시아학과,주간,1학기,120,"1,817,784.3",,,,,,,,,,,,,
,,,,,2학기,110,"1,960,101.6",,,,,,,,,,,,,
,,,러시아학전공,주간,1학기,4,"1,585,000",,,,,,,,,,,,,
,,,,,2학기,3,"1,871,000",,,,,,,,,,,,,
,,,미디어·광고학부,주간,1학기,16,"2,182,687.5",,,,,,,,,,,,,
,,,,,2학기,16,"2,747,272.5",,,,,,,,,,,,,
,,,미디어전공,주간,1학기,294,"1,433,034.2",,,,,,,,,,,,,
,,,,,2학기,270,"1,830,068.7",,,,,,,,,,,,,
,,,사회학과,주간,1학기,187,"1,754,482",,,,,,,,,,,,,
,,,,,2학기,180,"2,007,537.2",,,,,,,,,,,,,
,,,일본학과,주간,1학기,129,"1,563,475.6",,,,,,,,,,,,,
,,,,,2학기,126,"1,700,711.8",,,,,,,,,,,,,
,,,일본학전공,주간,1학기,9,"705,906.7",,,,,,,,,,,,,
,,,,,2학기,6,"1,748,500",,,,,,,,,,,,,
,,,정책학전공,주간,1학기,10,"2,313,000",,,,,,,,,,,,,
,,,,,2학기,8,"1,676,375",,,,,,,,,,,,,
,,,정치외교학과,주간,1학기,203,"1,866,881.3",,,,,,,,,,,,,
,,,,,2학기,185,"2,241,117.2",,,,,,,,,,,,,
,,,중국학전공,주간,1학기,7,"1,471,842.9",,,,,,,,,,,,,
,,,,,2학기,1,"3,302,000",,,,,,,,,,,,,
,,,행정관리학과,야간,1학기,43,"247,290.7",,,,,,,,,,,,,
,,,,,2학기,43,"184,279.1",,,,,,,,,,,,,
,,,행정정책학부,주간,2학기,1,0,,,,,,,,,,,,,
,,,행정학과,주간,1학기,250,"1,649,780.8",,,,,,,,,,,,,
,,,,,2학기,242,"2,069,432.9",,,,,,,,,,,,,
,,,행정학전공,주간,1학기,64,"1,640,205.2",,,,,,,,,,,,,
,,,,,2학기,51,"1,942,158.5",,,,,,,,,,,,,
,,삼림과학대학,산림환경시스템학과,주간,2학기,2,0,,,,,,,,,,,,,
,,예술대학,관현악전공,주간,1학기,140,"1,951,324.3",,,,,,,,,,,,,
,,,,,2학기,131,"2,370,326.3",,,,,,,,,,,,,
,,,무용전공,주간,1학기,107,"1,732,702.6",,,,,,,,,,,,,
,,,,,2학기,106,"2,375,955.8",,,,,,,,,,,,,
,,,성악전공,주간,1학기,93,"1,938,142.2",,,,,,,,,,,,,
,,,,,2학기,92,"2,296,804.3",,,,,,,,,,,,,
,,,연극영화전공,주간,1학기,2,"1,175,000",,,,,,,,,,,,,
,,,,,2학기,1,"4,896,000",,,,,,,,,,,,,
,,,연극전공,주간,1학기,97,"1,954,048.9",,,,,,,,,,,,,
,,,,,2학기,81,"3,005,850.7",,,,,,,,,,,,,
,,,영화전공,주간,1학기,96,"1,967,686.9",,,,,,,,,,,,,
,,,,,2학기,77,"2,897,168.3",,,,,,,,,,,,,
,,,입체미술전공,주간,1학기,84,"1,164,510.5",,,,,,,,,,,,,
,,,,,2학기,83,"1,702,438.3",,,,,,,,,,,,,
,,,작곡전공,주간,1학기,57,"1,830,423.2",,,,,,,,,,,,,
,,,,,2학기,47,"3,121,806.3",,,,,,,,,,,,,
,,,피아노전공,주간,1학기,77,"1,616,603.9",,,,,,,,,,,,,
,,,,,2학기,77,"2,150,109.4",,,,,,,,,,,,,
,,,회화전공,주간,1학기,142,"1,497,004.2",,,,,,,,,,,,,
,,,,,2학기,132,"1,970,659.1",,,,,,,,,,,,,
,,자연과학대학,나노전자물리학과,주간,1학기,2,"2,196,500",,,,,,,,,,,,,
,,,,,2학기,2,0,,,,,,,,,,,,,
,,,생명나노화학과,주간,1학기,1,"3,057,000",,,,,,,,,,,,,
,,,수학과,주간,1학기,3,"783,333.3",,,,,,,,,,,,,
,,,,,2학기,3,"2,562,000",,,,,,,,,,,,,
,,전자정보통신대학,전자공학부,주간,1학기,2,0,,,,,,,,,,,,,
,,,,,2학기,1,"4,311,000",,,,,,,,,,,,,
,,,전자공학전공,주간,1학기,18,"719,638.9",,,,,,,,,,,,,
,,,,,2학기,13,"1,499,115.4",,,,,,,,,,,,,
,,,컴퓨터공학전공,주간,1학기,7,"1,570,958.6",,,,,,,,,,,,,
,,,,,2학기,6,"3,883,510.8",,,,,,,,,,,,,
,,조형대학,AI디자인학과,주간,1학기,24,"3,022,320.8",,,,,,,,,,,,,
,,,,,2학기,24,"3,129,666.7",,,,,,,,,,,,,
,,,공간디자인학과,주간,1학기,163,"1,450,482.8",,,,,,,,,,,,,
,,,,,2학기,164,"1,828,852.5",,,,,,,,,,,,,
,,,공업디자인학과,주간,1학기,156,"1,537,364.7",,,,,,,,,,,,,
,,,,,2학기,157,"1,876,539.9",,,,,,,,,,,,,
,,,금속공예학과,주간,1학기,108,"1,191,464.8",,,,,,,,,,,,,
,,,,,2학기,110,"1,413,258.4",,,,,,,,,,,,,
,,,도자공예학과,주간,1학기,101,"1,546,874.3",,,,,,,,,,,,,
,,,,,2학기,91,"2,143,727.1",,,,,,,,,,,,,
,,,시각디자인학과,주간,1학기,185,"1,364,681.1",,,,,,,,,,,,,
,,,,,2학기,194,"1,897,719.2",,,,,,,,,,,,,
,,,영상디자인학과,주간,1학기,133,"1,459,622.1",,,,,,,,,,,,,
,,,,,2학기,128,"1,795,109",,,,,,,,,,,,,
,,,의상디자인학과,주간,1학기,164,"1,212,644",,,,,,,,,,,,,
,,,,,2학기,170,"1,505,999.9",,,,,,,,,,,,,
,,,자동차•운송디자인학과,주간,1학기,116,"1,313,417.1",,,,,,,,,,,,,
,,,,,2학기,112,"1,614,992.9",,,,,,,,,,,,,
,,체육대학,스포츠건강재활학과,주간,1학기,116,"1,786,570.1",,,,,,,,,,,,,
,,,,,2학기,113,"2,178,985.1",,,,,,,,,,,,,
,,,스포츠경영학전공,주간,1학기,1,0,,,,,,,,,,,,,
,,,스포츠교육학과,주간,1학기,141,"1,481,291.8",,,,,,,,,,,,,
,,,,,2학기,133,"1,927,948.4",,,,,,,,,,,,,
,,,스포츠산업레저학과,주간,1학기,135,"1,784,281",,,,,,,,,,,,,
,,,,,2학기,129,"2,171,554.3",,,,,,,,,,,,,
,,단과대구분없음,건축학전공,주간,1학기,3,0,,,,,,,,,,,,,
,,,,,2학기,1,0,,,,,,,,,,,,,
,,,미래모빌리티학과,주간,1학기,30,"2,375,243.3",,,,,,,,,,,,,
,,,,,2학기,29,"2,520,015.2",,,,,,,,,,,,,
,,자동차융합대학,자동차IT융합학과,주간,1학기,233,"2,117,550.2",,,,,,,,,,,,,
,,,,,2학기,212,"2,891,794.1",,,,,,,,,,,,,
,,,자동차공학과,주간,1학기,400,"1,825,234.1",,,,,,,,,,,,,
,,,,,2학기,369,"2,372,872.3",,,,,,,,,,,,,
,,글로벌인문ㆍ지역대학,국어국문학전공,주간,1학기,167,"1,458,206.6",,,,,,,,,,,,,
,,,,,2학기,153,"1,884,394.4",,,,,,,,,,,,,
,,,글로벌커뮤니케이션영어전공,주간,1학기,84,"1,317,443.8",,,,,,,,,,,,,
,,,,,2학기,77,"1,560,009.1",,,,,,,,,,,,,
,,,글로벌한국어전공,주간,1학기,135,"1,172,974.8",,,,,,,,,,,,,
,,,,,2학기,124,"1,318,634.8",,,,,,,,,,,,,
,,,영미어문전공,주간,1학기,79,"1,243,673.2",,,,,,,,,,,,,
,,,,,2학기,69,"1,635,249",,,,,,,,,,,,,
,,,영어영문학부,주간,1학기,147,"1,282,254.6",,,,,,,,,,,,,
,,,,,2학기,139,"1,641,486.3",,,,,,,,,,,,,
,,,유라시아학과,주간,2학기,1,"3,302,000",,,,,,,,,,,,,
,,,중국어문전공,주간,1학기,157,"1,722,187.8",,,,,,,,,,,,,
,,,,,2학기,137,"1,926,668",,,,,,,,,,,,,
,,,중국정경전공,주간,1학기,124,"1,408,259",,,,,,,,,,,,,
,,,,,2학기,133,"1,646,416.1",,,,,,,,,,,,,
,,,중국학부,주간,1학기,8,"2,293,250",,,,,,,,,,,,,
,,,,,2학기,8,"2,581,500",,,,,,,,,,,,,
,,,한국어문학부,주간,1학기,9,"3,408,277.8",,,,,,,,,,,,,
,,,,,2학기,8,"4,617,160",,,,,,,,,,,,,
,,,한국역사학과,주간,1학기,211,"1,815,750.4",,,,,,,,,,,,,
,,,,,2학기,195,"2,254,708.5",,,,,,,,,,,,,
,,창의공과대학,건설시스템공학부,주간,1학기,135,"1,396,878.9",,,,,,,,,,,,,
,,,,,2학기,130,"1,969,964.1",,,,,,,,,,,,,
,,,건설시스템공학전공,주간,1학기,132,"2,245,327.8",,,,,,,,,,,,,
,,,,,2학기,128,"2,791,689.5",,,,,,,,,,,,,
,,,기계공학부,주간,1학기,202,"1,674,940.5",,,,,,,,,,,,,
,,,,,2학기,183,"2,110,991.1",,,,,,,,,,,,,
,,,기계금속재료전공,주간,1학기,210,"1,794,498.2",,,,,,,,,,,,,
,,,,,2학기,213,"2,180,559.3",,,,,,,,,,,,,
,,,기계시스템공학전공,주간,1학기,255,"1,821,177.4",,,,,,,,,,,,,
,,,,,2학기,256,"2,587,950.5",,,,,,,,,,,,,
,,,신소재공학부,주간,1학기,18,"2,391,127.8",,,,,,,,,,,,,
,,,,,2학기,17,"2,247,258.8",,,,,,,,,,,,,
,,,에너지기계공학전공,주간,1학기,107,"1,867,091.8",,,,,,,,,,,,,
,,,,,2학기,106,"2,147,466.8",,,,,,,,,,,,,
,,,에너지전자융합전공,주간,1학기,1,"862,000",,,,,,,,,,,,,
,,,,,2학기,2,"831,000",,,,,,,,,,,,,
,,,융합기계공학전공,주간,1학기,177,"1,830,159.3",,,,,,,,,,,,,
,,,,,2학기,173,"2,493,249",,,,,,,,,,,,,
,,,융합전자공학전공,주간,2학기,32,"2,424,493",,,,,,,,,,,,,
,,,전자공학부,주간,1학기,28,"2,646,167.9",,,,,,,,,,,,,
,,,,,2학기,25,"3,217,972.8",,,,,,,,,,,,,
,,,전자시스템공학전공,주간,1학기,337,"1,571,376.1",,,,,,,,,,,,,
,,,,,2학기,321,"2,255,596.2",,,,,,,,,,,,,
,,,전자화학재료전공,주간,1학기,270,"2,072,239",,,,,,,,,,,,,
,,,,,2학기,267,"2,596,583",,,,,,,,,,,,,
,,,지능전자공학전공,주간,1학기,197,"1,873,883.7",,,,,,,,,,,,,
,,,,,2학기,189,"2,453,161.1",,,,,,,,,,,,,
,,,지능형반도체융합전자전공,주간,1학기,379,"1,701,094.9",,,,,,,,,,,,,
,,,,,2학기,346,"2,300,940.2",,,,,,,,,,,,,
,,소프트웨어융합대학,소프트웨어전공,주간,1학기,354,"2,058,243.5",,,,,,,,,,,,,
,,,,,2학기,345,"2,535,518.5",,,,,,,,,,,,,
,,,소프트웨어학부,주간,1학기,258,"1,678,426.5",,,,,,,,,,,,,
,,,,,2학기,256,"2,330,902.9",,,,,,,,,,,,,
,,,인공지능학부,주간,1학기,49,"1,524,421.2",,,,,,,,,,,,,
,,,,,2학기,46,"2,213,055",,,,,,,,,,,,,
,극동대학교,과학기술대학,AI컴퓨터공학과,주간,1학기,82,"1,515,276.8",,,,,,,,,,,,,
,,,,,2학기,75,"1,796,147.9",,,,,,,,,,,,,
,,,글로벌반도체공학과,주간,1학기,2,"2,721,700",,,,,,,,,,,,,
,,,,,2학기,1,0,,,,,,,,,,,,,
,,,반도체장비공학과,주간,1학기,74,"1,664,961.5",,,,,,,,,,,,,
,,,,,2학기,71,"2,202,876.2",,,,,,,,,,,,,
,,,에너지IT공학과,주간,1학기,86,"1,464,090.7",,,,,,,,,,,,,
,,,,,2학기,76,"1,649,668.4",,,,,,,,,,,,,
,,,친환경에너지공학과,주간,1학기,1,"4,427,000",,,,,,,,,,,,,
,,,,,2학기,1,"3,973,000",,,,,,,,,,,,,
,,,해킹보안학과,주간,1학기,82,"2,101,902.4",,,,,,,,,,,,,
,,,,,2학기,77,"2,204,328.6",,,,,,,,,,,,,
,,호텔관광대학,관광경영전공,주간,1학기,3,"2,115,333.3",,,,,,,,,,,,,
,,,,,2학기,2,"1,721,500",,,,,,,,,,,,,
,,,글로벌호텔경영학과,주간,1학기,14,"1,745,500",,,,,,,,,,,,,
,,,,,2학기,30,"1,332,513.3",,,,,,,,,,,,,
,,,호텔・관광경영학과,주간,1학기,89,"1,698,826.9",,,,,,,,,,,,,
,,,,,2학기,83,"1,837,757.7",,,,,,,,,,,,,
