기준년도,학교,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
,경북대학교,인문ㆍ사회계열,"10,431","11,763",315,33.1,37.3
,,자연과학계열,"8,141","8,362",299,27.2,28
,,예ㆍ체능계열,"1,163","1,304",45,25.8,29
,,의학계열,"2,181","2,201",292,7.5,7.5
,,공학계열,"8,378","9,948",280,29.9,35.5
,경북대학교 _제2캠퍼스,인문ㆍ사회계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,경상국립대학교,자연과학계열,"4,927","5,137",198,24.9,25.9
,,의학계열,"1,022","1,054",185,5.5,5.7
,,인문ㆍ사회계열,"5,898","6,551",219,26.9,29.9
,,공학계열,"5,225","5,696",185,28.2,30.8
,,예ㆍ체능계열,459,402,21,21.9,19.1
,경성대학교,의학계열,0,0,0,0,0
,,공학계열,"2,770","2,829",104,26.6,27.2
,,인문ㆍ사회계열,"6,900","7,286",217,31.8,33.6
,,예ㆍ체능계열,"2,588","2,543",68,38.1,37.4
,,자연과학계열,"1,752","1,714",51,34.4,33.6
,경운대학교,의학계열,0,0,0,0,0
,,공학계열,537,381,44,12.2,8.7
,,예ㆍ체능계열,602,465,42,14.3,11.1
,,인문ㆍ사회계열,793,674,52,15.3,13
,,자연과학계열,978,879,61,16,14.4
,경운대학교(산업대),예ㆍ체능계열,745,765,0,0,0
,,공학계열,480,499,0,0,0
,,자연과학계열,775,869,0,0,0
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,920,925,0,0,0
,경인교육대학교,자연과학계열,"1,678","1,148",39,43,29.4
,,인문ㆍ사회계열,"3,532","2,618",62,57,42.2
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,916,575,29,31.6,19.8
,,공학계열,0,0,0,0,0
,경인교육대학교 _제2캠퍼스,인문ㆍ사회계열,0,859,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,491,0,0,0
,,예ㆍ체능계열,0,365,0,0,0
,경일대학교,예ㆍ체능계열,"1,192","1,170",39,30.6,30
,,인문ㆍ사회계열,"2,567","2,553",93,27.6,27.5
,,자연과학계열,495,441,16,30.9,27.6
,,공학계열,"3,284","3,342",105,31.3,31.8
,,의학계열,0,0,0,0,0
,경희대학교,공학계열,"4,787","5,756",214,22.4,26.9
,,의학계열,"2,822","2,685",414,6.8,6.5
,,예ㆍ체능계열,"4,672","5,022",105,44.5,47.8
,,인문ㆍ사회계열,"12,886","16,499",468,27.5,35.3
,,자연과학계열,"5,254","5,850",280,18.8,20.9
,계명대학교,예ㆍ체능계열,"4,413","4,372",108,40.9,40.5
,,의학계열,529,526,180,2.9,2.9
,,공학계열,"3,769","4,030",116,32.5,34.7
,,자연과학계열,"3,023","3,330",89,34,37.4
,,인문ㆍ사회계열,"12,079","14,333",341,35.4,42
,고려대학교,예ㆍ체능계열,585,650,16,36.6,40.6
,,의학계열,"1,328","1,305",409,3.2,3.2
,,공학계열,"6,349","7,393",244,26,30.3
,,자연과학계열,"5,810","6,384",260,22.3,24.6
,,인문ㆍ사회계열,"15,795","18,435",511,30.9,36.1
,고려대학교(세종) _분교,자연과학계열,"1,263","1,309",56,22.6,23.4
,,예ㆍ체능계열,482,581,7,68.9,83
,,공학계열,"1,695","1,950",53,32,36.8
,,인문ㆍ사회계열,"4,041","4,537",131,30.8,34.6
,,의학계열,0,0,0,0,0
,고신대학교,의학계열,496,481,156,3.2,3.1
,,인문ㆍ사회계열,"3,059","3,314",108,28.3,30.7
,,공학계열,0,0,0,0,0
,,자연과학계열,"1,415","1,399",29,48.8,48.2
,,예ㆍ체능계열,530,473,11,48.2,43
,공주교육대학교,인문ㆍ사회계열,"1,251","1,294",41,30.5,31.6
,,자연과학계열,719,637,26,27.7,24.5
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,440,383,19,23.2,20.2
,광신대학교,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,143,129,8,17.9,16.1
,,인문ㆍ사회계열,"1,202","1,017",39,30.8,26.1
,광운대학교,인문ㆍ사회계열,"3,884","4,589",135,28.8,34
,,자연과학계열,703,797,42,16.7,19
,,공학계열,"4,470","5,274",138,32.4,38.2
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,257,243,11,23.4,22.1
,광주가톨릭대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,220,119,18,12.2,6.6
,,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,광주과학기술원,공학계열,"1,484","1,193",96,15.5,12.4
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,,자연과학계열,724,681,43,16.8,15.8
,,예ㆍ체능계열,0,0,0,0,0
,광주교육대학교,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,497,504,20,24.9,25.2
,,자연과학계열,742,770,20,37.1,38.5
,,인문ㆍ사회계열,"1,385","1,314",35,39.6,37.5
,광주대학교,의학계열,0,0,0,0,0
,,자연과학계열,"1,158","1,113",29,39.9,38.4
,,예ㆍ체능계열,"1,534","1,255",37,41.5,33.9
,,인문ㆍ사회계열,"4,313","4,492",141,30.6,31.9
,,공학계열,"1,118","1,016",43,26,23.6
,광주대학교(산업대),자연과학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,25,0,0,0
,,공학계열,0,5,0,0,0
,,예ㆍ체능계열,0,5,0,0,0
,광주여자대학교,공학계열,95,69,3,31.7,23
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,270,259,5,54,51.8
,,자연과학계열,"2,122","2,193",57,37.2,38.5
,,인문ㆍ사회계열,"1,878","1,931",71,26.5,27.2
,국립강릉원주대학교,공학계열,"1,164","1,183",47,24.8,25.2
,,인문ㆍ사회계열,"2,836","2,933",95,29.9,30.9
,,예ㆍ체능계열,558,498,19,29.4,26.2
,,자연과학계열,"2,400","2,242",87,27.6,25.8
,,의학계열,236,245,41,5.8,6
,국립강릉원주대학교 _제2캠퍼스,자연과학계열,339,338,11,30.8,30.7
,,공학계열,"1,179","1,173",51,23.1,23
,,인문ㆍ사회계열,520,421,18,28.9,23.4
,,예ㆍ체능계열,362,339,14,25.9,24.2
,,의학계열,0,0,0,0,0
,국립경국대학교,의학계열,0,0,0,0,0
,,공학계열,"2,084","2,142",83,25.1,25.8
,,자연과학계열,"2,126","2,150",86,24.7,25
,,예ㆍ체능계열,508,474,21,24.2,22.6
,,인문ㆍ사회계열,"2,972","2,735",82,36.2,33.4
,국립공주대학교,인문ㆍ사회계열,"6,014","6,418",154,39.1,41.7
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,004","1,233",45,22.3,27.4
,,자연과학계열,"4,503","4,837",163,27.6,29.7
,,공학계열,"4,803","4,976",185,26,26.9
,국립군산대학교,인문ㆍ사회계열,"2,922","2,739",97,30.1,28.2
,,자연과학계열,"2,114","2,022",75,28.2,27
,,예ㆍ체능계열,727,726,21,34.6,34.6
,,공학계열,"3,493","3,292",144,24.3,22.9
,,의학계열,0,0,0,0,0
,국립금오공과대학교,인문ㆍ사회계열,520,466,22,23.6,21.2
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,"5,617","6,778",172,32.7,39.4
,,자연과학계열,451,450,13,34.7,34.6
,,의학계열,0,0,0,0,0
,국립목포대학교,인문ㆍ사회계열,"4,270","4,520",114,37.5,39.6
,,공학계열,"2,646","2,877",96,27.6,30
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,496,514,23,21.6,22.3
,,자연과학계열,"1,801","1,866",77,23.4,24.2
,국립목포해양대학교,공학계열,"2,659","2,609",100,26.6,26.1
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,국립부경대학교,예ㆍ체능계열,662,702,17,38.9,41.3
,,의학계열,0,0,0,0,0
,,공학계열,"8,816","10,254",293,30.1,35
,,인문ㆍ사회계열,"5,579","6,743",147,38,45.9
,,자연과학계열,"3,151","3,277",129,24.4,25.4
,국립순천대학교,공학계열,"2,242","2,177",78,28.7,27.9
,,예ㆍ체능계열,903,898,32,28.2,28.1
,,인문ㆍ사회계열,"3,061","3,315",93,32.9,35.6
,,의학계열,9,0,0,0,0
,,자연과학계열,"2,854","2,493",117,24.4,21.3
,국립창원대학교,자연과학계열,"1,638","1,463",61,26.9,24
,,공학계열,"3,359","3,709",116,29,32
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,713,779,27,26.4,28.9
,,인문ㆍ사회계열,"4,696","4,951",124,37.9,39.9
,국립한국교통대학교,인문ㆍ사회계열,"2,318","1,996",84,27.6,23.8
,,자연과학계열,716,699,23,31.1,30.4
,,공학계열,"5,988","4,775",198,30.2,24.1
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,312,298,11,28.4,27.1
,국립한국해양대학교,의학계열,0,0,0,0,0
,,공학계열,"4,104","4,712",162,25.3,29.1
,,예ㆍ체능계열,118,104,4,29.5,26
,,인문ㆍ사회계열,"1,629","2,029",61,26.7,33.3
,,자연과학계열,867,958,28,31,34.2
,국립한밭대학교,공학계열,"3,299","2,751",177,18.6,15.5
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,128",976,56,20.1,17.4
,,예ㆍ체능계열,243,210,12,20.3,17.5
,,자연과학계열,0,0,0,0,0
,국민대학교,자연과학계열,"1,506","1,661",65,23.2,25.6
,,예ㆍ체능계열,"3,887","3,737",117,33.2,31.9
,,공학계열,"3,640","4,343",136,26.8,31.9
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"7,833","9,600",285,27.5,33.7
,극동대학교,자연과학계열,"1,005",962,21,47.9,45.8
,,공학계열,613,546,23,26.7,23.7
,,예ㆍ체능계열,988,883,24,41.2,36.8
,,인문ㆍ사회계열,"2,223","2,119",79,28.1,26.8
,,의학계열,0,0,0,0,0
,금강대학교,인문ㆍ사회계열,605,439,30,20.2,14.6
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,김천대학교,의학계열,0,0,0,0,0
,,자연과학계열,"2,524","2,030",78,32.4,26
,,공학계열,160,80,5,32,16
,,예ㆍ체능계열,115,77,3,38.3,25.7
,,인문ㆍ사회계열,"1,296",873,70,18.5,12.5
,나사렛대학교,자연과학계열,"1,580","1,487",43,36.7,34.6
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,379,385,12,31.6,32.1
,,인문ㆍ사회계열,"3,876","4,312",122,31.8,35.3
