기준년도,학교,계열,학생정원,재학생,전임교원,전임교원1인당학생정원,전임교원1인당재학생
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,516","1,210",42,36.1,28.8
,한중대학교,인문ㆍ사회계열,"1,329",706,37,35.9,19.1
,,예ㆍ체능계열,764,373,24,31.8,15.5
,,공학계열,736,330,29,25.4,11.4
,,의학계열,0,0,0,0,0
,,자연과학계열,485,455,11,44.1,41.4
,협성대학교,자연과학계열,165,199,4,41.3,49.8
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,023","1,034",37,27.6,27.9
,,공학계열,583,542,15,38.9,36.1
,,인문ㆍ사회계열,"3,604","3,521",115,31.3,30.6
,호남대학교,의학계열,0,0,0,0,0
,,자연과학계열,"1,276","1,347",31,41.2,43.5
,,공학계열,"1,701","1,686",60,28.4,28.1
,,예ㆍ체능계열,"1,707","1,622",41,41.6,39.6
,,인문ㆍ사회계열,"3,825","4,082",107,35.7,38.1
,호남신학대학교,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,212","1,076",22,55.1,48.9
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,260,220,7,37.1,31.4
,호서대학교,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"2,276","2,083",53,42.9,39.3
,,자연과학계열,"1,408","1,418",52,27.1,27.3
,,인문ㆍ사회계열,"5,592","5,820",176,31.8,33.1
,,공학계열,"5,493","5,655",164,33.5,34.5
,호원대학교,공학계열,"1,415","1,163",38,37.2,30.6
,,인문ㆍ사회계열,"2,015","1,723",59,34.2,29.2
,,의학계열,0,0,0,0,0
,,자연과학계열,925,869,24,38.5,36.2
,,예ㆍ체능계열,"1,385","1,284",36,38.5,35.7
,홍익대학교,자연과학계열,160,179,6,26.7,29.8
,,예ㆍ체능계열,"4,769","5,017",93,51.3,53.9
,,의학계열,0,0,0,0,0
,,공학계열,"5,438","6,345",181,30,35.1
,,인문ㆍ사회계열,"5,067","5,597",233,21.7,24
,홍익대학교(세종) _분교,인문ㆍ사회계열,"1,727","1,969",85,20.3,23.2
,,자연과학계열,0,0,0,0,0
,,공학계열,"2,509","2,656",83,30.2,32
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,745","2,038",33,52.9,61.8
,화성의과학대학교,인문ㆍ사회계열,721,486,24,30,20.3
,,의학계열,0,0,0,0,0
,,자연과학계열,340,291,17,20,17.1
,,예ㆍ체능계열,190,111,8,23.8,13.9
,,공학계열,0,0,0,0,0
2012,가야대학교,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,50,24,0,0,0
,,자연과학계열,74,28,0,0,0
,,인문ㆍ사회계열,464,204,0,0,0
,가야대학교 _제2캠퍼스,인문ㆍ사회계열,"1,400","1,409",41,34.1,34.4
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,40,16,2,20,8
,,자연과학계열,"1,206","1,159",27,44.7,42.9
,가천대학교,공학계열,"5,915","5,946",175,33.8,34
,,예ㆍ체능계열,"2,287","2,253",62,36.9,36.3
,,의학계열,630,602,206,3.1,2.9
,,자연과학계열,"3,238","3,526",109,29.7,32.3
,,인문ㆍ사회계열,"7,109","8,111",194,36.6,41.8
,가천의과학대학교,자연과학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,가톨릭관동대학교,예ㆍ체능계열,"1,525","1,353",29,52.6,46.7
,,인문ㆍ사회계열,"6,572","6,381",124,53,51.5
,,자연과학계열,634,749,41,15.5,18.3
,,공학계열,"1,785","1,557",62,28.8,25.1
,,의학계열,270,295,168,1.6,1.8
,가톨릭꽃동네대학교,인문ㆍ사회계열,470,442,17,27.6,26
,,예ㆍ체능계열,0,0,0,0,0
,,자연과학계열,160,172,4,40,43
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,가톨릭대학교,예ㆍ체능계열,274,233,6,45.7,38.8
,,의학계열,0,0,0,0,0
,,공학계열,"1,332","1,585",31,43,51.1
,,인문ㆍ사회계열,"5,351","5,726",142,37.7,40.3
,,자연과학계열,"1,474","1,632",56,26.3,29.1
,가톨릭대학교 _제2캠퍼스,공학계열,7,0,0,0,0
,,인문ㆍ사회계열,316,207,5,63.2,41.4
,,자연과학계열,874,896,101,8.7,8.9
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,"1,672","1,683",786,2.1,2.1
,가톨릭대학교 _제3캠퍼스,예ㆍ체능계열,56,16,2,28,8
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,455,353,23,19.8,15.3
,감리교신학대학교,예ㆍ체능계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,771","1,842",34,52.1,54.2
,,의학계열,0,0,0,0,0
,강남대학교,예ㆍ체능계열,706,795,27,26.1,29.4
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,"5,797","6,342",164,35.3,38.7
,,공학계열,"1,034","1,029",27,38.3,38.1
,강서대학교,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,165,146,6,27.5,24.3
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,438","1,536",39,36.9,39.4
,강원대학교,인문ㆍ사회계열,"6,565","6,959",224,29.3,31.1
,,자연과학계열,"6,351","6,279",257,24.7,24.4
,,공학계열,"3,546","3,764",125,28.4,30.1
,,의학계열,791,754,122,6.5,6.2
,,예ㆍ체능계열,"1,130","1,071",33,34.2,32.5
,강원대학교 _제2캠퍼스,의학계열,0,0,0,0,0
,,공학계열,"3,609","3,225",108,33.4,29.9
,,자연과학계열,"1,464","1,382",27,54.2,51.2
,,인문ㆍ사회계열,"1,159","1,197",44,26.3,27.2
,,예ㆍ체능계열,965,840,25,38.6,33.6
,건국대학교,자연과학계열,"3,744","3,478",135,27.7,25.8
,,공학계열,"5,016","5,570",170,29.5,32.8
,,의학계열,483,609,28,17.3,21.8
,,예ㆍ체능계열,"1,967","2,497",51,38.6,49
,,인문ㆍ사회계열,"7,671","10,595",235,32.6,45.1
,건국대학교(글로컬) _분교,인문ㆍ사회계열,"3,497","4,110",85,41.1,48.4
,,자연과학계열,"2,035","1,798",121,16.8,14.9
,,공학계열,739,"1,124",37,20,30.4
,,의학계열,336,315,163,2.1,1.9
,,예ㆍ체능계열,"1,443","1,579",38,38,41.6
,건동대학교,자연과학계열,160,32,2,80,16
,,공학계열,280,65,7,40,9.3
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,478,232,9,53.1,25.8
,,인문ㆍ사회계열,280,65,2,140,32.5
,건양대학교,예ㆍ체능계열,0,0,0,0,0
,,공학계열,"1,753","1,643",52,33.7,31.6
,,자연과학계열,663,649,12,55.3,54.1
,,인문ㆍ사회계열,"4,193","4,309",123,34.1,35
,,의학계열,95,111,0,0,0
,건양대학교 _제2캠퍼스,자연과학계열,"1,520","1,731",58,26.2,29.8
,,인문ㆍ사회계열,230,261,6,38.3,43.5
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,196,237,105,1.9,2.3
,,공학계열,0,0,0,0,0
,경기대학교,예ㆍ체능계열,"2,034","2,086",54,37.7,38.6
,,의학계열,0,0,0,0,0
,,공학계열,"2,970","3,143",89,33.4,35.3
,,자연과학계열,"1,523","1,566",47,32.4,33.3
,,인문ㆍ사회계열,"7,764","8,703",250,31.1,34.8
,경기대학교 _제2캠퍼스,인문ㆍ사회계열,"1,736","2,004",33,52.6,60.7
,,자연과학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,440,475,19,23.2,25
,경남과학기술대학교,예ㆍ체능계열,123,129,6,20.5,21.5
,,의학계열,0,0,0,0,0
,,공학계열,"2,862","2,790",79,36.2,35.3
,,자연과학계열,"1,385","1,336",43,32.2,31.1
,,인문ㆍ사회계열,"1,543","1,450",43,35.9,33.7
,경남대학교,자연과학계열,"1,674","1,603",49,34.2,32.7
,,예ㆍ체능계열,"1,013","1,069",30,33.8,35.6
,,의학계열,0,0,0,0,0
,,공학계열,"3,705","3,548",122,30.4,29.1
,,인문ㆍ사회계열,"9,235","9,278",243,38,38.2
,경동대학교,예ㆍ체능계열,120,92,5,24,18.4
,,자연과학계열,915,729,23,39.8,31.7
,,공학계열,550,557,26,21.2,21.4
,,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,967","1,572",51,38.6,30.8
,경북대학교,예ㆍ체능계열,923,896,40,23.1,22.4
,,의학계열,"2,223","2,167",284,7.8,7.6
,,공학계열,"6,307","7,770",223,28.3,34.8
,,자연과학계열,"6,380","7,257",263,24.3,27.6
,,인문ㆍ사회계열,"9,914","11,672",311,31.9,37.5
,경북대학교 _제2캠퍼스,인문ㆍ사회계열,587,560,5,117.4,112
,,자연과학계열,"1,095","1,014",34,32.2,29.8
,,공학계열,"2,623","2,439",53,49.5,46
,,예ㆍ체능계열,271,343,5,54.2,68.6
,,의학계열,0,0,0,0,0
,경북외국어대학교,인문ㆍ사회계열,696,428,19,36.6,22.5
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,경상국립대학교,인문ㆍ사회계열,"5,917","6,509",211,28,30.8
,,자연과학계열,"4,949","5,071",204,24.3,24.9
,,공학계열,"5,154","5,606",186,27.7,30.1
,,의학계열,"1,049","1,071",182,5.8,5.9
,,예ㆍ체능계열,462,404,21,22,19.2
,경성대학교,인문ㆍ사회계열,"7,027","7,490",215,32.7,34.8
,,자연과학계열,"1,666","1,607",52,32,30.9
,,공학계열,"2,908","2,885",107,27.2,27
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"2,633","2,545",63,41.8,40.4
,경운대학교,인문ㆍ사회계열,"1,883","1,903",55,34.2,34.6
,,자연과학계열,"1,609","1,602",53,30.4,30.2
,,공학계열,959,888,41,23.4,21.7
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,480","1,317",40,37,32.9
,경운대학교(산업대),예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,경인교육대학교,예ㆍ체능계열,996,576,28,35.6,20.6
,,인문ㆍ사회계열,"2,933","1,747",66,44.4,26.5
,,자연과학계열,"1,501",886,37,40.6,23.9
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,경인교육대학교 _제2캠퍼스,인문ㆍ사회계열,0,739,0,0,0
,,자연과학계열,0,431,0,0,0
,,공학계열,0,0,0,0,0
,,예ㆍ체능계열,0,331,0,0,0
,,의학계열,0,0,0,0,0
,경일대학교,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,114",965,39,28.6,24.7
,,공학계열,"3,186","2,743",103,30.9,26.6
,,자연과학계열,301,282,11,27.4,25.6
,,인문ㆍ사회계열,"2,533","2,159",85,29.8,25.4
,경희대학교,인문ㆍ사회계열,"12,843","16,455",466,27.6,35.3
,,공학계열,"4,743","5,788",196,24.2,29.5
,,의학계열,"2,849","2,724",395,7.2,6.9
,,예ㆍ체능계열,"4,660","5,030",88,53,57.2
,,자연과학계열,"5,317","5,815",273,19.5,21.3
,경희대학교 _분교,인문ㆍ사회계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,계명대학교,자연과학계열,"2,974","3,263",91,32.7,35.9
,,공학계열,"3,709","3,876",107,34.7,36.2
,,의학계열,538,521,170,3.2,3.1
,,예ㆍ체능계열,"4,363","4,437",106,41.2,41.9
,,인문ㆍ사회계열,"12,256","14,533",326,37.6,44.6
,고려대학교,예ㆍ체능계열,570,638,17,33.5,37.5
,,인문ㆍ사회계열,"15,860","18,635",480,33,38.8
,,자연과학계열,"5,661","6,411",260,21.8,24.7
,,공학계열,"6,443","7,317",233,27.7,31.4
,,의학계열,"1,410","1,417",382,3.7,3.7
,고려대학교(세종) _분교,의학계열,0,0,0,0,0
,,예ㆍ체능계열,510,572,8,63.8,71.5
,,공학계열,"1,685","1,958",55,30.6,35.6
,,자연과학계열,"1,271","1,250",52,24.4,24
,,인문ㆍ사회계열,"4,022","4,559",130,30.9,35.1
,고신대학교,예ㆍ체능계열,550,495,14,39.3,35.4
,,의학계열,508,485,152,3.3,3.2
,,공학계열,0,0,0,0,0
,,인문ㆍ사회계열,"3,049","3,402",102,29.9,33.4
,,자연과학계열,"1,593","1,366",27,59,50.6
,공주교육대학교,예ㆍ체능계열,447,406,19,23.5,21.4
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,757,685,27,28,25.4
,,인문ㆍ사회계열,"1,333","1,218",42,31.7,29
,광신대학교,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,193","1,059",38,31.4,27.9
,,예ㆍ체능계열,135,117,7,19.3,16.7
,,의학계열,0,0,0,0,0
,광운대학교,예ㆍ체능계열,175,202,5,35,40.4
,,인문ㆍ사회계열,"3,896","4,571",120,32.5,38.1
,,자연과학계열,696,778,30,23.2,25.9
,,공학계열,"4,549","5,373",131,34.7,41
,,의학계열,0,0,0,0,0
,광주가톨릭대학교,인문ㆍ사회계열,225,121,17,13.2,7.1
,,예ㆍ체능계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,광주과학기술원,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,"1,857","1,413",106,17.5,13.3
,,자연과학계열,266,315,20,13.3,15.8
,,인문ㆍ사회계열,0,0,0,0,0
,광주교육대학교,예ㆍ체능계열,539,475,20,27,23.8
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,752,745,20,37.6,37.3
,,인문ㆍ사회계열,"1,437","1,183",35,41.1,33.8
,광주대학교,인문ㆍ사회계열,"4,289","4,342",143,30,30.4
,,자연과학계열,953,905,24,39.7,37.7
,,공학계열,"1,075",907,46,23.4,19.7
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,433","1,184",36,39.8,32.9
,광주대학교(산업대),의학계열,0,0,0,0,0
,,공학계열,0,7,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,49,0,0,0
,,예ㆍ체능계열,0,7,0,0,0
,광주여자대학교,예ㆍ체능계열,274,251,6,45.7,41.8
,,의학계열,0,0,0,0,0
,,공학계열,70,56,3,23.3,18.7
,,자연과학계열,"2,103","2,216",57,36.9,38.9
,,인문ㆍ사회계열,"1,918","2,000",68,28.2,29.4
,국립강릉원주대학교,인문ㆍ사회계열,"2,827","2,845",95,29.8,29.9
,,자연과학계열,"2,410","2,271",85,28.4,26.7
,,공학계열,"1,172","1,146",47,24.9,24.4
,,의학계열,236,229,41,5.8,5.6
,,예ㆍ체능계열,562,513,18,31.2,28.5
,국립강릉원주대학교 _제2캠퍼스,인문ㆍ사회계열,517,433,18,28.7,24.1
,,자연과학계열,330,331,11,30,30.1
,,공학계열,"1,184","1,128",51,23.2,22.1
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,367,350,14,26.2,25
,국립경국대학교,의학계열,0,0,0,0,0
,,인문ㆍ사회계열,"2,982","2,697",83,35.9,32.5
,,자연과학계열,"2,129","2,117",86,24.8,24.6
,,공학계열,"2,072","2,105",82,25.3,25.7
,,예ㆍ체능계열,502,470,21,23.9,22.4
,국립공주대학교,예ㆍ체능계열,956,"1,033",43,22.2,24
,,의학계열,0,0,0,0,0
,,공학계열,"4,891","5,287",189,25.9,28
,,자연과학계열,"4,462","4,747",159,28.1,29.9
,,인문ㆍ사회계열,"6,072","6,599",149,40.8,44.3
,국립군산대학교,인문ㆍ사회계열,"2,930","2,767",86,34.1,32.2
,,자연과학계열,"2,115","2,029",86,24.6,23.6
,,공학계열,"3,483","3,171",131,26.6,24.2
,,예ㆍ체능계열,729,742,22,33.1,33.7
,,의학계열,0,0,0,0,0
,국립금오공과대학교,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,자연과학계열,501,465,13,38.5,35.8
,,인문ㆍ사회계열,534,478,22,24.3,21.7
,,공학계열,"5,564","6,522",168,33.1,38.8
,국립목포대학교,예ㆍ체능계열,501,495,26,19.3,19
,,의학계열,0,0,0,0,0
,,공학계열,"2,690","2,919",99,27.2,29.5
,,자연과학계열,"1,698","1,719",73,23.3,23.5
,,인문ㆍ사회계열,"4,304","4,390",115,37.4,38.2
,국립목포해양대학교,인문ㆍ사회계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,공학계열,"2,662","2,680",101,26.4,26.5
,,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,국립부경대학교,예ㆍ체능계열,657,677,17,38.6,39.8
,,의학계열,0,0,0,0,0
,,공학계열,"8,865","10,206",286,31,35.7
,,자연과학계열,"3,134","3,203",128,24.5,25
,,인문ㆍ사회계열,"5,574","6,677",150,37.2,44.5
,국립순천대학교,인문ㆍ사회계열,"3,059","3,305",88,34.8,37.6
,,자연과학계열,"2,865","2,455",114,25.1,21.5
,,공학계열,"2,308","2,264",80,28.9,28.3
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,898,890,32,28.1,27.8
,국립창원대학교,자연과학계열,"1,602","1,451",66,24.3,22
,,공학계열,"3,229","3,557",114,28.3,31.2
,,인문ㆍ사회계열,"4,846","5,025",116,41.8,43.3
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,723,845,27,26.8,31.3
,국립한국교통대학교,자연과학계열,703,736,24,29.3,30.7
,,공학계열,"5,943","6,180",198,30,31.2
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,302,326,9,33.6,36.2
,,인문ㆍ사회계열,"2,182","2,225",77,28.3,28.9
,국립한국해양대학교,예ㆍ체능계열,121,112,3,40.3,37.3
,,의학계열,0,0,0,0,0
,,공학계열,"4,075","4,662",158,25.8,29.5
,,자연과학계열,850,943,32,26.6,29.5
,,인문ㆍ사회계열,"1,638","1,981",60,27.3,33
,국립한밭대학교,예ㆍ체능계열,470,516,12,39.2,43
,,의학계열,0,0,0,0,0
,,공학계열,"6,269","6,613",178,35.2,37.2
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,"1,923","2,108",59,32.6,35.7
,국민대학교,예ㆍ체능계열,"3,810","3,751",75,50.8,50
,,의학계열,0,0,0,0,0
,,공학계열,"3,638","4,332",123,29.6,35.2
,,자연과학계열,"1,472","1,642",56,26.3,29.3
,,인문ㆍ사회계열,"7,949","9,582",207,38.4,46.3
,극동대학교,인문ㆍ사회계열,"2,412","2,314",80,30.2,28.9
,,자연과학계열,935,929,16,58.4,58.1
,,공학계열,515,471,17,30.3,27.7
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,966,869,24,40.3,36.2
,금강대학교,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,540,436,29,18.6,15
,,자연과학계열,0,0,0,0,0
,김천대학교,예ㆍ체능계열,90,69,3,30,23
,,의학계열,0,0,0,0,0
,,공학계열,120,60,5,24,12
,,자연과학계열,"1,865","1,500",61,30.6,24.6
,,인문ㆍ사회계열,"1,012",720,54,18.7,13.3
,나사렛대학교,예ㆍ체능계열,369,383,11,33.5,34.8
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,"1,500","1,385",37,40.5,37.4
,,인문ㆍ사회계열,"4,000","4,310",121,33.1,35.6
,남부대학교,예ㆍ체능계열,770,660,18,42.8,36.7
,,의학계열,0,0,0,0,0
,,공학계열,265,234,13,20.4,18
,,자연과학계열,"1,867","1,892",61,30.6,31
,,인문ㆍ사회계열,917,874,28,32.8,31.2
,남서울대학교,예ㆍ체능계열,"1,836","1,878",46,39.9,40.8
,,의학계열,0,0,0,0,0
,,공학계열,"2,656","2,198",63,42.2,34.9
,,자연과학계열,590,564,21,28.1,26.9
,,인문ㆍ사회계열,"5,695","6,135",182,31.3,33.7
,남서울대학교(산업대),자연과학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,단국대학교,예ㆍ체능계열,"2,110","2,132",63,33.5,33.8
,,의학계열,19,0,0,0,0
,,공학계열,"3,160","3,674",113,28,32.5
,,자연과학계열,"1,525","1,548",48,31.8,32.3
,,인문ㆍ사회계열,"7,967","8,754",217,36.7,40.3
,단국대학교(천안) _분교,인문ㆍ사회계열,"4,498","5,052",143,31.5,35.3
,,자연과학계열,"2,946","3,042",136,21.7,22.4
,,공학계열,"2,178","2,512",63,34.6,39.9
,,의학계열,576,659,138,4.2,4.8
,,예ㆍ체능계열,"2,192","2,201",49,44.7,44.9
,대구가톨릭대학교,예ㆍ체능계열,"1,773","1,872",49,36.2,38.2
,,의학계열,265,275,146,1.8,1.9
,,공학계열,"1,868","2,006",47,39.7,42.7
,,자연과학계열,"3,741","3,898",102,36.7,38.2
,,인문ㆍ사회계열,"7,628","7,469",202,37.8,37
,대구경북과학기술원,공학계열,270,142,15,18,9.5
,,인문ㆍ사회계열,0,0,0,0,0
,,자연과학계열,90,48,8,11.3,6
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,대구교육대학교,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,966,869,25,38.6,34.8
,,인문ㆍ사회계열,"1,728","1,541",44,39.3,35
,,예ㆍ체능계열,564,477,22,25.6,21.7
,대구대학교,인문ㆍ사회계열,"10,941","11,660",289,37.9,40.3
,,자연과학계열,"4,433","4,399",115,38.5,38.3
,,공학계열,"4,009","4,211",111,36.1,37.9
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,"1,809","1,794",46,39.3,39
,대구예술대학교,예ㆍ체능계열,"1,940","1,324",58,33.4,22.8
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,0,0,0,0
,대구외국어대학교,인문ㆍ사회계열,520,375,15,34.7,25
,,자연과학계열,0,3,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,대구한의대학교,인문ㆍ사회계열,"2,203","2,145",72,30.6,29.8
,,자연과학계열,"3,171","3,065",100,31.7,30.7
,,의학계열,582,559,18,32.3,31.1
,,공학계열,842,720,23,36.6,31.3
,,예ㆍ체능계열,690,567,15,46,37.8
,대신대학교,의학계열,0,0,0,0,0
,,예ㆍ체능계열,185,110,9,20.6,12.2
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,740,641,20,37,32.1
,대전가톨릭대학교,예ㆍ체능계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,295,213,14,21.1,15.2
,대전대학교,예ㆍ체능계열,965,802,23,42,34.9
,,자연과학계열,"1,982","2,159",56,35.4,38.6
,,인문ㆍ사회계열,"5,959","6,137",171,34.8,35.9
,,의학계열,438,453,33,13.3,13.7
,,공학계열,"2,190","2,071",67,32.7,30.9
,대전신학교,인문ㆍ사회계열,0,47,0,0,0
,,자연과학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,대전신학대학교,공학계열,0,0,0,0,0
,,자연과학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
,,인문ㆍ사회계열,330,254,11,30,23.1
,대진대학교,인문ㆍ사회계열,"4,007","4,472",125,32.1,35.8
,,예ㆍ체능계열,"1,312","1,248",32,41,39
,,의학계열,0,0,0,0,0
,,공학계열,"2,405","2,328",66,36.4,35.3
,,자연과학계열,857,849,27,31.7,31.4
,덕성여자대학교,예ㆍ체능계열,737,819,22,33.5,37.2
,,인문ㆍ사회계열,"3,386","4,209",111,30.5,37.9
,,자연과학계열,"1,320","1,373",37,35.7,37.1
,,공학계열,364,372,9,40.4,41.3
,,의학계열,0,0,0,0,0
,동국대학교,의학계열,163,150,106,1.5,1.4
,,예ㆍ체능계열,"1,577","1,733",41,38.5,42.3
,,인문ㆍ사회계열,"9,674","11,278",298,32.5,37.8
,,공학계열,"3,601","4,112",118,30.5,34.8
,,자연과학계열,"1,761","1,840",101,17.4,18.2
,동국대학교(WISE) _분교,예ㆍ체능계열,666,631,16,41.6,39.4
,,의학계열,612,666,106,5.8,6.3
,,공학계열,"1,057",967,27,39.1,35.8
,,자연과학계열,"1,650","1,766",75,22,23.5
,,인문ㆍ사회계열,"4,813","5,531",158,30.5,35
,동덕여자대학교,인문ㆍ사회계열,"3,171","3,886",126,25.2,30.8
,,예ㆍ체능계열,"3,075","2,905",68,45.2,42.7
,,의학계열,0,0,0,0,0
,,공학계열,7,12,0,0,0
,,자연과학계열,"1,453","1,465",41,35.4,35.7
,동명대학교,인문ㆍ사회계열,"3,443","3,268",109,31.6,30
,,예ㆍ체능계열,"1,319",959,31,42.5,30.9
,,의학계열,0,0,0,0,0
,,공학계열,"3,893","3,629",103,37.8,35.2
,,자연과학계열,355,540,14,25.4,38.6
,동명정보대학교,자연과학계열,0,0,0,0,0
,,인문ㆍ사회계열,0,199,0,0,0
,,공학계열,0,308,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,81,0,0,0
,동서대학교,자연과학계열,610,622,21,29,29.6
,,인문ㆍ사회계열,"5,109","5,873",142,36,41.4
,,예ㆍ체능계열,"1,891","1,994",64,29.5,31.2
,,의학계열,0,0,0,0,0
,,공학계열,"3,421","3,165",100,34.2,31.7
,동신대학교,인문ㆍ사회계열,"2,956","2,969",88,33.6,33.7
,,자연과학계열,"2,700","2,815",76,35.5,37
,,공학계열,"1,353","1,035",37,36.6,28
,,의학계열,247,282,22,11.2,12.8
,,예ㆍ체능계열,484,353,13,37.2,27.2
,동아대학교,인문ㆍ사회계열,"10,321","12,088",279,37,43.3
,,예ㆍ체능계열,"2,709","2,433",68,39.8,35.8
,,의학계열,507,451,137,3.7,3.3
,,공학계열,"5,702","6,344",157,36.3,40.4
,,자연과학계열,"3,188","3,218",118,27,27.3
,동양대학교,인문ㆍ사회계열,"2,354","2,276",66,35.7,34.5
,,자연과학계열,105,118,4,26.3,29.5
,,공학계열,"2,144","1,940",59,36.3,32.9
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,441,323,16,27.6,20.2
,동의대학교,인문ㆍ사회계열,"7,535","8,854",209,36.1,42.4
,,자연과학계열,"2,604","2,538",78,33.4,32.5
,,공학계열,"5,262","5,324",150,35.1,35.5
,,의학계열,284,274,34,8.4,8.1
,,예ㆍ체능계열,"1,891","1,647",49,38.6,33.6
,루터대학교,인문ㆍ사회계열,846,553,21,40.3,26.3
,,자연과학계열,0,0,0,0,0
,,공학계열,0,0,0,0,0
,,의학계열,0,0,0,0,0
,,예ㆍ체능계열,0,0,0,0,0
