기준년도,설립구분,지역,학교명,대계열,중도탈락률(%),신입생_충원율(%),신입생_경쟁률,신입생_충원율_평균_지역기준,신입생_충원율_표준편차_지역기준,신입생_충원안정성비율_지역기준,전임교원1인당재학생,취업률(%),진로진출률(%),졸업자대비진로성취(%),재학생1인당전임교원,1인당장학금,진학률(%),등록금,수도권여부,신입생_충원율_평균_수도권여부기준,신입생_충원율_편차_수도권여부기준,신입생_충원율_표준편차_수도권여부기준,신입생_충원안정성비율_수도권여부기준,재학생충원율_평균_지역기준_,재학생충원율_표준편차_지역기준_,재학생충원율_편차_지역기준,재학생충원안정성비율_지역기준,재학생충원율_평균_수도권여부기준,재학생충원율_표준편차_수도권여부기준,재학생충원율_편차_수도권여부기준,재학생충원안정성비율_수도권여부기준,재학생충원율,신입생_충원율_편차_지역구분,1인당장학금대비취업률(단위보정)
2014,사립,충북,가톨릭꽃동네대학교,자연과학계열,0,100,4.75,99.5825,0.5877,0.0059,30.5,64.86,64.86,64.86,0.032786885,5053900,0,8546000,비수도권,96.92227166,3.077728337,11.33038568,0.271634914,101.6285714,10.51581575,12.77142857,1.214497179,100.6876957,22.52565465,13.71230425,0.608741653,114.4,0.4175,12.83365322
2014,사립,경기,가톨릭대학교,공학계열,3.24,100,18.06,99.0709,3.6269,0.0366,38.2,59.88,66.2,58.95,0.02617801,2744522.586,6.32,8786857.143,수도권,97.59166667,2.408333333,9.361214749,0.257267181,111.715,18.90784507,2.585,0.136715738,111.4750958,26.52249177,2.824904215,0.106509759,114.3,0.9291,21.81800227
2014,사립,경기,가톨릭대학교,예체능계열,4,100,4.35,98.4996,4.878,0.0495,37.17,8.93,15.6,15,0.02690583,2088500,6.67,9442000,수도권,97.59166667,2.408333333,9.361214749,0.257267181,103.873913,14.21820911,-2.873913043,0.202129046,111.4750958,26.52249177,-10.47509579,0.39495142,101,1.5004,4.275796026
2014,사립,경기,가톨릭대학교,인문사회계열,2.9,99.89,13.82,94.8029,14.2625,0.1504,40.51,45.45,51.03,45.42,0.024684874,2739935.885,5.58,6573037.037,수도권,97.59166667,2.298333333,9.361214749,0.24551657,115.6741935,39.1820109,6.925806452,0.176759852,111.4750958,26.52249177,11.12490421,0.419451698,122.6,5.0871,16.58797939
2014,사립,경기,가톨릭대학교,자연과학계열,4.66,99.65,13.72,99.7325,2.0898,0.021,28.33,50.39,69.54,58.36,0.035301278,2943243.475,19.15,7644200,수도권,97.59166667,2.058333333,9.361214749,0.219878871,111.515,27.61752447,-4.315,0.156241375,111.4750958,26.52249177,-4.275095785,0.161187562,107.2,-0.0825,17.12056798
2014,사립,서울,가톨릭대학교 _제2캠퍼스,의학계열,5.88,,,,,,2.21,90.91,90.91,85.71,0.452517162,1839800,0,,수도권,,,,,96.4375,40.28406057,-96.4375,2.393936923,111.4750958,26.52249177,-111.4750958,4.203040074,0,,49.41297967
2014,사립,서울,가톨릭대학교 _제2캠퍼스,자연과학계열,2.69,98.75,15.71,98.3815,6.0145,0.0611,10.37,55.79,55.79,55.21,0.096452328,2985400,0,8666000,수도권,97.59166667,1.158333333,9.361214749,0.123737502,112.6346154,9.544545764,8.965384615,0.939320198,111.4750958,26.52249177,10.12490421,0.38174785,121.6,0.3685,18.68761305
2014,사립,서울,가톨릭대학교 _제3캠퍼스,인문사회계열,3.93,60,1.35,97.7282,6.9805,0.0714,14.38,0,50,50,0.069565217,5760800,50,7002000,수도권,97.59166667,-37.59166667,9.361214749,4.015682545,126.2,22.40854084,-56.2,2.507972313,111.4750958,26.52249177,-41.47509579,1.56377071,70,-37.7282,0
2014,사립,서울,감리교신학대학교,인문사회계열,2.57,99,2.07,97.7282,6.9805,0.0714,65.83,0,39.15,39.15,0.0151912,3464456.887,39.15,6201250,수도권,97.59166667,1.408333333,9.361214749,0.150443438,126.2,22.40854084,-12.4,0.553360439,111.4750958,26.52249177,2.324904215,0.087657835,113.8,1.2718,0
2014,사립,경기,강남대학교,공학계열,5.2,98.7,20.67,99.0709,3.6269,0.0366,36.28,56.02,59.12,56.64,0.02756654,2878986.498,3.1,10015000,수도권,97.59166667,1.108333333,9.361214749,0.118396315,111.715,18.90784507,-10.815,0.571984801,111.4750958,26.52249177,-10.57509579,0.398721805,100.9,-0.3709,19.45823644
2014,사립,경기,강남대학교,예체능계열,5.65,100.57,13.92,98.4996,4.878,0.0495,28.76,40.88,43.54,42.02,0.034770515,2804520.315,2.66,10551600,수도권,97.59166667,2.978333333,9.361214749,0.318156715,103.873913,14.21820911,-0.273913043,0.019264947,111.4750958,26.52249177,-7.875095785,0.296921415,103.6,2.0704,14.57646778
2014,사립,경기,강남대학교,인문사회계열,3.84,99.26,11.73,94.8029,14.2625,0.1504,38.79,52.13,53.84,51.76,0.025778057,2507548.506,1.71,7795500,수도권,97.59166667,1.668333333,9.361214749,0.178217612,115.6741935,39.1820109,0.925806452,0.023628355,111.4750958,26.52249177,5.124904215,0.19322861,116.6,4.4571,20.78922895
