기준연도,학교종류,설립구분,지역,상태,학교,계열,학생정원,학생모집정지인원(B),재학생,정원내,정원외,재학생충원율,정원내 재학생 충원율(%){D/(A-B)}X100
2018,대학교,사립,대전,기존,목원대학교,공학계열,1291,0,1269,1174,95,98.3,90.9
2018,대학교,사립,대전,기존,목원대학교,인문ㆍ사회계열,3324,0,3515,3257,258,105.7,98
2018,대학교,사립,대전,기존,목원대학교,자연과학계열,961,0,957,898,59,99.6,93.4
2018,대학교,사립,대전,기존,목원대학교,예ㆍ체능계열,2099,0,2152,2088,64,102.5,99.5
2018,대학교,사립,전남,기존,목포가톨릭대학교,자연과학계열,354,0,389,347,42,109.9,98
2018,대학교,사립,전남,기존,목포가톨릭대학교,인문ㆍ사회계열,156,0,130,129,1,83.3,82.7
2018,대학교,사립,대전,기존,배재대학교,예ㆍ체능계열,904,0,888,871,17,98.2,96.3
2018,대학교,사립,대전,기존,배재대학교,자연과학계열,1628,0,1658,1573,85,101.8,96.6
2018,대학교,사립,대전,기존,배재대학교,인문ㆍ사회계열,4109,0,4271,3978,293,103.9,96.8
2018,대학교,사립,대전,기존,배재대학교,공학계열,1751,0,1781,1662,119,101.7,94.9
2018,대학교,사립,충남,기존,백석대학교,자연과학계열,2435,0,2690,2312,378,110.5,94.9
2018,대학교,사립,충남,기존,백석대학교,인문ㆍ사회계열,6179,0,6664,6138,526,107.8,99.3
2018,대학교,사립,충남,기존,백석대학교,예ㆍ체능계열,2670,0,2669,2517,152,100,94.3
2018,대학교,사립,부산,기존,부산가톨릭대학교,공학계열,400,0,362,361,1,90.5,90.3
2018,대학교,사립,부산,기존,부산가톨릭대학교,인문ㆍ사회계열,1004,0,1012,987,25,100.8,98.3
2018,대학교,사립,부산,기존,부산가톨릭대학교,자연과학계열,2260,0,2637,2287,350,116.7,101.2
2018,교육대학,국립,부산,기존,부산교육대학교,인문ㆍ사회계열,1424,0,717,669,48,50.4,47
2018,대학교,국립,부산,기존,부산대학교,공학계열,6039,0,7366,6631,735,122,109.8
2018,대학교,국립,부산,기존,부산대학교,인문ㆍ사회계열,5450,0,7234,6360,874,132.7,116.7
2018,대학교,국립,부산,기존,부산대학교,자연과학계열,4262,0,4744,4309,435,111.3,101.1
2018,대학교,국립,부산,기존,부산대학교,의학계열,250,0,240,240,0,96,96
2018,대학교,국립,부산,기존,부산대학교,예ㆍ체능계열,1313,0,1537,1390,147,117.1,105.9
2018,대학교,사립,부산,기존,부산외국어대학교,예ㆍ체능계열,270,0,220,212,8,81.5,78.5
