기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100"
2012,고려대학교,의학계열,212,118.4
2012,고려대학교,예ㆍ체능계열,500,113
2012,고려대학교(세종) _분교,인문ㆍ사회계열,3160,119.2
2012,고려대학교(세종) _분교,자연과학계열,863,112.4
2012,고려대학교(세종) _분교,예ㆍ체능계열,485,110.5
2012,고려대학교(세종) _분교,공학계열,1472,119.6
2012,고신대학교,인문ㆍ사회계열,1980,118.4
2012,고신대학교,자연과학계열,1302,81.9
2012,고신대학교,예ㆍ체능계열,476,89.5
2012,고신대학교,의학계열,304,97.4
2012,공주교육대학교,예ㆍ체능계열,319,109.7
2012,공주교육대학교,자연과학계열,535,105.8
2012,공주교육대학교,인문ㆍ사회계열,821,108
2012,광신대학교,인문ㆍ사회계열,415,107
2012,광신대학교,예ㆍ체능계열,105,82.9
2012,광운대학교,인문ㆍ사회계열,2640,133.5
2012,광운대학교,자연과학계열,600,119.5
2012,광운대학교,공학계열,3655,124.6
2012,광운대학교,예ㆍ체능계열,160,96.3
2012,광주가톨릭대학교,인문ㆍ사회계열,165,51.5
2012,광주과학기술원,공학계열,400,54.8
2012,광주교육대학교,인문ㆍ사회계열,670,105.7
2012,광주교육대학교,자연과학계열,502,108.2
2012,광주교육대학교,예ㆍ체능계열,365,109.6
2012,광주대학교,인문ㆍ사회계열,3755,103.4
2012,광주대학교,자연과학계열,938,95.5
2012,광주대학교,예ㆍ체능계열,1327,80.4
2012,광주대학교,공학계열,1036,85.5
2012,광주여자대학교,인문ㆍ사회계열,1704,103.5
2012,광주여자대학교,자연과학계열,2050,104.7
2012,광주여자대학교,예ㆍ체능계열,216,86.6
2012,광주여자대학교,공학계열,70,80
2012,국립강릉원주대학교,인문ㆍ사회계열,2339,107
2012,국립강릉원주대학교,예ㆍ체능계열,456,95.8
2012,국립강릉원주대학교,의학계열,160,98.1
2012,국립강릉원주대학교,자연과학계열,2045,97.8
2012,국립강릉원주대학교,공학계열,1067,98.8
2012,국립강릉원주대학교 _제2캠퍼스,자연과학계열,290,105.5
2012,국립강릉원주대학교 _제2캠퍼스,공학계열,1117,98
2012,국립강릉원주대학교 _제2캠퍼스,인문ㆍ사회계열,423,91
2012,국립강릉원주대학교 _제2캠퍼스,예ㆍ체능계열,331,99.4
2012,국립경국대학교,예ㆍ체능계열,444,93.5
2012,국립경국대학교,공학계열,1898,101.8
2012,국립경국대학교,자연과학계열,1954,99.7
2012,국립경국대학교,인문ㆍ사회계열,2056,102.5
2012,국립공주대학교,인문ㆍ사회계열,3421,120.6
2012,국립공주대학교,공학계열,4254,120.2
2012,국립공주대학교,자연과학계열,3711,108.6
2012,국립공주대학교,예ㆍ체능계열,845,108.8
2012,국립군산대학교,인문ㆍ사회계열,2069,105.9
2012,국립군산대학교,자연과학계열,1917,96.5
2012,국립군산대학교,공학계열,3100,94.5
2012,국립군산대학교,예ㆍ체능계열,626,102.2
2012,국립금오공과대학교,공학계열,4798,124
2012,국립금오공과대학교,인문ㆍ사회계열,200,183
2012,국립금오공과대학교,자연과학계열,400,106.5
2012,국립목포대학교,예ㆍ체능계열,456,97.4
2012,국립목포대학교,공학계열,2328,112.3
2012,국립목포대학교,자연과학계열,1556,100.3
2012,국립목포대학교,인문ㆍ사회계열,2830,118.2
2012,국립목포해양대학교,공학계열,2464,101
2012,국립부경대학교,인문ㆍ사회계열,3951,135.9
2012,국립부경대학교,자연과학계열,2354,108.5
2012,국립부경대학교,공학계열,7336,122.9
2012,국립부경대학교,예ㆍ체능계열,486,108.6
2012,국립순천대학교,예ㆍ체능계열,787,105.8
2012,국립순천대학교,공학계열,1978,103.4
2012,국립순천대학교,자연과학계열,2244,95.5
2012,국립순천대학교,인문ㆍ사회계열,2300,112.7
2012,국립창원대학교,인문ㆍ사회계열,3125,123.3
2012,국립창원대학교,자연과학계열,1407,90.7
2012,국립창원대학교,공학계열,2454,120.4
2012,국립창원대학교,예ㆍ체능계열,584,120.9
