기준연도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%)
2020.0,가야대학교(김해),인문사회계열,1049.0,99,9.44
2020.0,가야대학교(김해),자연과학계열,1870.0,125,6.68
2020.0,가천대학교,공학계열,7699.0,272,3.53
2020.0,가천대학교,예체능계열,2594.0,115,4.43
2020.0,가천대학교,인문사회계열,9757.0,402,4.12
2020.0,가천대학교,자연과학계열,4962.0,130,2.62
2020.0,가톨릭관동대학교,공학계열,2279.0,148,6.49
2020.0,가톨릭관동대학교,예체능계열,3338.0,240,7.19
2020.0,가톨릭관동대학교,인문사회계열,2103.0,230,10.94
2020.0,가톨릭관동대학교,자연과학계열,2111.0,81,3.84
2020.0,가톨릭꽃동네대학교,인문사회계열,370.0,11,2.97
2020.0,가톨릭꽃동네대학교,자연과학계열,214.0,2,0.93
2020.0,가톨릭대학교,공학계열,2038.0,89,4.37
2020.0,가톨릭대학교,예체능계열,235.0,13,5.53
2020.0,가톨릭대학교,인문사회계열,5419.0,172,3.17
2020.0,가톨릭대학교,자연과학계열,1840.0,81,4.4
2020.0,가톨릭대학교 _제2캠퍼스,자연과학계열,960.0,6,0.62
2020.0,가톨릭대학교 _제3캠퍼스,인문사회계열,307.0,8,2.61
2020.0,감리교신학대학교,인문사회계열,1106.0,42,3.8
2020.0,강남대학교,공학계열,2086.0,125,5.99
2020.0,강남대학교,인문사회계열,5189.0,351,6.76
2020.0,강남대학교,자연과학계열,599.0,16,2.67
2020.0,강서대학교,예체능계열,168.0,21,12.5
2020.0,강서대학교,인문사회계열,1128.0,86,7.62
2020.0,강서대학교,자연과학계열,330.0,10,3.03
2020.0,강원대학교,공학계열,4583.0,159,3.47
2020.0,강원대학교,예체능계열,758.0,21,2.77
2020.0,강원대학교,인문사회계열,6281.0,218,3.47
2020.0,강원대학교,자연과학계열,8311.0,258,3.1
2020.0,강원대학교 _제2캠퍼스,공학계열,5160.0,291,5.64
2020.0,강원대학교 _제2캠퍼스,예체능계열,886.0,57,6.43
2020.0,강원대학교 _제2캠퍼스,인문사회계열,1053.0,111,10.54
2020.0,강원대학교 _제2캠퍼스,자연과학계열,1828.0,76,4.16
2020.0,건국대학교,공학계열,8967.0,292,3.26
2020.0,건국대학교,예체능계열,1911.0,41,2.15
2020.0,건국대학교,인문사회계열,8178.0,199,2.43
2020.0,건국대학교,자연과학계열,3987.0,115,2.88
2020.0,건국대학교(글로컬) _분교,공학계열,2207.0,92,4.17
2020.0,건국대학교(글로컬) _분교,예체능계열,2555.0,59,2.31
2020.0,건국대학교(글로컬) _분교,인문사회계열,2632.0,118,4.48
2020.0,건국대학교(글로컬) _분교,자연과학계열,2279.0,92,4.04
2020.0,건양대학교,인문사회계열,4556.0,202,4.43
