기준년도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%)
2011,한민학교,인문사회계열,610,107,17.54
2011,한민학교,자연과학계열,252,77,30.56
2011,한밭대학교(산업대),공학계열,6328,245,3.87
2011,한밭대학교(산업대),예체능계열,381,19,4.99
2011,한밭대학교(산업대),인문사회계열,1841,48,2.61
2011,한밭대학교(산업대),자연과학계열,370,8,2.16
2011,한북대학교,공학계열,551,41,7.44
2011,한북대학교,예체능계열,237,19,8.02
2011,한북대학교,인문사회계열,1334,89,6.67
2011,한북대학교,자연과학계열,897,64,7.13
2011,한서대학교,공학계열,3983,199,5.0
2011,한서대학교,예체능계열,3203,265,8.27
2011,한서대학교,인문사회계열,4192,267,6.37
2011,한서대학교,자연과학계열,4743,236,4.98
2011,한성대학교,공학계열,2360,103,4.36
2011,한성대학교,예체능계열,1981,95,4.8
2011,한성대학교,인문사회계열,3195,131,4.1
2011,한성대학교,자연과학계열,486,16,3.29
2011,한세대학교,공학계열,667,56,8.4
2011,한세대학교,예체능계열,1067,81,7.59
2011,한세대학교,인문사회계열,2303,118,5.12
2011,한세대학교,자연과학계열,236,15,6.36
2011,한신대학교,공학계열,1996,123,6.16
2011,한신대학교,예체능계열,573,34,5.93
2011,한신대학교,인문사회계열,6538,400,6.12
2011,한신대학교,자연과학계열,2082,133,6.39
2011,한양대학교,공학계열,9790,224,2.29
2011,한양대학교,예체능계열,2384,56,2.35
2011,한양대학교,의학계열,418,5,1.2
2011,한양대학교,인문사회계열,10266,182,1.77
2011,한양대학교,자연과학계열,3973,129,3.25
2011,한양대학교(ERICA) _분교,공학계열,6074,110,1.81
2011,한양대학교(ERICA) _분교,예체능계열,2389,44,1.84
2011,한양대학교(ERICA) _분교,인문사회계열,5712,90,1.58
2011,한양대학교(ERICA) _분교,자연과학계열,2158,48,2.22
2011,한일장신대학교,예체능계열,204,21,10.29
2011,한일장신대학교,인문사회계열,1087,85,7.82
2011,한일장신대학교,자연과학계열,71,7,9.86
2011,한중대학교,공학계열,934,60,6.42
2011,한중대학교,예체능계열,503,53,10.54
2011,한중대학교,인문사회계열,950,90,9.47
2011,한중대학교,자연과학계열,707,44,6.22
2011,협성대학교,공학계열,996,92,9.24
2011,협성대학교,예체능계열,2000,145,7.25
2011,협성대학교,의학계열,226,9,3.98
2011,협성대학교,인문사회계열,4354,305,7.01
2011,협성대학교,자연과학계열,1039,57,5.49
2011,호남대학교,공학계열,3641,307,8.43
2011,호남대학교,예체능계열,2738,290,10.59
2011,호남대학교,인문사회계열,4786,352,7.35
2011,호남대학교,자연과학계열,3232,202,6.25
2011,호남신학대학교,예체능계열,231,15,6.49
2011,호남신학대학교,인문사회계열,739,46,6.22
2011,호서대학교,공학계열,10424,563,5.4
2011,호서대학교,예체능계열,2939,221,7.52
2011,호서대학교,인문사회계열,8087,431,5.33
2011,호서대학교,자연과학계열,3939,190,4.82
2011,호원대학교,공학계열,2134,163,7.64
2011,호원대학교,예체능계열,1578,139,8.81
2011,호원대학교,인문사회계열,2864,247,8.62
2011,호원대학교,자연과학계열,1150,61,5.3
2011,홍익대학교,공학계열,7809,211,2.7
2011,홍익대학교,예체능계열,3262,37,1.13
2011,홍익대학교,인문사회계열,6483,146,2.25
2011,홍익대학교,자연과학계열,571,8,1.4
2011,홍익대학교(세종) _분교,공학계열,4448,226,5.08
2011,홍익대학교(세종) _분교,예체능계열,2610,51,1.95
2011,홍익대학교(세종) _분교,인문사회계열,3684,112,3.04
2011,화성의과학대학교,공학계열,300,28,9.33
2011,화성의과학대학교,예체능계열,159,7,4.4
2011,화성의과학대학교,인문사회계열,648,60,9.26
2011,화성의과학대학교,자연과학계열,590,56,9.49
