기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율,등록금
2014,대학교,사립,기존,서울,건국대학교,예체능계열,364,364,7089,364,100.0,19.48,99.5077,0.4923000000000002,1.5532,0.0156088423307945,9507387.3809
2014,대학교,사립,기존,서울,건국대학교,인문사회계열,1131,1131,21488,1126,99.56,19.0,97.7282,1.8318000000000008,6.9805,0.0714276943604814,7406855.6382
2014,대학교,사립,기존,서울,건국대학교,자연과학계열,634,634,8603,631,99.53,13.57,98.3815,1.1484999999999983,6.0145,0.0611344612554189,8611997.719
2014,대학교,사립,기존,충남,건양대학교,공학계열,420,420,2403,420,100.0,5.72,94.3186,5.6813999999999965,20.5457,0.2178329618972291,7466888.94
2014,대학교,사립,기존,충남,건양대학교,예체능계열,40,40,308,40,100.0,7.7,95.3529,4.647099999999995,16.5771,0.1738499825385489,7139887.0
2014,대학교,사립,기존,충남,건양대학교,인문사회계열,699,699,4338,695,99.43,6.21,93.1,6.3300000000000125,22.3872,0.2404640171858217,6218394.6082999995
2014,대학교,사립,기존,충남,건양대학교,자연과학계열,115,115,811,115,100.0,7.05,94.6377,5.362300000000005,17.9744,0.1899285379927872,7249258.95
2014,대학교,사립,기존,대전,건양대학교 _제2캠퍼스,자연과학계열,513,513,3849,513,100.0,7.5,99.5314,0.468599999999995,0.6489,0.006519550614178,7573915.607799999
2014,대학교,사립,기존,경기,경기대학교,공학계열,775,775,12078,770,99.35,15.58,99.0709,0.2790999999999997,3.6269,0.0366091354777235,8677932.0227
2014,대학교,사립,기존,경기,경기대학교,예체능계열,395,395,3053,394,99.75,7.73,98.4996,1.250399999999999,4.878,0.049523043748401,8344889.3133000005
2014,대학교,사립,기존,경기,경기대학교,인문사회계열,1156,1156,20680,1151,99.57,17.89,94.8029,4.767099999999999,14.2625,0.1504437100552831,6778169.8632
2014,대학교,사립,기존,경기,경기대학교,자연과학계열,277,277,4713,276,99.64,17.01,99.7325,-0.0925000000000011,2.0898,0.0209540520893389,7740670.0428
2014,대학교,사립,기존,서울,경기대학교 _제2캠퍼스,예체능계열,90,90,3765,89,98.89,41.83,99.5077,-0.6176999999999992,1.5532,0.0156088423307945,8697898.9826
2014,대학교,사립,기존,서울,경기대학교 _제2캠퍼스,인문사회계열,454,454,6636,449,98.9,14.62,97.7282,1.1718000000000046,6.9805,0.0714276943604814,6813704.331499999
2014,대학교,사립,기존,경남,경남대학교,공학계열,885,885,4151,878,99.21,4.69,94.028,5.181999999999988,6.3189,0.0672023227123835,7781344.8198
2014,대학교,사립,기존,경남,경남대학교,예체능계열,265,265,912,262,98.87,3.44,96.135,2.7349999999999994,9.1443,0.0951193633952254,7717796.255
2014,대학교,사립,기존,경남,경남대학교,인문사회계열,1610,1610,6690,1590,98.76,4.16,95.2986,3.461400000000012,6.9969,0.0734208057620993,5967887.922900001
2014,대학교,사립,기존,경남,경남대학교,자연과학계열,400,400,1967,397,99.25,4.92,91.3817,7.868300000000005,12.9714,0.1419474577513878,6713197.6832
2014,대학교,사립,기존,강원,경동대학교,인문사회계열,415,415,1787,375,90.36,4.31,90.2512,0.1088000000000022,15.9108,0.1762946088251458,6333495.1069
2014,대학교,사립,기존,강원,경동대학교 _제3캠퍼스,자연과학계열,475,475,2272,473,99.58,4.78,93.285,6.295000000000002,10.4671,0.1122056064747815,8929337.9875
2014,대학교,사립,기존,경기,경동대학교 _제4캠퍼스,공학계열,66,66,448,65,98.48,6.79,99.0709,-0.5908999999999907,3.6269,0.0366091354777235,8421344.4806
2014,대학교,사립,기존,경기,경동대학교 _제4캠퍼스,예체능계열,33,33,186,32,96.97,5.64,98.4996,-1.529600000000002,4.878,0.049523043748401,8628353.155
2014,대학교,사립,기존,경기,경동대학교 _제4캠퍼스,인문사회계열,201,201,1472,199,99.0,7.32,94.8029,4.197100000000006,14.2625,0.1504437100552831,6942094.8775
2014,대학교,국립,기존,대구,경북대학교,공학계열,1621,1621,12557,1618,99.81,7.75,99.81,0.0,0.0,0.0,4688370.0997
2014,대학교,국립,기존,대구,경북대학교,예체능계열,312,312,2436,311,99.68,7.81,99.68,0.0,0.0,0.0,4751584.643099999
2014,대학교,국립,기존,대구,경북대학교,인문사회계열,1444,1444,13870,1422,98.48,9.61,99.11,-0.6299999999999955,0.891,0.0089900110987791,3685997.8326
2014,대학교,국립,기존,대구,경북대학교,자연과학계열,1496,1496,12352,1492,99.73,8.26,99.73,0.0,0.0,0.0,4518346.509000001
2014,대학교,국립,기존,경남,경상국립대학교,공학계열,987,987,5791,987,100.0,5.87,99.6933,0.3067000000000064,0.5312,0.0053283420249906,4376283.586200001
2014,대학교,국립,기존,경남,경상국립대학교,예체능계열,90,90,353,90,100.0,3.92,99.8167,0.1833000000000026,0.3175,0.0031808304622372,4239314.2857
2014,대학교,국립,기존,경남,경상국립대학교,인문사회계열,1166,1166,7544,1166,100.0,6.47,99.57,0.4300000000000068,0.3228,0.0032419403434769,3362927.6851999997
2014,대학교,국립,기존,경남,경상국립대학교,자연과학계열,979,979,5721,979,100.0,5.84,99.9067,0.0932999999999992,0.1617,0.0016185100698952,4217432.2111
2014,대학교,사립,기존,부산,경성대학교,공학계열,640,640,3768,638,99.69,5.89,99.6244,0.0656000000000034,1.1427,0.0114700816265894,7650945.4236
2014,대학교,사립,기존,부산,경성대학교,예체능계열,590,590,3625,592,100.34,6.14,99.9189,0.4211000000000098,0.2416,0.0024179609663437,7519741.2529
2014,대학교,사립,기존,부산,경성대학교,인문사회계열,1435,1435,7077,1434,99.93,4.93,98.728,1.2020000000000124,1.5785,0.0159883720930232,5636320.983
2014,대학교,사립,기존,부산,경성대학교,자연과학계열,385,385,2158,380,98.7,5.61,99.665,-0.9650000000000034,0.5547,0.00556564491045,7042399.8188
2014,대학교,사립,기존,경북,경운대학교,공학계열,320,320,1757,317,99.06,5.49,93.0758,5.984200000000001,20.5208,0.220474065224258,8434946.917
2014,대학교,사립,기존,경북,경운대학교,예체능계열,213,213,758,213,100.0,3.56,91.4192,8.580799999999996,21.6962,0.2373265134676304,8346643.403299999
2014,대학교,사립,기존,경북,경운대학교,인문사회계열,344,344,1737,330,95.93,5.05,87.0493,8.880700000000004,18.1442,0.2084359093065653,6482449.6208
2014,대학교,사립,기존,경북,경운대학교,자연과학계열,445,445,3077,430,96.63,6.91,94.8215,1.8084999999999951,13.4633,0.141985731084195,8266151.0162
2014,교육대학,국립,기존,인천,경인교육대학교,인문사회계열,598,598,2638,597,99.83,4.41,99.83,0.0,0.0,0.0,3271700.0
2014,대학교,사립,기존,경북,경일대학교,공학계열,740,740,2943,714,96.49,3.98,93.0758,3.414199999999994,20.5208,0.220474065224258,8063098.633300001
2014,대학교,사립,기존,경북,경일대학교,예체능계열,250,250,980,236,94.4,3.92,91.4192,2.980800000000002,21.6962,0.2373265134676304,8240672.462
2014,대학교,사립,기존,경북,경일대학교,인문사회계열,540,540,1926,436,80.74,3.57,87.0493,-6.309300000000008,18.1442,0.2084359093065653,6011241.1915
2014,대학교,사립,기존,경북,경일대학교,자연과학계열,230,230,1438,223,96.96,6.25,94.8215,2.1384999999999934,13.4633,0.141985731084195,8087560.359999999
2014,대학교,사립,기존,서울,경희대학교,공학계열,1018,1018,14124,1013,99.51,13.87,98.4241,1.0859000000000094,7.2552,0.0737136534649542,9062900.8118
2014,대학교,사립,기존,서울,경희대학교,예체능계열,920,920,15891,917,99.67,17.27,99.5077,0.1623000000000019,1.5532,0.0156088423307945,9093880.5616
2014,대학교,사립,기존,서울,경희대학교,인문사회계열,1880,1880,39874,1868,99.36,21.21,97.7282,1.6317999999999984,6.9805,0.0714276943604814,7020760.193299999
2014,대학교,사립,기존,서울,경희대학교,자연과학계열,1002,1002,18507,999,99.7,18.47,98.3815,1.3185000000000002,6.0145,0.0611344612554189,9144368.442
2014,대학교,사립,기존,대구,계명대학교,공학계열,874,874,7302,872,99.77,8.35,99.77,0.0,0.0,0.0,8636768.3534
