기준연도,학교명,대계열,등록금
2014,광주가톨릭대학교,인문사회계열,0
2014,광주과학기술원,공학계열,2060000
2014,광주과학기술원,자연과학계열,2060000
2014,광주교육대학교,인문사회계열,3655276.923
2014,광주대학교,공학계열,7481400
2014,광주대학교,예체능계열,7468363.636
2014,광주대학교,인문사회계열,6399333.333
2014,광주대학교,자연과학계열,7396666.667
2014,광주여자대학교,예체능계열,7210333.333
2014,광주여자대학교,인문사회계열,6153200
2014,광주여자대학교,자연과학계열,7054250
2014,국립강릉원주대학교,공학계열,4702000
2014,국립강릉원주대학교,예체능계열,5274500
2014,국립강릉원주대학교,의학계열,7968000
2014,국립강릉원주대학교,인문사회계열,3646235.294
2014,국립강릉원주대학교,자연과학계열,4569875
2014,국립강릉원주대학교 _제2캠퍼스,공학계열,4784000
2014,국립강릉원주대학교 _제2캠퍼스,예체능계열,5444000
2014,국립강릉원주대학교 _제2캠퍼스,인문사회계열,3614500
2014,국립강릉원주대학교 _제2캠퍼스,자연과학계열,4899000
2014,국립경국대학교,공학계열,4351142.857
2014,국립경국대학교,예체능계열,4338333.333
2014,국립경국대학교,인문사회계열,3435222.222
2014,국립경국대학교,자연과학계열,3957153.846
2014,국립공주대학교,공학계열,4281722.222
2014,국립공주대학교,예체능계열,4284933.333
2014,국립공주대학교,인문사회계열,3385885.714
2014,국립공주대학교,자연과학계열,3999294.118
2014,국립군산대학교,공학계열,4411500
2014,국립군산대학교,예체능계열,4365200
2014,국립군산대학교,인문사회계열,3573294.118
2014,국립군산대학교,자연과학계열,4104400
2014,국립금오공과대학교,공학계열,3867710.345
2014,국립금오공과대학교,인문사회계열,3575700
2014,국립금오공과대학교,자연과학계열,3713000
2014,국립목포대학교,공학계열,4414000
2014,국립목포대학교,예체능계열,4320666.667
2014,국립목포대학교,인문사회계열,3632250
2014,국립목포대학교,자연과학계열,4294571.429
2014,국립목포해양대학교,공학계열,3802000
2014,국립부경대학교,공학계열,4517878.788
2014,국립부경대학교,예체능계열,4428000
2014,국립부경대학교,인문사회계열,3531222.222
2014,국립부경대학교,자연과학계열,4318222.222
2014,국립순천대학교,공학계열,4480615.385
2014,국립순천대학교,예체능계열,4585600
2014,국립순천대학교,인문사회계열,3538727.273
2014,국립순천대학교,자연과학계열,4305536.364
2014,국립창원대학교,공학계열,4500000
2014,국립창원대학교,예체능계열,4485600
2014,국립창원대학교,인문사회계열,3565185.185
2014,국립창원대학교,자연과학계열,4243090.909
2014,국립한국교통대학교,공학계열,4327977.778
2014,국립한국교통대학교,예체능계열,4449000
2014,국립한국교통대학교,인문사회계열,3729722.222
2014,국립한국교통대학교,자연과학계열,4241000
2014,국립한국해양대학교,공학계열,4156700
2014,국립한국해양대학교,예체능계열,4160000
2014,국립한국해양대학교,인문사회계열,3442888.889
2014,국립한국해양대학교,자연과학계열,3969333.333
2014,국립한밭대학교,공학계열,4636235.714
2014,국립한밭대학교,예체능계열,4598900
2014,국립한밭대학교,인문사회계열,3841700
2014,국립한밭대학교,자연과학계열,4689800
2014,국민대학교,공학계열,9539250
2014,국민대학교,예체능계열,9835500
2014,국민대학교,인문사회계열,7659818.182
2014,국민대학교,자연과학계열,8684875
2014,극동대학교,공학계열,8791250
2014,극동대학교,예체능계열,8505733.333
2014,극동대학교,인문사회계열,7025000
2014,극동대학교,자연과학계열,8324857.143
2014,금강대학교,인문사회계열,7480200
2014,김천대학교,공학계열,8076000
2014,김천대학교,예체능계열,8076000
