기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율
2014,대학교,사립,기존,경남,창신대학교,자연과학계열,120,120,661,84,70.0,5.51,91.3817,-21.381699999999995,12.9714,0.14194745775138787
2014,대학교,국립,기존,경남,창원대학교,공학계열,534,534,2962,534,100.0,5.55,99.6933,0.3067000000000064,0.5312,0.0053283420249906465
2014,대학교,국립,기존,경남,창원대학교,예체능계열,182,182,860,181,99.45,4.73,99.8167,-0.3666999999999945,0.3175,0.003180830462237281
2014,대학교,국립,기존,경남,창원대학교,인문사회계열,810,810,3905,807,99.63,4.82,99.57,0.060000000000002274,0.3228,0.003241940343476951
2014,대학교,국립,기존,경남,창원대학교,자연과학계열,361,361,2007,360,99.72,5.56,99.9067,-0.18670000000000186,0.1617,0.0016185100698952123
2014,대학교,사립,기존,경남,한국국제대학교,공학계열,190,190,722,163,85.79,3.8,94.028,-8.238,6.3189,0.06720232271238355
2014,대학교,사립,기존,경남,한국국제대학교,예체능계열,170,160,498,124,77.5,3.11,96.135,-18.635000000000005,9.1443,0.09511936339522545
2014,대학교,사립,기존,경남,한국국제대학교,인문사회계열,468,437,1436,351,80.32,3.29,95.2986,-14.9786,6.9969,0.07342080576209935
2014,대학교,사립,기존,경남,한국국제대학교,자연과학계열,290,275,1086,221,80.36,3.95,91.3817,-11.021699999999996,12.9714,0.14194745775138787
2014,대학교,사립,기존,경북,경운대학교,공학계열,320,320,1757,317,99.06,5.49,93.0758,5.984200000000001,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,경운대학교,예체능계열,213,213,758,213,100.0,3.56,91.4192,8.580799999999996,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,경운대학교,인문사회계열,344,344,1737,330,95.93,5.05,87.0493,8.880700000000004,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,경운대학교,자연과학계열,445,445,3077,430,96.63,6.91,94.8215,1.8084999999999951,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,경일대학교,공학계열,740,740,2943,714,96.49,3.98,93.0758,3.414199999999994,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,경일대학교,예체능계열,250,250,980,236,94.4,3.92,91.4192,2.980800000000002,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,경일대학교,인문사회계열,540,540,1926,436,80.74,3.57,87.0493,-6.3093000000000075,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,경일대학교,자연과학계열,230,230,1438,223,96.96,6.25,94.8215,2.1384999999999934,13.4633,0.14198573108419504
2014,대학교,국립,기존,경북,국립경국대학교,공학계열,470,470,2274,467,99.36,4.84,99.595,-0.23499999999999943,0.3323,0.0033365128771524672
2014,대학교,국립,기존,경북,국립경국대학교,예체능계열,111,111,483,110,99.1,4.35,99.1,0.0,0.0,0.0
2014,대학교,국립,기존,경북,국립경국대학교,인문사회계열,581,581,2595,576,99.14,4.47,99.57,-0.4299999999999926,0.6081,0.006107261223260018
2014,대학교,국립,기존,경북,국립경국대학교,자연과학계열,426,426,1818,422,99.06,4.27,98.905,0.15500000000000114,0.2192,0.0022162681360901877
2014,대학교,국립,기존,경북,금오공과대학교,공학계열,1212,1212,8228,1210,99.83,6.79,99.595,0.23499999999999943,0.3323,0.0033365128771524672
2014,대학교,국립,기존,경북,금오공과대학교,인문사회계열,49,49,288,49,100.0,5.88,99.57,0.4300000000000068,0.6081,0.006107261223260018
2014,대학교,국립,기존,경북,금오공과대학교,자연과학계열,80,80,492,79,98.75,6.15,98.905,-0.15500000000000114,0.2192,0.0022162681360901877
2014,대학교,사립,기존,경북,김천대학교,공학계열,40,40,130,40,100.0,3.25,93.0758,6.924199999999999,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,김천대학교,예체능계열,25,25,55,25,100.0,2.2,91.4192,8.580799999999996,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,김천대학교,인문사회계열,262,262,936,245,93.51,3.57,87.0493,6.460700000000003,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,김천대학교,자연과학계열,645,645,2710,615,95.35,4.2,94.8215,0.528499999999994,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,대구가톨릭대학교,공학계열,555,555,4135,555,100.0,7.45,93.0758,6.924199999999999,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,대구가톨릭대학교,예체능계열,393,393,2274,393,100.0,5.79,91.4192,8.580799999999996,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,대구가톨릭대학교,인문사회계열,1374,1374,9176,1367,99.49,6.68,87.0493,12.440699999999993,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,대구가톨릭대학교,자연과학계열,760,760,6334,758,99.74,8.33,94.8215,4.9184999999999945,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,대구대학교,공학계열,802,802,6445,797,99.38,8.04,93.0758,6.3041999999999945,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,대구대학교,예체능계열,410,410,2542,408,99.51,6.2,91.4192,8.090800000000002,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,대구대학교,인문사회계열,2236,2236,15635,2219,99.24,6.99,87.0493,12.190699999999993,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,대구대학교,자연과학계열,1085,1085,7283,1079,99.45,6.71,94.8215,4.6285000000000025,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,대구예술대학교,예체능계열,433,433,1265,404,93.3,2.92,91.4192,1.8807999999999936,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,대구예술대학교,자연과학계열,30,30,99,30,100.0,3.3,94.8215,5.1785,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,대구외국어대학교,인문사회계열,130,123,270,77,62.6,2.2,87.0493,-24.4493,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,대구한의대학교,공학계열,302,302,1146,295,97.68,3.79,93.0758,4.604200000000006,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,대구한의대학교,예체능계열,130,130,554,129,99.23,4.26,91.4192,7.8108,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,대구한의대학교,인문사회계열,532,532,1799,497,93.42,3.38,87.0493,6.370699999999999,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,대구한의대학교,자연과학계열,729,729,3406,708,97.12,4.67,94.8215,2.298500000000004,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,대신대학교,예체능계열,40,38,64,31,81.58,1.68,91.4192,-9.839200000000005,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,대신대학교,인문사회계열,85,81,131,58,71.6,1.62,87.0493,-15.449300000000008,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,동국대학교(WISE),공학계열,350,350,1508,350,100.0,4.31,93.0758,6.924199999999999,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,동국대학교(WISE),예체능계열,140,140,631,139,99.29,4.51,91.4192,7.870800000000003,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,동국대학교(WISE),인문사회계열,1066,1066,4527,1058,99.25,4.25,87.0493,12.200699999999998,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,동국대학교(WISE),자연과학계열,344,344,2445,342,99.42,7.11,94.8215,4.598500000000001,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,동양대학교,공학계열,490,490,1536,486,99.18,3.13,93.0758,6.104200000000006,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,동양대학교,예체능계열,120,120,357,120,100.0,2.98,91.4192,8.580799999999996,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,동양대학교,인문사회계열,471,471,1696,448,95.12,3.6,87.0493,8.070700000000002,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,동양대학교,자연과학계열,60,60,339,60,100.0,5.65,94.8215,5.1785,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,신경주대학교,공학계열,75,75,150,21,28.0,2.0,93.0758,-65.0758,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,신경주대학교,예체능계열,150,150,183,32,21.33,1.22,91.4192,-70.0892,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,신경주대학교,인문사회계열,429,429,830,156,36.36,1.93,87.0493,-50.6893,18.1442,0.20843590930656536
2014,대학교,사립,기존,경북,신경주대학교,자연과학계열,115,115,405,58,50.43,3.52,94.8215,-44.3915,13.4633,0.14198573108419504
2014,대학교,사립,기존,경북,영남대학교,공학계열,1391,1391,9578,1389,99.86,6.89,93.0758,6.7841999999999985,20.5208,0.22047406522425808
2014,대학교,사립,기존,경북,영남대학교,예체능계열,525,525,3167,524,99.81,6.03,91.4192,8.390799999999999,21.6962,0.23732651346763042
2014,대학교,사립,기존,경북,영남대학교,인문사회계열,2058,2058,12129,2029,98.59,5.89,87.0493,11.540700000000001,18.1442,0.20843590930656536
