기준연도,학교종류,설립구분,지역,상태,학교,계열,학생정원,학생모집정지인원(B),재학생,정원내,정원외,재학생충원율,정원내 재학생 충원율(%){D/(A-B)}X100,학교_정규화
2013,대학교,사립,경북,기존,포항공과대학교,공학계열,876,0,985,967,18,112.4,110.4,포항공과대학교
2013,대학교,특별법법인,대전,기존,한국과학기술원,자연과학계열,1292,0,1343,1317,26,103.9,101.9,한국과학기술원
2013,대학교,특별법법인,대전,기존,한국과학기술원,인문ㆍ사회계열,52,0,55,51,4,105.8,98.1,한국과학기술원
2013,대학교,특별법법인,대전,기존,한국과학기술원,공학계열,2536,0,2641,2510,131,104.1,99.0,한국과학기술원
2013,대학교,국립,충북,기존,한국교원대학교,공학계열,160,0,164,154,10,102.5,96.3,한국교원대학교
2013,대학교,국립,충북,기존,한국교원대학교,예ㆍ체능계열,240,0,245,245,0,102.1,102.1,한국교원대학교
2013,대학교,국립,충북,기존,한국교원대학교,인문ㆍ사회계열,1233,0,1384,1241,143,112.2,100.6,한국교원대학교
2013,대학교,국립,충북,기존,한국교원대학교,자연과학계열,580,0,602,552,50,103.8,95.2,한국교원대학교
2013,대학교,사립,충남,기존,한국기술교육대학교,인문ㆍ사회계열,549,0,737,694,43,134.2,126.4,한국기술교육대학교
2013,대학교,사립,충남,기존,한국기술교육대학교,공학계열,3071,0,3585,3292,293,116.7,107.2,한국기술교육대학교
2013,방송통신대학,국립,서울,기존,한국방송통신대학교,인문ㆍ사회계열,145200,0,122013,112293,9720,84.0,77.3,한국방송통신대학교
2013,방송통신대학,국립,서울,기존,한국방송통신대학교,자연과학계열,115600,0,33607,31627,1980,29.1,27.4,한국방송통신대학교
2013,대학교,사립,서울,기존,한국성서대학교,공학계열,145,0,134,127,7,92.4,87.6,한국성서대학교
2013,대학교,사립,서울,기존,한국성서대학교,인문ㆍ사회계열,655,0,864,746,118,131.9,113.9,한국성서대학교
2013,대학교,사립,서울,기존,한국성서대학교,자연과학계열,160,0,166,152,14,103.8,95.0,한국성서대학교
2013,각종학교(대학),특별법국립,서울,기존,한국예술종합학교,예ㆍ체능계열,2232,0,2484,2400,84,111.3,107.5,한국예술종합학교
2013,대학교,사립,서울,기존,한국외국어대학교,인문ㆍ사회계열,6704,0,9041,7557,1484,134.9,112.7,한국외국어대학교
2013,대학교,국립,서울,기존,한국체육대학교,예ㆍ체능계열,2360,0,2532,2450,82,107.3,103.8,한국체육대학교
2013,대학교,사립,대전,기존,한국침례신학대학교,예ㆍ체능계열,260,0,249,242,7,95.8,93.1,한국침례신학대학교
2013,대학교,사립,대전,기존,한국침례신학대학교,인문ㆍ사회계열,1340,0,1399,1325,74,104.4,98.9,한국침례신학대학교
2013,대학교,사립,경기,기존,한국항공대학교,인문ㆍ사회계열,560,0,699,612,87,124.8,109.3,한국항공대학교
2013,대학교,사립,경기,기존,한국항공대학교,자연과학계열,600,0,810,667,143,135.0,111.2,한국항공대학교
2013,대학교,사립,경기,기존,한국항공대학교,공학계열,2400,0,2874,2586,288,119.8,107.8,한국항공대학교
2013,대학교,사립,대전,기존,한남대학교,자연과학계열,1620,0,1548,1507,41,95.6,93.0,한남대학교
2013,대학교,사립,대전,기존,한남대학교,인문ㆍ사회계열,6812,0,7472,6887,585,109.7,101.1,한남대학교
2013,대학교,사립,대전,기존,한남대학교,공학계열,2560,0,2735,2447,288,106.8,95.6,한남대학교
2013,대학교,사립,대전,기존,한남대학교,예ㆍ체능계열,1028,0,1021,1004,17,99.3,97.7,한남대학교
2013,대학교,사립,경북,기존,한동대학교,공학계열,918,0,915,837,78,99.7,91.2,한동대학교
2013,대학교,사립,경북,기존,한동대학교,인문ㆍ사회계열,1856,0,2715,2431,284,146.3,131.0,한동대학교
