기준연도,학교명,대학자체대계열,재적학생,중도탈락학생,중도탈락비율(%),학교명_정규화
2020.0,가천대학교,공학계열,7699.0,272,3.53,가천대학교
2020.0,가천대학교,예체능계열,2594.0,115,4.43,가천대학교
2020.0,가천대학교,인문사회계열,9757.0,402,4.12,가천대학교
2020.0,가천대학교,자연과학계열,4962.0,130,2.62,가천대학교
2020.0,가톨릭관동대학교,공학계열,2279.0,148,6.49,가톨릭관동대학교
2020.0,가톨릭관동대학교,예체능계열,3338.0,240,7.19,가톨릭관동대학교
2020.0,가톨릭관동대학교,인문사회계열,2103.0,230,10.94,가톨릭관동대학교
2020.0,가톨릭관동대학교,자연과학계열,2111.0,81,3.84,가톨릭관동대학교
2020.0,가톨릭꽃동네대학교,인문사회계열,370.0,11,2.97,가톨릭꽃동네대학교
2020.0,가톨릭꽃동네대학교,자연과학계열,214.0,2,0.93,가톨릭꽃동네대학교
2020.0,가톨릭대학교,공학계열,2038.0,89,4.37,가톨릭대학교
2020.0,가톨릭대학교,예체능계열,235.0,13,5.53,가톨릭대학교
2020.0,가톨릭대학교,인문사회계열,5419.0,172,3.17,가톨릭대학교
2020.0,가톨릭대학교,자연과학계열,1840.0,81,4.4,가톨릭대학교
2020.0,가톨릭대학교 _제2캠퍼스,자연과학계열,960.0,6,0.62,가톨릭대학교 _제2캠퍼스
2020.0,가톨릭대학교 _제3캠퍼스,인문사회계열,307.0,8,2.61,가톨릭대학교 _제3캠퍼스
2020.0,감리교신학대학교,인문사회계열,1106.0,42,3.8,감리교신학대학교
2020.0,강남대학교,공학계열,2086.0,125,5.99,강남대학교
2020.0,강남대학교,인문사회계열,5189.0,351,6.76,강남대학교
2020.0,강남대학교,자연과학계열,599.0,16,2.67,강남대학교
2020.0,강서대학교,예체능계열,168.0,21,12.5,강서대학교
2020.0,강서대학교,인문사회계열,1128.0,86,7.62,강서대학교
2020.0,강서대학교,자연과학계열,330.0,10,3.03,강서대학교
2020.0,강원대학교,공학계열,4583.0,159,3.47,강원대학교
2020.0,강원대학교,예체능계열,758.0,21,2.77,강원대학교
2020.0,강원대학교,인문사회계열,6281.0,218,3.47,강원대학교
2020.0,강원대학교,자연과학계열,8311.0,258,3.1,강원대학교
2020.0,강원대학교 _제2캠퍼스,공학계열,5160.0,291,5.64,강원대학교 _제2캠퍼스
2020.0,강원대학교 _제2캠퍼스,예체능계열,886.0,57,6.43,강원대학교 _제2캠퍼스
2020.0,강원대학교 _제2캠퍼스,인문사회계열,1053.0,111,10.54,강원대학교 _제2캠퍼스
2020.0,강원대학교 _제2캠퍼스,자연과학계열,1828.0,76,4.16,강원대학교 _제2캠퍼스
2020.0,건국대학교,공학계열,8967.0,292,3.26,건국대학교
2020.0,건국대학교,예체능계열,1911.0,41,2.15,건국대학교
