기준년도,학교명_정규화,계열,총재적학생,총탈락자수,중도탈락률(%)
2011,한국체육대학교,인문사회계열,197.0,2.955,1.5000000000000002
2011,한국침례신학대학교,예체능계열,250.0,22.000000000000004,8.8
2011,한국침례신학대학교,인문사회계열,641.0,26.017999999999997,4.058970358814352
2011,한국항공대학교,공학계열,4974.0,115.242,2.3168878166465623
2011,한국항공대학교,인문사회계열,1314.0,40.722,3.0990867579908676
2011,한남대학교,공학계열,2961.0,142.828,4.823640661938534
2011,한남대학교,예체능계열,850.0,37.077000000000005,4.362000000000001
2011,한남대학교,인문사회계열,7233.0,218.229,3.0171298216507676
2011,한남대학교,자연과학계열,2057.0,88.53399999999999,4.304035002430724
2011,한동대학교,공학계열,1011.0,10.146,1.0035608308605342
2011,한동대학교,인문사회계열,1849.0,16.197,0.8759870200108165
2011,한동대학교,자연과학계열,465.0,13.019999999999998,2.7999999999999994
2011,한라대학교,공학계열,2745.0,214.859,7.82728597449909
2011,한라대학교,예체능계열,331.0,30.994,9.363746223564954
2011,한라대학교,인문사회계열,2026.0,129.643,6.398963474827246
2011,한라대학교,자연과학계열,161.0,10.948,6.800000000000001
2011,한림대학교,공학계열,1414.0,72.70299999999999,5.141654879773691
2011,한림대학교,예체능계열,451.0,33.941,7.525720620842573
2011,한림대학교,의학계열,312.0,0.0,0.0
2011,한림대학교,인문사회계열,4205.0,148.667,3.535481569560048
2011,한림대학교,자연과학계열,1709.0,92.094,5.388765359859566
2011,한서대학교,공학계열,2899.0,134.623,4.643773715074164
2011,한서대학교,예체능계열,1331.0,100.01,7.51389932381668
2011,한서대학교,인문사회계열,1344.0,77.977,5.801860119047619
2011,한서대학교,자연과학계열,885.0,86.049,9.723050847457628
2011,한성대학교,공학계열,1931.0,72.87,3.7736923873640604
2011,한성대학교,예체능계열,1174.0,64.096,5.45962521294719
2011,한성대학교,인문사회계열,2571.0,96.741,3.762777129521587
2011,한성대학교,자연과학계열,198.0,5.9399999999999995,3.0
2011,한세대학교,공학계열,790.0,50.153999999999996,6.348607594936709
2011,한세대학교,예체능계열,542.0,48.775999999999996,8.999261992619925
2011,한세대학교,인문사회계열,1523.0,88.322,5.799212081418253
2011,한신대학교,공학계열,1328.0,89.14000000000001,6.712349397590363
2011,한신대학교,예체능계열,283.0,11.037,3.9
2011,한신대학교,인문사회계열,2925.0,183.803,6.2838632478632475
2011,한신대학교,자연과학계열,493.0,52.055,10.558823529411764
2011,한양대학교,공학계열,6419.0,134.934,2.1021031313288674
2011,한양대학교,예체능계열,608.0,23.982,3.944407894736842
2011,한양대학교,의학계열,308.0,1.848,0.6
2011,한양대학교,인문사회계열,6289.0,117.507,1.8684528541898553
2011,한양대학교,자연과학계열,2190.0,63.536,2.9011872146118725
2011,한양대학교(ERICA) _분교,공학계열,4818.0,89.021,1.847675383976754
2011,한양대학교(ERICA) _분교,예체능계열,902.0,15.982000000000001,1.7718403547671842
2011,한양대학교(ERICA) _분교,인문사회계열,4781.0,80.649,1.6868646726626229
2011,한양대학교(ERICA) _분교,자연과학계열,1369.0,40.135000000000005,2.931701972242513
2011,한일장신대학교,예체능계열,78.0,14.975999999999999,19.2
2011,협성대학교,공학계열,899.0,95.77600000000001,10.653615127919911
2011,협성대학교,예체능계열,1074.0,78.988,7.354562383612663
2011,협성대학교,인문사회계열,1030.0,65.618,6.370679611650484
2011,협성대학교,자연과학계열,191.0,11.078,5.8
2011,호남대학교,공학계열,2407.0,217.0,9.01537183215621
2011,호남대학교,예체능계열,687.0,71.812,10.452983988355168
2011,호남대학교,인문사회계열,3478.0,223.957,6.439246693502013
2011,호남신학대학교,예체능계열,231.0,15.015,6.5
2011,호서대학교,공학계열,4761.0,272.961,5.733270321361059
2011,호서대학교,예체능계열,1939.0,144.254,7.439608045384218
2011,호서대학교,인문사회계열,3778.0,179.358,4.747432503970355
2011,호서대학교,자연과학계열,1459.0,89.89099999999999,6.161137765592871
2011,호원대학교,공학계열,865.0,67.962,7.856878612716764
2011,호원대학교,예체능계열,537.0,15.035999999999998,2.8
2011,호원대학교,인문사회계열,1916.0,138.95600000000002,7.25240083507307
2011,홍익대학교,공학계열,7142.0,176.68800000000002,2.473928871464576
2011,홍익대학교,예체능계열,788.0,8.004,1.015736040609137
2011,홍익대학교,인문사회계열,5534.0,124.20799999999998,2.2444524756053483
2011,홍익대학교,자연과학계열,349.0,11.168000000000001,3.2
2011,화성의과학대학교,공학계열,69.0,4.002,5.8
2011,화성의과학대학교,예체능계열,159.0,6.987,4.3943396226415095
2011,화성의과학대학교,인문사회계열,408.0,45.041,11.039460784313725
