기준년도,학교,계열,편제정원,"재학생 충원율(%)
(B/A) × 100",학교_정규화
2010,고려대학교,예ㆍ체능계열,480,113.3,고려대학교
2010,고려대학교(세종) _분교,예ㆍ체능계열,540,107.2,고려대학교(세종) _분교
2010,고려대학교(세종) _분교,인문ㆍ사회계열,3160,117.6,고려대학교(세종) _분교
2010,고려대학교(세종) _분교,자연과학계열,870,110.1,고려대학교(세종) _분교
2010,고려대학교(세종) _분교,공학계열,1410,123.4,고려대학교(세종) _분교
2010,고신대학교,자연과학계열,1677,56.4,고신대학교
2010,고신대학교,인문ㆍ사회계열,1569,139.8,고신대학교
2010,고신대학교,예ㆍ체능계열,522,80.3,고신대학교
2010,고신대학교,의학계열,304,94.1,고신대학교
2010,공주교육대학교,인문ㆍ사회계열,959,104.6,공주교육대학교
2010,공주교육대학교,예ㆍ체능계열,350,101.7,공주교육대학교
2010,공주교육대학교,자연과학계열,639,99.8,공주교육대학교
2010,광신대학교,인문ㆍ사회계열,455,86.4,광신대학교
2010,광신대학교,예ㆍ체능계열,115,65.2,광신대학교
2010,광운대학교,인문ㆍ사회계열,2640,124.9,광운대학교
2010,광운대학교,자연과학계열,600,104.0,광운대학교
2010,광운대학교,공학계열,3655,118.7,광운대학교
2010,광운대학교,예ㆍ체능계열,160,83.8,광운대학교
2010,광주가톨릭대학교,인문ㆍ사회계열,175,58.9,광주가톨릭대학교
2010,광주과학기술원,공학계열,100,99.0,광주과학기술원
2010,광주교육대학교,인문ㆍ사회계열,1772,46.2,광주교육대학교
2010,광주대학교,예ㆍ체능계열,1003,93.9,광주대학교
2010,광주대학교,공학계열,859,82.7,광주대학교
2010,광주대학교,자연과학계열,445,89.4,광주대학교
2010,광주대학교,인문ㆍ사회계열,3993,95.2,광주대학교
2010,광주여자대학교,인문ㆍ사회계열,1878,103.7,광주여자대학교
2010,광주여자대학교,자연과학계열,1886,100.5,광주여자대학교
2010,광주여자대학교,예ㆍ체능계열,256,77.3,광주여자대학교
2010,광주여자대학교,공학계열,20,85.0,광주여자대학교
2010,국립강릉원주대학교,의학계열,160,99.4,국립강릉원주대학교
2010,국립강릉원주대학교,인문ㆍ사회계열,2329,107.3,국립강릉원주대학교
2010,국립강릉원주대학교,공학계열,1083,93.8,국립강릉원주대학교
2010,국립강릉원주대학교,자연과학계열,2013,90.9,국립강릉원주대학교
2010,국립강릉원주대학교,예ㆍ체능계열,458,97.8,국립강릉원주대학교
2010,국립강릉원주대학교 _제2캠퍼스,인문ㆍ사회계열,435,87.6,국립강릉원주대학교 _제2캠퍼스
2010,국립강릉원주대학교 _제2캠퍼스,자연과학계열,280,126.1,국립강릉원주대학교 _제2캠퍼스
2010,국립강릉원주대학교 _제2캠퍼스,공학계열,1133,86.6,국립강릉원주대학교 _제2캠퍼스
2010,국립강릉원주대학교 _제2캠퍼스,예ㆍ체능계열,337,89.9,국립강릉원주대학교 _제2캠퍼스
2010,국립경국대학교,예ㆍ체능계열,444,99.3,국립경국대학교
2010,국립경국대학교,공학계열,1912,101.2,국립경국대학교
2010,국립경국대학교,자연과학계열,1960,98.5,국립경국대학교
2010,국립경국대학교,인문ㆍ사회계열,2044,106.7,국립경국대학교
2010,국립공주대학교,인문ㆍ사회계열,3482,119.0,국립공주대학교
2010,국립공주대학교,예ㆍ체능계열,847,107.0,국립공주대학교
2010,국립공주대학교,공학계열,4325,110.8,국립공주대학교
2010,국립공주대학교,자연과학계열,3694,107.1,국립공주대학교
2010,국립군산대학교,인문ㆍ사회계열,2112,101.8,국립군산대학교
2010,국립군산대학교,예ㆍ체능계열,656,101.2,국립군산대학교
2010,국립군산대학교,공학계열,3135,96.9,국립군산대학교
2010,국립군산대학교,자연과학계열,1812,89.3,국립군산대학교
2010,국립금오공과대학교,공학계열,4945,123.1,국립금오공과대학교
2010,국립금오공과대학교,자연과학계열,480,101.9,국립금오공과대학교
