기준연도,학교종류,설립구분,지역,상태,학교,계열,학생정원,학생모집정지인원(B),재학생,Unnamed: 10,Unnamed: 11,재학생충원율,정원내 재학생 충원율(%){D/(A-B)}X100,학교_정규화
2023 하,대학교,사립,경남,기존,경남대학교,공학계열,2850.0,0.0,2717,2549,168,95.3,89.4,경남대학교
2023 하,대학교,사립,경남,기존,경남대학교,예ㆍ체능계열,779.0,0.0,834,781,53,107.1,100.3,경남대학교
2023 상,대학교,사립,강원,기존,경동대학교,인문ㆍ사회계열,134.0,0.0,810,77,733,604.5,57.5,경동대학교
2023 상,대학교,사립,강원,기존,경동대학교,자연과학계열,20.0,0.0,28,9,19,140.0,45.0,경동대학교
2023 하,대학교,사립,강원,기존,경동대학교,인문ㆍ사회계열,134.0,0.0,631,80,551,470.9,59.7,경동대학교
2023 하,대학교,사립,강원,기존,경동대학교,자연과학계열,20.0,0.0,30,10,20,150.0,50.0,경동대학교
2023 상,대학교,국립,대구,기존,경북대학교,인문ㆍ사회계열,5008.0,0.0,5558,4850,708,111.0,96.8,경북대학교
2023 상,대학교,국립,대구,기존,경북대학교,자연과학계열,5957.0,0.0,5931,5395,536,99.6,90.6,경북대학교
2023 상,대학교,국립,대구,기존,경북대학교,공학계열,6210.0,0.0,6464,5830,634,104.1,93.9,경북대학교
2023 상,대학교,국립,대구,기존,경북대학교,예ㆍ체능계열,1017.0,0.0,928,895,33,91.2,88.0,경북대학교
2023 상,대학교,국립,대구,기존,경북대학교,의학계열,908.0,0.0,842,830,12,92.7,91.4,경북대학교
2023 하,대학교,국립,대구,기존,경북대학교,인문ㆍ사회계열,5008.0,0.0,6086,5368,718,121.5,107.2,경북대학교
2023 하,대학교,국립,대구,기존,경북대학교,자연과학계열,5957.0,0.0,6539,5963,576,109.8,100.1,경북대학교
2023 하,대학교,국립,대구,기존,경북대학교,공학계열,6210.0,0.0,7176,6503,673,115.6,104.7,경북대학교
2023 하,대학교,국립,대구,기존,경북대학교,예ㆍ체능계열,1017.0,0.0,1003,970,33,98.6,95.4,경북대학교
2023 하,대학교,국립,대구,기존,경북대학교,의학계열,908.0,0.0,854,841,13,94.1,92.6,경북대학교
2023 상,대학교,국립,경남,기존,경상국립대학교,인문ㆍ사회계열,4783.0,0.0,4713,4275,438,98.5,89.4,경상국립대학교
2023 상,대학교,국립,경남,기존,경상국립대학교,자연과학계열,4228.0,0.0,4032,3698,334,95.4,87.5,경상국립대학교
2023 상,대학교,국립,경남,기존,경상국립대학교,공학계열,5096.0,0.0,4404,4164,240,86.4,81.7,경상국립대학교
2023 상,대학교,국립,경남,기존,경상국립대학교,예ㆍ체능계열,394.0,0.0,362,349,13,91.9,88.6,경상국립대학교
2023 상,대학교,국립,경남,기존,경상국립대학교,의학계열,504.0,0.0,521,493,28,103.4,97.8,경상국립대학교
2023 하,대학교,국립,경남,기존,경상국립대학교,인문ㆍ사회계열,4783.0,0.0,5075,4616,459,106.1,96.5,경상국립대학교
2023 하,대학교,국립,경남,기존,경상국립대학교,자연과학계열,4228.0,0.0,4288,3937,351,101.4,93.1,경상국립대학교
2023 하,대학교,국립,경남,기존,경상국립대학교,공학계열,5096.0,0.0,4750,4487,263,93.2,88.0,경상국립대학교
2023 하,대학교,국립,경남,기존,경상국립대학교,예ㆍ체능계열,394.0,0.0,361,356,5,91.6,90.4,경상국립대학교
2023 하,대학교,국립,경남,기존,경상국립대학교,의학계열,504.0,0.0,516,487,29,102.4,96.6,경상국립대학교
2023 상,대학교,사립,부산,기존,경성대학교,인문ㆍ사회계열,4693.0,0.0,5525,4203,1322,117.7,89.6,경성대학교
2023 상,대학교,사립,부산,기존,경성대학교,자연과학계열,1522.0,0.0,1439,1260,179,94.5,82.8,경성대학교
2023 상,대학교,사립,부산,기존,경성대학교,공학계열,2743.0,0.0,2461,2246,215,89.7,81.9,경성대학교
2023 상,대학교,사립,부산,기존,경성대학교,예ㆍ체능계열,2187.0,0.0,2050,1962,88,93.7,89.7,경성대학교
2023 하,대학교,사립,부산,기존,경성대학교,인문ㆍ사회계열,4693.0,0.0,5570,4486,1084,118.7,95.6,경성대학교
2023 하,대학교,사립,부산,기존,경성대학교,자연과학계열,1522.0,0.0,1530,1344,186,100.5,88.3,경성대학교
2023 하,대학교,사립,부산,기존,경성대학교,공학계열,2743.0,0.0,2575,2356,219,93.9,85.9,경성대학교
2023 하,대학교,사립,부산,기존,경성대학교,예ㆍ체능계열,2187.0,0.0,2195,2096,99,100.4,95.8,경성대학교
2023 상,교육대학,국립,인천,기존,경인교육대학교,인문ㆍ사회계열,2392.0,0.0,591,529,62,24.7,22.1,경인교육대학교
2023 하,교육대학,국립,인천,기존,경인교육대학교,인문ㆍ사회계열,2392.0,0.0,621,557,64,26.0,23.3,경인교육대학교
2023 상,대학교,사립,경북,기존,경일대학교,인문ㆍ사회계열,1279.0,0.0,1351,1111,240,105.6,86.9,경일대학교
2023 상,대학교,사립,경북,기존,경일대학교,자연과학계열,772.0,0.0,829,727,102,107.4,94.2,경일대학교
2023 상,대학교,사립,경북,기존,경일대학교,공학계열,2433.0,0.0,2637,2320,317,108.4,95.4,경일대학교
2023 상,대학교,사립,경북,기존,경일대학교,예ㆍ체능계열,1839.0,0.0,1599,1535,64,86.9,83.5,경일대학교
2023 하,대학교,사립,경북,기존,경일대학교,인문ㆍ사회계열,1279.0,0.0,1460,1222,238,114.2,95.5,경일대학교
2023 하,대학교,사립,경북,기존,경일대학교,자연과학계열,772.0,0.0,860,752,108,111.4,97.4,경일대학교
2023 하,대학교,사립,경북,기존,경일대학교,공학계열,2433.0,0.0,2750,2400,350,113.0,98.6,경일대학교
