기준년도,학교명,최종_계열,졸업자_남,졸업자_여,진학자_남,진학자_여,졸업자_총합,진학자_총합,진학률(%),학교명_정규화
2012,서울여자대학교,자연과학계열,0,182,0,19,182,19,10.4,서울여자대학교
2012,서울장신대학교,예체능계열,3,27,0,1,30,1,3.3,서울장신대학교
2012,서울장신대학교,인문사회계열,56,45,8,8,101,16,15.8,서울장신대학교
2012,서울한영대학교,예체능계열,2,10,0,0,12,0,0.0,서울한영대학교
2012,서울한영대학교,인문사회계열,27,72,2,4,99,6,6.1,서울한영대학교
2012,서원대학교,공학계열,69,46,2,0,115,2,1.7,서원대학교
2012,서원대학교,예체능계열,54,131,1,3,185,4,2.2,서원대학교
2012,서원대학교,인문사회계열,413,480,6,14,893,20,2.2,서원대학교
2012,서원대학교,자연과학계열,69,106,1,3,175,4,2.3,서원대학교
2012,선문대학교,공학계열,356,99,14,2,455,16,3.5,선문대학교
2012,선문대학교,예체능계열,37,30,0,2,67,2,3.0,선문대학교
2012,선문대학교,의학계열,7,11,2,1,18,3,16.7,선문대학교
2012,선문대학교,인문사회계열,515,406,13,9,921,22,2.4,선문대학교
2012,선문대학교,자연과학계열,131,97,11,6,228,17,7.5,선문대학교
2012,성결대학교,공학계열,96,60,4,1,156,5,3.2,성결대학교
2012,성결대학교,예체능계열,7,78,0,5,85,5,5.9,성결대학교
2012,성결대학교,인문사회계열,263,374,21,17,637,38,6.0,성결대학교
2012,성결대학교,자연과학계열,12,28,1,4,40,5,12.5,성결대학교
2012,성공회대학교,공학계열,36,51,1,1,87,2,2.3,성공회대학교
2012,성공회대학교,예체능계열,26,8,0,1,34,1,2.9,성공회대학교
2012,성공회대학교,인문사회계열,139,209,4,6,348,10,2.9,성공회대학교
2012,성공회대학교,자연과학계열,18,8,1,0,26,1,3.8,성공회대학교
2012,성균관대학교,공학계열,955,177,197,28,1132,225,19.9,성균관대학교
2012,성균관대학교,예체능계열,60,147,6,26,207,32,15.5,성균관대학교
2012,성균관대학교,의학계열,36,8,0,0,44,0,0.0,성균관대학교
2012,성균관대학교,인문사회계열,1319,947,80,91,2266,171,7.5,성균관대학교
2012,성균관대학교,자연과학계열,406,228,107,68,634,175,27.6,성균관대학교
2012,성신여자대학교,공학계열,0,204,0,15,204,15,7.4,성신여자대학교
2012,성신여자대학교,예체능계열,0,384,0,68,384,68,17.7,성신여자대학교
2012,성신여자대학교,인문사회계열,0,1162,0,63,1162,63,5.4,성신여자대학교
2012,성신여자대학교,자연과학계열,1,323,0,40,324,40,12.3,성신여자대학교
2012,세명대학교,공학계열,250,64,14,7,314,21,6.7,세명대학교
2012,세명대학교,예체능계열,88,76,2,3,164,5,3.0,세명대학교
2012,세명대학교,의학계열,38,15,0,1,53,1,1.9,세명대학교
2012,세명대학교,인문사회계열,402,355,4,7,757,11,1.5,세명대학교
