기준연도,학교명,최종_계열,졸업자_남,졸업자_여,진학자_남,진학자_여,졸업자_총합,진학자_총합,진학률(%),학교명_정규화
2023,동양대학교,인문사회계열,145,109,3,3,254,6,2.4,동양대학교
2023,동양대학교,자연과학계열,38,17,0,0,55,0,0.0,동양대학교
2023,동의대학교,공학계열,737,491,20,33,1228,53,4.3,동의대학교
2023,동의대학교,예체능계열,164,143,3,3,307,6,2.0,동의대학교
2023,동의대학교,의학계열,21,13,0,0,34,0,0.0,동의대학교
2023,동의대학교,인문사회계열,593,914,7,13,1507,20,1.3,동의대학교
2023,동의대학교,자연과학계열,77,209,0,5,286,5,1.7,동의대학교
2023,루터대학교,인문사회계열,27,53,5,5,80,10,12.5,루터대학교
2023,명지대학교,공학계열,549,221,36,17,770,53,6.9,명지대학교
2023,명지대학교,예체능계열,255,198,8,9,453,17,3.8,명지대학교
2023,명지대학교,인문사회계열,13,31,2,3,44,5,11.4,명지대학교
2023,명지대학교,자연과학계열,154,105,14,11,259,25,9.7,명지대학교
2023,명지대학교 _제2캠퍼스,공학계열,246,186,2,1,432,3,0.7,명지대학교 _제2캠퍼스
2023,명지대학교 _제2캠퍼스,예체능계열,24,52,1,9,76,10,13.2,명지대학교 _제2캠퍼스
2023,명지대학교 _제2캠퍼스,인문사회계열,665,946,15,16,1611,31,1.9,명지대학교 _제2캠퍼스
2023,목원대학교,공학계열,278,59,5,7,337,12,3.6,목원대학교
2023,목원대학교,예체능계열,110,245,9,15,355,24,6.8,목원대학교
2023,목원대학교,인문사회계열,381,377,39,15,758,54,7.1,목원대학교
2023,목원대학교,자연과학계열,78,100,5,9,178,14,7.9,목원대학교
2023,목포가톨릭대학교,공학계열,13,79,0,0,92,0,0.0,목포가톨릭대학교
2023,목포가톨릭대학교,인문사회계열,6,24,0,0,30,0,0.0,목포가톨릭대학교
2023,배재대학교,공학계열,263,114,11,3,377,14,3.7,배재대학교
2023,배재대학교,예체능계열,54,70,1,3,124,4,3.2,배재대학교
2023,배재대학교,인문사회계열,333,467,9,9,800,18,2.2,배재대학교
2023,배재대학교,자연과학계열,165,142,5,6,307,11,3.6,배재대학교
2023,백석대학교,공학계열,178,216,1,2,394,3,0.8,백석대학교
2023,백석대학교,예체능계열,206,297,1,2,503,3,0.6,백석대학교
2023,백석대학교,인문사회계열,637,1025,1,11,1662,12,0.7,백석대학교
2023,백석대학교,자연과학계열,83,167,2,2,250,4,1.6,백석대학교
2023,부산가톨릭대학교,공학계열,65,122,2,0,187,2,1.1,부산가톨릭대학교
2023,부산가톨릭대학교,예체능계열,20,6,2,1,26,3,11.5,부산가톨릭대학교
2023,부산가톨릭대학교,의학계열,12,18,0,1,30,1,3.3,부산가톨릭대학교
2023,부산가톨릭대학교,인문사회계열,77,150,2,3,227,5,2.2,부산가톨릭대학교
2023,부산가톨릭대학교,자연과학계열,163,291,2,11,454,13,2.9,부산가톨릭대학교
2023,부산교육대학교,예체능계열,9,25,0,1,34,1,2.9,부산교육대학교
2023,부산교육대학교,인문사회계열,111,202,0,2,313,2,0.6,부산교육대학교
2023,부산교육대학교,자연과학계열,12,19,0,0,31,0,0.0,부산교육대학교
2023,부산대학교,공학계열,1424,676,189,70,2100,259,12.3,부산대학교
2023,부산대학교,예체능계열,59,218,6,28,277,34,12.3,부산대학교
2023,부산대학교,인문사회계열,619,956,31,83,1575,114,7.2,부산대학교
2023,부산대학교,자연과학계열,407,473,70,78,880,148,16.8,부산대학교
2023,부산외국어대학교,공학계열,170,152,0,4,322,4,1.2,부산외국어대학교
2023,부산외국어대학교,예체능계열,44,12,0,0,56,0,0.0,부산외국어대학교
2023,부산외국어대학교,인문사회계열,552,803,7,10,1355,17,1.3,부산외국어대학교
2023,부산외국어대학교,자연과학계열,26,16,0,1,42,1,2.4,부산외국어대학교
2023,부산장신대학교,인문사회계열,32,32,5,4,64,9,14.1,부산장신대학교
2023,삼육대학교,공학계열,138,136,4,4,274,8,2.9,삼육대학교
2023,삼육대학교,예체능계열,35,77,0,2,112,2,1.8,삼육대학교
2023,삼육대학교,의학계열,15,27,1,1,42,2,4.8,삼육대학교
2023,삼육대학교,인문사회계열,180,382,9,19,562,28,5.0,삼육대학교
2023,삼육대학교,자연과학계열,127,180,11,12,307,23,7.5,삼육대학교
2023,상명대학교,공학계열,73,106,16,19,179,35,19.6,상명대학교
