2024년_ [중도탈락 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,"재적학생
(A)",사유별 중도탈락 학생,,,,,,,,,"중도탈락학생비율(%)
(B/A) × 100"
,,,,,,,,,,,,계(B),미등록,미복학,자퇴,학사경고,학생활동,유급제적,재학연한초과,기타,
2023,대학교,사립,경기,기존,가천대학교,공과대학,도시계획・조경학부,주간,일반과정,기존,102,4,0,0,4,0,0,0,0,0,3.9
2023,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학과,주간,일반과정,폐과,2,1,0,1,0,0,0,0,0,0,50
2023,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학전공,주간,일반과정,기존,252,4,0,1,3,0,0,0,0,0,1.6
2023,대학교,사립,경기,기존,가천대학교,공과대학,산업경영공학과,주간,일반과정,폐과,211,4,1,2,1,0,0,0,0,0,1.9
2023,대학교,사립,경기,기존,가천대학교,공과대학,설비·소방공학과,주간,일반과정,기존,535,7,0,1,6,0,0,0,0,0,1.3
2023,대학교,사립,경기,기존,가천대학교,공과대학,신소재공학과,주간,일반과정,기존,259,10,1,0,9,0,0,0,0,0,3.9
2023,대학교,사립,경기,기존,가천대학교,공과대학,실내건축학과,주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,공과대학,실내건축학전공,주간,일반과정,기존,172,5,0,2,3,0,0,0,0,0,2.9
2023,대학교,사립,경기,기존,가천대학교,공과대학,조경학전공,주간,일반과정,기존,147,3,0,2,1,0,0,0,0,0,2
2023,대학교,사립,경기,기존,가천대학교,공과대학,토목환경공학과,주간,일반과정,기존,311,14,1,5,8,0,0,0,0,0,4.5
2023,대학교,사립,경기,기존,가천대학교,공과대학,토목환경공학과,야간,일반과정,폐과,3,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,공과대학,화공생명공학과,주간,일반과정,폐과,515,13,0,2,11,0,0,0,0,0,2.5
2023,대학교,사립,경기,기존,가천대학교,공과대학,화공생명공학부(배터리공학전공),주간,일반과정,신설,51,4,0,0,4,0,0,0,0,0,7.8
2023,대학교,사립,경기,기존,가천대학교,공과대학,화공생명공학부(화공생명공학전공),주간,일반과정,변경,108,13,0,1,12,0,0,0,0,0,12
2023,대학교,사립,경기,기존,가천대학교,공과대학,환경에너지공학과,주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,나노물리학과,주간,일반과정,폐과,15,0,0,0,0,0,0,0,0,0,0
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,나노화학과,주간,일반과정,폐과,21,1,0,0,1,0,0,0,0,0,4.8
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,물리학과,주간,일반과정,기존,218,13,0,1,12,0,0,0,0,0,6
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,바이오나노학과,주간,일반과정,기존,266,15,0,1,14,0,0,0,0,0,5.6
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,생명과학과,주간,일반과정,기존,271,13,0,3,9,0,0,0,0,1,4.8
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품생명공학과,주간,일반과정,기존,117,6,0,0,6,0,0,0,0,0,5.1
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품생물공학과,주간,일반과정,폐과,200,6,0,3,3,0,0,0,0,0,3
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품영양학과,주간,일반과정,기존,314,9,0,3,6,0,0,0,0,0,2.9
2023,대학교,사립,경기,기존,가천대학교,바이오나노대학,화학과,주간,일반과정,기존,250,11,0,2,9,0,0,0,0,0,4.4
2023,대학교,사립,경기,기존,가천대학교,법과대학,경찰・안보학과,주간,일반과정,폐과,198,1,0,1,0,0,0,0,0,0,0.5
2023,대학교,사립,경기,기존,가천대학교,법과대학,경찰행정학과,주간,일반과정,기존,228,8,0,3,5,0,0,0,0,0,3.5
2023,대학교,사립,경기,기존,가천대학교,법과대학,법학과,주간,일반과정,기존,697,41,0,12,27,0,0,0,0,2,5.9
2023,대학교,사립,경기,기존,가천대학교,법과대학,행정학과,주간,일반과정,기존,423,12,6,4,2,0,0,0,0,0,2.8
2023,대학교,사립,경기,기존,가천대학교,보건과학대학,물리치료학과,주간,일반과정,기존,288,2,0,1,1,0,0,0,0,0,0.7
2023,대학교,사립,경기,기존,가천대학교,보건과학대학,방사선학과,주간,일반과정,기존,254,3,0,0,3,0,0,0,0,0,1.2
2023,대학교,사립,경기,기존,가천대학교,보건과학대학,운동재활복지학과,주간,일반과정,폐과,102,1,0,0,1,0,0,0,0,0,1
2023,대학교,사립,경기,기존,가천대학교,보건과학대학,운동재활학과,주간,일반과정,기존,124,6,1,1,4,0,0,0,0,0,4.8
2023,대학교,사립,경기,기존,가천대학교,보건과학대학,응급구조학과,주간,일반과정,기존,149,2,0,2,0,0,0,0,0,0,1.3
2023,대학교,사립,경기,기존,가천대학교,보건과학대학,의용생체공학과,주간,일반과정,폐과,117,3,0,3,0,0,0,0,0,0,2.6
2023,대학교,사립,경기,기존,가천대학교,보건과학대학,치위생학과,주간,일반과정,기존,203,7,0,1,6,0,0,0,0,0,3.4
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,경제학과,주간,일반과정,기존,674,36,4,6,26,0,0,0,0,0,5.3
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,관광경영학과,주간,일반과정,기존,521,15,5,4,6,0,0,0,0,0,2.9
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,글로벌경제학과,주간,일반과정,폐과,171,2,0,2,0,0,0,0,0,0,1.2
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,글로벌경제학과,야간,일반과정,폐과,7,1,0,1,0,0,0,0,0,0,14.3
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,미디어커뮤니케이션학과,주간,일반과정,기존,777,33,8,7,18,0,0,0,0,0,4.2
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,사회복지학과,주간,일반과정,기존,333,13,0,1,12,0,0,0,0,0,3.9
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,심리학과,주간,일반과정,기존,314,9,1,1,7,0,0,0,0,0,2.9
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,유아교육학과,주간,일반과정,기존,274,9,0,2,7,0,0,0,0,0,3.3
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,응용통계학과,주간,일반과정,기존,337,10,1,1,8,0,0,0,0,0,3
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,의료경영학과,주간,일반과정,폐과,291,6,0,3,3,0,0,0,0,0,2.1
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,의료산업경영학과,주간,일반과정,변경,56,3,1,0,2,0,0,0,0,0,5.4
2023,대학교,사립,경기,기존,가천대학교,사회과학대학,헬스케어경영학과,주간,일반과정,폐과,2,0,0,0,0,0,0,0,0,0,0
