2023년_ [중도탈락 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,"재적학생
(A)",사유별 중도탈락 학생,,,,,,,,,"중도탈락학생비율(%)
(B/A) × 100"
,,,,,,,,,,,,계(B),미등록,미복학,자퇴,학사경고,학생활동,유급제적,재학연한초과,기타,
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,간호학과,주간,일반과정,기존,777,23,3,2,18,0,0,0,0,0,2.96
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,경영물류학과,주간,일반과정,폐과,89,17,2,7,8,0,0,0,0,0,19.1
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,경찰소방학과,주간,일반과정,변경,141,33,4,6,23,0,0,0,0,0,23.4
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,귀금속주얼리학과,주간,일반과정,폐과,54,17,1,9,7,0,0,0,0,0,31.48
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,물리치료학과,주간,일반과정,기존,285,9,2,1,6,0,0,0,0,0,3.16
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,방사선학과,주간,일반과정,기존,237,13,4,1,8,0,0,0,0,0,5.49
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,사회복지학과,주간,일반과정,기존,236,27,5,6,16,0,0,0,0,0,11.44
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,스포츠재활복지학과,주간,일반과정,폐과,0,2,0,0,2,0,0,0,0,0,0
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,스포츠재활복지학부,주간,일반과정,변경,125,25,3,1,21,0,0,0,0,0,20
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,안경광학과,주간,일반과정,폐과,63,10,1,4,5,0,0,0,0,0,15.87
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,외식조리영양학부,주간,일반과정,폐과,42,14,1,8,5,0,0,0,0,0,33.33
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,유아교육과,주간,일반과정,기존,64,3,0,0,3,0,0,0,0,0,4.69
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,작업치료학과,주간,일반과정,기존,100,12,1,0,11,0,0,0,0,0,12
2022,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,특수교육과,주간,일반과정,기존,142,13,2,5,6,0,0,0,0,0,9.15
2022,대학교,사립,경기,기존,가천대학교,간호대학,간호학과,주간,일반과정,기존,"1,265",24,0,1,22,0,0,0,0,1,1.9
2022,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(경영학트랙),주간,일반과정,폐과,32,1,0,1,0,0,0,0,0,0,3.13
2022,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(경영학트랙),야간,일반과정,폐과,18,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(글로벌경영학트랙),주간,일반과정,폐과,4,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,경영대학,경영학부,주간,일반과정,기존,521,49,6,9,34,0,0,0,0,0,9.4
2022,대학교,사립,경기,기존,가천대학교,경영대학,경영학부(경영학),주간,일반과정,폐과,"1,448",36,13,9,13,0,0,0,0,1,2.49
2022,대학교,사립,경기,기존,가천대학교,경영대학,경영학부(글로벌경영학),주간,일반과정,폐과,646,14,10,2,2,0,0,0,0,0,2.17
2022,대학교,사립,경기,기존,가천대학교,경영대학,경영학전공,주간,일반과정,기존,214,13,6,3,4,0,0,0,0,0,6.07
2022,대학교,사립,경기,기존,가천대학교,경영대학,글로벌경영학전공,주간,일반과정,기존,30,2,0,1,1,0,0,0,0,0,6.67
2022,대학교,사립,경기,기존,가천대학교,경영대학,금융수학과,주간,일반과정,기존,301,11,0,2,9,0,0,0,0,0,3.65
2022,대학교,사립,경기,기존,가천대학교,경영대학,회계세무학전공,주간,일반과정,기존,41,1,0,0,1,0,0,0,0,0,2.44
2022,대학교,사립,경기,기존,가천대학교,공과대학,건축공학과,주간,일반과정,폐과,43,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,공과대학,건축공학전공,주간,일반과정,기존,165,5,0,1,4,0,0,0,0,0,3.03
2022,대학교,사립,경기,기존,가천대학교,공과대학,건축학과,주간,일반과정,폐과,63,2,1,0,1,0,0,0,0,0,3.17
2022,대학교,사립,경기,기존,가천대학교,공과대학,건축학부,주간,일반과정,기존,155,15,0,0,15,0,0,0,0,0,9.68
2022,대학교,사립,경기,기존,가천대학교,공과대학,건축학전공,주간,일반과정,기존,222,8,1,2,5,0,0,0,0,0,3.6
2022,대학교,사립,경기,기존,가천대학교,공과대학,기계・스마트・산업공학부(기계공학전공),주간,일반과정,변경,142,17,1,0,16,0,0,0,0,0,11.97
2022,대학교,사립,경기,기존,가천대학교,공과대학,기계・스마트・산업공학부(산업공학전공),주간,일반과정,변경,65,6,0,0,6,0,0,0,0,0,9.23
2022,대학교,사립,경기,기존,가천대학교,공과대학,기계・스마트・산업공학부(스마트팩토리전공),주간,일반과정,신설,49,2,0,0,2,0,0,0,0,0,4.08
2022,대학교,사립,경기,기존,가천대학교,공과대학,기계공학과,주간,일반과정,폐과,509,16,0,3,13,0,0,0,0,0,3.14
2022,대학교,사립,경기,기존,가천대학교,공과대학,도시계획・조경학부,주간,일반과정,기존,102,4,0,0,4,0,0,0,0,0,3.92
2022,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학과,주간,일반과정,폐과,46,2,0,2,0,0,0,0,0,0,4.35
2022,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학전공,주간,일반과정,기존,209,5,0,2,3,0,0,0,0,0,2.39
2022,대학교,사립,경기,기존,가천대학교,공과대학,산업경영공학과,주간,일반과정,폐과,274,4,1,0,3,0,0,0,0,0,1.46
2022,대학교,사립,경기,기존,가천대학교,공과대학,설비·소방공학과,주간,일반과정,기존,564,17,0,9,7,0,0,0,0,1,3.01
2022,대학교,사립,경기,기존,가천대학교,공과대학,신소재공학과,주간,일반과정,기존,219,9,1,0,8,0,0,0,0,0,4.11
2022,대학교,사립,경기,기존,가천대학교,공과대학,실내건축학과,주간,일반과정,폐과,26,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,공과대학,실내건축학전공,주간,일반과정,기존,140,8,2,4,2,0,0,0,0,0,5.71
2022,대학교,사립,경기,기존,가천대학교,공과대학,조경학과,주간,일반과정,폐과,30,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,공과대학,조경학전공,주간,일반과정,기존,126,2,0,1,1,0,0,0,0,0,1.59
2022,대학교,사립,경기,기존,가천대학교,공과대학,토목환경공학과,주간,일반과정,기존,306,8,0,4,4,0,0,0,0,0,2.61
2022,대학교,사립,경기,기존,가천대학교,공과대학,토목환경공학과,야간,일반과정,폐과,5,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,공과대학,화공생명공학과,주간,일반과정,기존,653,38,1,3,34,0,0,0,0,0,5.82
2022,대학교,사립,경기,기존,가천대학교,공과대학,환경에너지공학과,주간,일반과정,폐과,2,1,0,1,0,0,0,0,0,0,50
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,나노물리학과,주간,일반과정,폐과,52,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,나노화학과,주간,일반과정,폐과,67,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,물리학과,주간,일반과정,기존,191,17,0,1,16,0,0,0,0,0,8.9
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,바이오나노학과,주간,일반과정,기존,269,13,0,5,8,0,0,0,0,0,4.83
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,생명과학과,주간,일반과정,기존,287,17,2,2,13,0,0,0,0,0,5.92
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품생명공학과,주간,일반과정,변경,64,2,0,0,2,0,0,0,0,0,3.13
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품생물공학과,주간,일반과정,폐과,249,7,0,1,6,0,0,0,0,0,2.81
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품영양학과,주간,일반과정,기존,305,11,0,2,9,0,0,0,0,0,3.61
2022,대학교,사립,경기,기존,가천대학교,바이오나노대학,화학과,주간,일반과정,기존,195,5,0,0,5,0,0,0,0,0,2.56
2022,대학교,사립,경기,기존,가천대학교,법과대학,경찰・안보학과,주간,일반과정,폐과,233,3,0,2,1,0,0,0,0,0,1.29
2022,대학교,사립,경기,기존,가천대학교,법과대학,경찰행정학과,주간,일반과정,기존,171,1,0,1,0,0,0,0,0,0,0.58
2022,대학교,사립,경기,기존,가천대학교,법과대학,법학과,주간,일반과정,기존,671,22,0,7,15,0,0,0,0,0,3.28
2022,대학교,사립,경기,기존,가천대학교,법과대학,행정학과,주간,일반과정,기존,423,12,1,1,10,0,0,0,0,0,2.84
2022,대학교,사립,경기,기존,가천대학교,보건과학대학,물리치료학과,주간,일반과정,기존,278,2,0,0,2,0,0,0,0,0,0.72
2022,대학교,사립,경기,기존,가천대학교,보건과학대학,방사선학과,주간,일반과정,기존,255,3,0,0,3,0,0,0,0,0,1.18
2022,대학교,사립,경기,기존,가천대학교,보건과학대학,운동재활복지학과,주간,일반과정,폐과,175,6,0,0,6,0,0,0,0,0,3.43
2022,대학교,사립,경기,기존,가천대학교,보건과학대학,운동재활학과,주간,일반과정,변경,52,2,0,0,2,0,0,0,0,0,3.85
2022,대학교,사립,경기,기존,가천대학교,보건과학대학,응급구조학과,주간,일반과정,기존,163,4,0,1,3,0,0,0,0,0,2.45
2022,대학교,사립,경기,기존,가천대학교,보건과학대학,의용생체공학과,주간,일반과정,폐과,200,6,0,1,5,0,0,0,0,0,3
2022,대학교,사립,경기,기존,가천대학교,보건과학대학,치위생학과,주간,일반과정,기존,204,6,0,0,6,0,0,0,0,0,2.94
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,경제학과,주간,일반과정,기존,589,21,2,0,18,0,0,0,0,1,3.57
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,관광경영학과,주간,일반과정,기존,561,21,11,3,7,0,0,0,0,0,3.74
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,글로벌경제학과,주간,일반과정,폐과,277,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,글로벌경제학과,야간,일반과정,폐과,10,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,미디어커뮤니케이션학과,주간,일반과정,기존,697,28,10,0,18,0,0,0,0,0,4.02
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,사회복지학과,주간,일반과정,기존,351,3,1,1,1,0,0,0,0,0,0.85
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,심리학과,주간,일반과정,기존,212,9,2,1,6,0,0,0,0,0,4.25
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,유아교육학과,주간,일반과정,기존,271,5,2,0,3,0,0,0,0,0,1.85
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,응용통계학과,주간,일반과정,기존,345,6,1,0,5,0,0,0,0,0,1.74
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,의료경영학과,주간,일반과정,기존,292,8,1,2,5,0,0,0,0,0,2.74
2022,대학교,사립,경기,기존,가천대학교,사회과학대학,헬스케어경영학과,주간,일반과정,폐과,50,1,0,1,0,0,0,0,0,0,2
2022,대학교,사립,경기,기존,가천대학교,약학대학,약학과,주간,일반과정,변경,38,2,0,0,2,0,0,0,0,0,5.26
2022,대학교,사립,경기,기존,가천대학교,약학대학,약학과(2+4학제),주간,일반과정,폐과,131,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,미술·디자인학부(디자인),주간,일반과정,기존,665,23,7,2,14,0,0,0,0,0,3.46
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,미술·디자인학부(패션디자인),주간,일반과정,기존,290,14,3,3,8,0,0,0,0,0,4.83
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,미술·디자인학부(회화·조소),주간,일반과정,기존,384,28,1,8,18,0,0,0,1,0,7.29
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,연기예술학과,주간,일반과정,기존,224,11,1,4,6,0,0,0,0,0,4.91
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,음악학부(기악),주간,일반과정,기존,254,7,1,0,6,0,0,0,0,0,2.76
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,음악학부(성악),주간,일반과정,기존,134,2,0,0,2,0,0,0,0,0,1.49
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,음악학부(작곡),주간,일반과정,기존,81,6,0,3,3,0,0,0,0,0,7.41
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,체육학부(체육),주간,일반과정,기존,253,4,0,0,4,0,0,0,0,0,1.58
2022,대학교,사립,경기,기존,가천대학교,예술ㆍ체육대학,체육학부(태권도),주간,일반과정,기존,199,11,0,10,1,0,0,0,0,0,5.53
2022,대학교,사립,경기,기존,가천대학교,의과대학,의예과,주간,일반과정,기존,86,2,0,0,2,0,0,0,0,0,2.33
2022,대학교,사립,경기,기존,가천대학교,의과대학,의학과,주간,일반과정,기존,157,0,0,0,0,0,0,0,0,0,0
2022,대학교,사립,경기,기존,가천대학교,인문대학,동양어문학과,주간,일반과정,기존,589,28,1,3,23,0,0,0,1,0,4.75
2022,대학교,사립,경기,기존,가천대학교,인문대학,영미어문학과,주간,일반과정,기존,388,27,4,4,19,0,0,0,0,0,6.96
2022,대학교,사립,경기,기존,가천대학교,인문대학,영미어문학과,야간,일반과정,폐과,8,0,0,0,0,0,0,0,0,0,0
