2022년_ [중도탈락 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,단과대학,"학과
(전공)",구분,학과특성,학과상태,"재적학생
(A)",사유별 중도탈락 학생,,,,,,,,,"중도탈락학생비율(%)
(B/A) × 100"
,,,,,,,,,,,,계(B),미등록,미복학,자퇴,학사경고,학생활동,유급제적,수업연한초과,기타,
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,간호학과,주간,일반과정,기존,753,19,1,0,17,0,0,0,0,1,2.5
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,경영물류학과,주간,일반과정,변경,208,53,29,2,11,0,0,0,0,11,25.5
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,경찰행정학과,주간,일반과정,기존,181,24,4,5,15,0,0,0,0,0,13.3
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,귀금속주얼리학과,주간,일반과정,기존,96,14,5,2,7,0,0,0,0,0,14.6
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,물리치료학과,주간,일반과정,기존,260,6,1,3,2,0,0,0,0,0,2.3
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,방사선학과,주간,일반과정,기존,250,10,3,1,6,0,0,0,0,0,4
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,사회복지재활학부,주간,일반과정,기존,267,24,5,2,17,0,0,0,0,0,9
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,스포츠재활복지학과,주간,일반과정,기존,112,14,1,1,12,0,0,0,0,0,12.5
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,안경광학과,주간,일반과정,폐과,92,9,3,2,4,0,0,0,0,0,9.8
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,외식조리영양학부,주간,일반과정,폐과,84,10,3,0,7,0,0,0,0,0,11.9
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,유아교육과,주간,일반과정,기존,70,4,0,0,4,0,0,0,0,0,5.7
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,작업치료학과,주간,일반과정,기존,134,14,0,3,11,0,0,0,0,0,10.4
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,특수교육과,주간,일반과정,기존,186,21,1,3,17,0,0,0,0,0,11.3
2021,대학교,사립,경남,기존,가야대학교(김해),단과대구분없음,항만물류학과,주간,일반과정,폐과,0,10,0,10,0,0,0,0,0,0,0
2021,대학교,사립,경기,기존,가천대학교,간호대학,간호학과,주간,일반과정,기존,"1,293",19,0,1,18,0,0,0,0,0,1.5
2021,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(경영학트랙),주간,일반과정,폐과,101,2,0,1,0,0,0,0,1,0,2
2021,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(경영학트랙),야간,일반과정,폐과,68,3,0,0,0,0,0,0,3,0,4.4
2021,대학교,사립,경기,기존,가천대학교,경영대학,경영학과(글로벌경영학트랙),주간,일반과정,폐과,37,0,0,0,0,0,0,0,0,0,0
2021,대학교,사립,경기,기존,가천대학교,경영대학,경영학부,주간,일반과정,신설,355,28,6,0,22,0,0,0,0,0,7.9
2021,대학교,사립,경기,기존,가천대학교,경영대학,경영학부(경영학),주간,일반과정,폐과,"1,555",58,24,11,17,0,0,0,6,0,3.7
2021,대학교,사립,경기,기존,가천대학교,경영대학,경영학부(글로벌경영학),주간,일반과정,폐과,771,35,6,10,19,0,0,0,0,0,4.5
2021,대학교,사립,경기,기존,가천대학교,경영대학,금융수학과,주간,일반과정,기존,295,12,1,2,9,0,0,0,0,0,4.1
2021,대학교,사립,경기,기존,가천대학교,공과대학,건축공학과,주간,일반과정,폐과,86,0,0,0,0,0,0,0,0,0,0
2021,대학교,사립,경기,기존,가천대학교,공과대학,건축공학전공,주간,일반과정,기존,144,6,1,4,1,0,0,0,0,0,4.2
2021,대학교,사립,경기,기존,가천대학교,공과대학,건축학과,주간,일반과정,폐과,112,1,1,0,0,0,0,0,0,0,0.9
2021,대학교,사립,경기,기존,가천대학교,공과대학,건축학부,주간,일반과정,기존,168,17,1,0,16,0,0,0,0,0,10.1
2021,대학교,사립,경기,기존,가천대학교,공과대학,건축학전공,주간,일반과정,기존,168,7,0,1,6,0,0,0,0,0,4.2
2021,대학교,사립,경기,기존,가천대학교,공과대학,기계공학과,주간,일반과정,기존,643,32,2,5,24,0,0,0,1,0,5
2021,대학교,사립,경기,기존,가천대학교,공과대학,도시계획・조경학부,주간,일반과정,기존,110,8,0,2,6,0,0,0,0,0,7.3
2021,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학과,주간,일반과정,폐과,80,0,0,0,0,0,0,0,0,0,0
2021,대학교,사립,경기,기존,가천대학교,공과대학,도시계획학전공,주간,일반과정,기존,164,8,0,2,6,0,0,0,0,0,4.9
2021,대학교,사립,경기,기존,가천대학교,공과대학,산업경영공학과,주간,일반과정,기존,377,21,0,3,16,0,0,0,2,0,5.6
2021,대학교,사립,경기,기존,가천대학교,공과대학,설비·소방공학과,주간,일반과정,기존,591,20,0,9,7,0,0,0,2,2,3.4
2021,대학교,사립,경기,기존,가천대학교,공과대학,신소재공학과,주간,일반과정,기존,165,6,0,0,6,0,0,0,0,0,3.6
2021,대학교,사립,경기,기존,가천대학교,공과대학,실내건축학과,주간,일반과정,폐과,67,1,0,1,0,0,0,0,0,0,1.5
2021,대학교,사립,경기,기존,가천대학교,공과대학,실내건축학전공,주간,일반과정,기존,102,5,0,1,4,0,0,0,0,0,4.9
2021,대학교,사립,경기,기존,가천대학교,공과대학,전기공학과,주간,일반과정,폐과,1,0,0,0,0,0,0,0,0,0,0
2021,대학교,사립,경기,기존,가천대학교,공과대학,조경학과,주간,일반과정,폐과,82,1,0,1,0,0,0,0,0,0,1.2
2021,대학교,사립,경기,기존,가천대학교,공과대학,조경학전공,주간,일반과정,기존,99,3,0,1,2,0,0,0,0,0,3
2021,대학교,사립,경기,기존,가천대학교,공과대학,토목환경공학과,주간,일반과정,기존,325,14,2,3,9,0,0,0,0,0,4.3
2021,대학교,사립,경기,기존,가천대학교,공과대학,토목환경공학과,야간,일반과정,폐과,11,0,0,0,0,0,0,0,0,0,0
2021,대학교,사립,경기,기존,가천대학교,공과대학,화공생명공학과,주간,일반과정,기존,702,32,1,0,30,0,0,0,1,0,4.6
2021,대학교,사립,경기,기존,가천대학교,공과대학,환경에너지공학과,주간,일반과정,폐과,4,1,0,1,0,0,0,0,0,0,25
2021,대학교,사립,경기,기존,가천대학교,바이오나노대학,나노물리학과,주간,일반과정,폐과,109,1,0,0,1,0,0,0,0,0,0.9
2021,대학교,사립,경기,기존,가천대학교,바이오나노대학,나노화학과,주간,일반과정,폐과,140,3,0,2,1,0,0,0,0,0,2.1
2021,대학교,사립,경기,기존,가천대학교,바이오나노대학,물리학과,주간,일반과정,기존,127,8,0,3,5,0,0,0,0,0,6.3
2021,대학교,사립,경기,기존,가천대학교,바이오나노대학,바이오나노학과,주간,일반과정,기존,289,14,2,3,8,0,0,0,1,0,4.8
2021,대학교,사립,경기,기존,가천대학교,바이오나노대학,생명과학과,주간,일반과정,기존,309,19,2,1,16,0,0,0,0,0,6.1
2021,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품생물공학과,주간,일반과정,기존,308,14,0,3,11,0,0,0,0,0,4.5
2021,대학교,사립,경기,기존,가천대학교,바이오나노대학,식품영양학과,주간,일반과정,기존,336,10,1,3,6,0,0,0,0,0,3
2021,대학교,사립,경기,기존,가천대학교,바이오나노대학,화학과,주간,일반과정,기존,124,11,1,0,10,0,0,0,0,0,8.9
2021,대학교,사립,경기,기존,가천대학교,법과대학,경찰・안보학과,주간,일반과정,폐과,337,6,0,4,2,0,0,0,0,0,1.8
2021,대학교,사립,경기,기존,가천대학교,법과대학,경찰행정학과,주간,일반과정,변경,56,5,0,1,4,0,0,0,0,0,8.9
2021,대학교,사립,경기,기존,가천대학교,법과대학,법학과,주간,일반과정,기존,709,32,2,10,18,0,0,0,2,0,4.5
2021,대학교,사립,경기,기존,가천대학교,법과대학,행정학과,주간,일반과정,기존,427,16,0,5,10,0,0,0,1,0,3.7
2021,대학교,사립,경기,기존,가천대학교,보건과학대학,물리치료학과,주간,일반과정,기존,275,6,0,1,5,0,0,0,0,0,2.2
