기준연도,학교명,중도탈락학생(신입생)비율(%),정원내 신입생 충원율(%),기숙사 수용률,1인당장학금,소규모 강좌 비율,평균 강좌 규모 점수,전임교원 1인당 학생수(정원기준),취업률,진학률,가중 평균 재학생 충원율(%)
2020,동국대학교,8.5,99.8,11.4,3304552.4,0.4,22.4,24.6,65.4,7.6,104.2
2020,동국대학교(WISE) _분교,5.9,99.7,22.9,3749701.2,0.4,21.8,22.0,58.1,6.2,95.5
2020,동덕여자대학교,8.9,99.9,10.7,3226655.9,0.3,23.7,30.7,60.6,6.2,101.8
2020,동명대학교,4.9,97.1,13.8,4086611.3,0.5,20.3,27.4,61.8,1.2,95.7
2020,동서대학교,4.2,98.7,19.0,3727860.0,0.5,20.0,27.8,57.8,1.3,97.6
2020,동신대학교,6.3,90.6,21.7,4019620.4,0.4,22.7,26.7,65.2,1.6,90.1
2020,동아대학교,5.0,99.8,12.8,3419812.5,0.3,23.6,26.0,52.7,5.3,102.3
2020,동양대학교,6.0,96.9,55.1,3135534.6,0.3,24.2,30.9,62.3,1.7,91.0
2020,동의대학교,3.9,99.9,20.6,3707711.1,0.6,18.1,27.8,56.6,2.3,93.9
2020,루터대학교,4.6,100.0,25.6,3909613.9,0.5,20.4,23.8,50.7,11.6,101.7
2020,명지대학교,6.4,99.9,30.8,3647036.2,0.5,20.2,24.5,65.0,9.5,99.4
2020,명지대학교 _제2캠퍼스,8.0,99.4,12.1,3229072.9,0.4,23.0,29.9,60.1,2.6,102.6
2020,목원대학교,4.4,100.0,19.8,4009181.3,0.4,21.3,28.5,55.9,6.9,95.1
2020,목포가톨릭대학교,0.8,100.0,39.9,4559175.2,0.4,22.0,28.8,79.2,0.0,98.0
2020,배재대학교,6.1,99.9,20.1,3721225.4,0.6,17.9,29.8,60.0,3.2,96.1
2020,백석대학교,4.3,100.0,13.7,3766805.2,0.5,20.6,29.9,61.4,1.2,96.6
2020,부산가톨릭대학교,3.5,96.2,11.9,4102130.1,0.6,18.0,26.0,71.0,1.2,98.4
2020,부산교육대학교,4.9,100.0,40.1,2056860.1,0.1,28.7,32.8,70.9,0.8,99.1
2020,부산대학교,7.9,99.9,20.5,2860249.2,0.4,22.8,21.8,54.8,10.5,107.2
2020,부산디지털대학교,12.3,78.8,,,0.2,25.2,,,,80.6
2020,부산외국어대학교,6.1,100.1,20.2,3079500.6,0.5,20.2,31.2,50.5,1.2,99.0
2020,부산장신대학교,6.1,98.0,49.9,5355104.2,0.7,17.0,29.0,58.1,21.4,85.0
2020,삼육대학교,5.8,99.9,26.5,3953894.6,0.5,20.6,25.9,66.2,3.4,105.0
2020,상명대학교,7.7,99.9,10.3,3403334.7,0.6,18.0,25.8,60.6,4.9,98.3
2020,상지대학교,6.6,97.5,12.4,3165128.1,0.6,18.8,29.5,61.4,2.7,86.8
2020,서경대학교,8.7,99.8,11.1,3367791.5,0.6,18.6,24.3,67.0,3.1,98.6
2020,서울교육대학교,3.6,100.0,57.5,1797022.1,0.2,25.9,40.8,42.4,2.4,98.9
2020,서울기독대학교,9.4,92.6,0.0,3530379.4,0.7,15.8,33.3,51.9,9.8,87.8
2020,서울대학교,3.6,99.8,25.3,3724523.5,0.6,18.2,13.6,64.7,29.5,114.8
2020,서울시립대학교,9.5,99.5,11.4,1770081.3,0.4,22.5,24.9,67.9,7.6,119.6
2020,서울신학대학교,5.8,100.0,14.0,4644607.5,0.6,17.4,34.6,57.0,10.6,101.0
2020,서울여자대학교,12.4,99.9,12.1,3562074.2,0.3,23.6,32.9,60.6,8.7,102.5
2020,서울장신대학교,8.4,99.1,39.1,4730429.4,0.8,14.7,26.2,55.6,14.4,97.8
2020,서울한영대학교,11.4,100.0,14.3,3985245.2,0.7,16.0,28.6,56.4,5.0,88.5
2020,서원대학교,5.3,100.0,14.1,3736398.0,0.6,18.8,29.8,56.0,2.9,97.0
2020,선문대학교,6.3,100.0,38.8,3972893.0,0.4,21.3,29.2,64.3,2.5,95.2
2020,성결대학교,6.9,100.0,11.0,3460671.2,0.5,20.2,30.5,60.2,3.0,102.2
2020,성공회대학교,8.1,99.8,22.3,3952998.9,0.6,17.4,31.1,59.8,1.8,99.1
2020,성균관대학교,9.4,99.7,21.4,3215651.3,0.5,20.6,16.7,76.0,14.9,107.0
2020,성신여자대학교,8.2,100.0,9.7,3722274.7,0.6,17.2,32.8,54.6,7.2,98.5
2020,세명대학교,6.0,99.8,41.7,3789303.0,0.5,20.0,29.6,62.4,2.0,95.4
2020,세종대학교,12.2,100.0,11.0,3199866.1,0.5,19.1,25.3,61.6,9.6,105.9
2020,세한대학교,9.7,100.1,34.2,3100279.1,0.4,22.0,27.9,67.1,1.0,98.2
2020,수원대학교,9.4,100.0,11.2,3358459.7,0.5,19.1,32.6,58.0,4.0,94.3
2020,숙명여자대학교,6.5,99.6,12.5,3300464.2,0.6,18.8,28.6,63.0,10.7,100.9
2020,순천향대학교,6.8,99.8,38.9,4039826.7,0.4,22.6,12.3,65.2,5.0,98.6
2020,숭실대학교,8.8,99.9,11.5,3213577.5,0.3,24.8,27.2,64.9,6.7,99.5
2020,신라대학교,5.5,88.3,13.5,3418526.7,0.6,18.0,30.4,56.4,2.1,93.6
2020,아주대학교,7.4,99.7,26.6,3133520.6,0.3,23.5,19.0,68.3,12.0,105.7
2020,안양대학교,9.1,99.1,2.8,3427075.5,0.4,22.9,30.9,60.3,3.6,103.5
2020,안양대학교 _제2캠퍼스,8.9,100.0,76.1,3089197.6,0.7,16.7,29.2,55.6,8.6,66.6
2020,연세대학교,5.4,99.8,36.6,3507514.3,0.5,20.1,17.6,70.0,18.0,108.6
2020,연세대학교(미래) _분교,8.0,99.6,56.4,3236938.0,0.4,22.0,18.5,64.9,10.4,103.9
2020,영남대학교,5.6,99.7,15.4,3712427.4,0.4,22.8,26.4,50.0,5.1,99.5
2020,영남신학대학교,7.6,100.0,49.5,4377626.3,0.6,18.6,32.6,40.0,46.5,93.3
2020,예수대학교,6.1,100.0,15.2,3732445.1,0.8,14.8,25.1,78.0,0.0,98.6
2020,예원예술대학교,9.6,98.1,0.0,3243666.4,0.7,16.8,17.0,60.7,2.6,77.7
2020,용인대학교,10.5,99.6,16.8,3205262.7,0.5,20.5,31.6,64.2,1.9,97.9
2020,우석대학교,5.3,99.1,28.4,3327505.7,0.5,20.8,25.5,60.0,1.4,95.7
2020,우송대학교,4.1,100.0,19.8,3829187.2,0.6,18.5,24.6,66.7,1.5,98.9
2020,울산과학기술원,6.3,99.2,100.5,5799818.9,0.6,17.8,15.1,67.8,37.6,126.4
2020,울산대학교,4.8,99.5,19.9,2924351.8,0.3,23.2,12.6,51.9,4.2,99.6
2020,원광대학교,5.6,99.5,23.3,3620171.4,0.4,22.0,23.8,59.3,3.2,93.6
2020,원광디지털대학교,12.2,86.5,,,0.1,27.0,,,,88.7
2020,위덕대학교,22.0,98.7,22.1,3944176.8,0.4,21.3,31.8,64.0,1.3,87.6
2020,유원대학교,8.1,93.6,47.4,4313559.9,0.4,22.9,29.3,64.5,1.8,89.2
2020,을지대학교 _제2캠퍼스,6.1,100.0,12.8,3326970.3,0.5,20.6,27.6,76.3,2.8,100.1
2020,이화여자대학교,5.2,99.8,22.9,3313495.3,0.5,20.2,23.3,62.3,15.9,106.4
2020,인제대학교,4.9,99.0,25.0,3431782.0,0.6,18.6,11.0,60.1,4.2,92.0
2020,인천대학교,8.2,99.9,17.4,3286733.0,0.4,22.4,24.8,61.7,6.4,105.3
2020,인하대학교,6.6,99.9,12.8,3225074.7,0.3,24.2,23.2,66.0,10.0,107.0
2020,장로회신학대학교,4.5,100.0,32.5,4444823.1,0.7,16.0,38.1,0.0,25.5,98.5
2020,전남대학교,6.8,100.0,21.7,2738859.7,0.5,21.0,19.5,56.3,7.1,110.5
2020,전남대학교 _제2캠퍼스,6.5,99.7,40.1,3591135.8,0.6,18.2,20.6,57.3,5.9,80.5
2020,전주교육대학교,2.4,98.6,40.8,1666014.4,0.1,28.4,32.4,57.7,0.0,98.7
2020,전주대학교,4.0,100.0,17.1,3807206.8,0.5,19.8,30.2,59.7,1.7,95.8
2020,제주대학교,5.3,99.8,27.8,2637729.9,0.5,19.5,18.0,55.1,5.1,105.7
2020,조선대학교,5.1,99.6,11.8,3395243.9,0.3,23.0,28.0,53.7,5.1,97.6
2020,중부대학교,5.0,99.5,23.2,3738481.2,0.5,20.2,28.6,62.9,1.6,94.6
2020,중원대학교,6.7,97.2,73.6,3787620.5,0.4,21.6,29.3,64.5,2.7,95.2
2020,진주교육대학교,3.6,100.0,28.1,2374516.7,0.1,28.8,31.9,65.0,0.0,97.5
2020,차의과학대학교,5.2,100.0,24.0,3587380.7,0.4,21.1,8.7,67.2,12.1,102.7
2020,청운대학교,8.9,94.8,16.9,4270707.5,0.4,21.1,29.3,67.8,1.4,97.8
2020,청주교육대학교,3.6,99.7,51.2,1732684.0,0.3,24.7,29.7,63.1,0.7,96.3
2020,청주대학교,4.5,99.8,20.7,3439030.5,0.4,23.0,30.0,62.7,2.9,94.6
2020,총신대학교,4.7,100.0,51.6,4248778.2,0.5,20.4,37.6,64.3,14.6,104.1
