기준년도,중도탈락율,기숙사 수용률,전임교원 1인당 학생수(정원기준),전임교원 1인당 학생수(재학생기준),졸업자 수,진학률,정원내 신입생 충원율(%),기숙사 경쟁률,가중 평균 재학생 충원율(%),총 강좌 수,소규모 강좌 비율,평균 강좌 규모 점수,1인당장학금,취업률,학교명
2010,2.8,29.8,27.9,31.4,1362.0,9.4,99.7,7.9,115.4,1299,0.1,32.8,1445800.0,69.8,국립한국해양대학교 
2010,3.5,6.2,38.3,41.5,2889.0,9.7,99.8,9.4,116.4,2819,0.3,37.4,1098500.0,51.1,국민대학교 
2010,6.8,10.8,63.5,55.0,637.0,2.7,99.0,9.1,89.4,1102,0.3,23.9,879500.0,41.8,극동대학교 
2010,4.6,126.6,22.6,17.0,37.0,8.1,99.0,2.7,83.8,133,0.7,17.4,7213800.0,42.4,금강대학교 
2010,3.8,20.4,34.0,35.0,1089.0,3.8,99.9,4.8,103.9,1627,0.3,33.0,1216300.0,51.5,나사렛대학교 
2010,8.7,24.2,42.7,32.1,442.0,7.5,95.4,5.5,71.2,665,0.3,28.4,1629800.0,55.7,남부대학교 
2010,3.8,12.8,42.9,44.1,2241.0,7.7,99.7,18.1,114.2,2215,0.3,37.4,1118600.0,49.6,단국대학교 
2010,4.8,20.1,44.7,44.8,2435.0,5.9,99.7,5.3,103.9,2464,0.3,37.4,1432800.0,57.9,대구가톨릭대학교 
2010,0.8,20.5,39.2,35.7,615.0,2.0,99.6,2.7,103.9,624,0.1,29.3,947400.0,44.4,대구교육대학교 
2010,4.0,15.6,43.2,44.6,3949.0,4.0,98.6,4.8,103.9,3484,0.3,39.1,1256700.0,58.2,대구대학교 
2010,9.1,24.2,54.3,33.0,212.0,4.7,86.7,1.9,60.8,812,0.8,14.5,2264700.0,22.0,대구예술대학교 
2010,5.7,4.6,36.9,35.7,1287.0,1.6,99.9,4.8,96.6,1334,0.3,43.8,1095300.0,54.7,대구한의대학교 
2010,7.4,31.3,27.4,22.8,154.0,8.4,66.1,1.1,78.3,229,0.6,22.0,1554200.0,29.2,대신대학교 
2010,4.0,310.1,20.8,12.2,13.0,76.9,45.0,0.6,59.4,36,0.0,29.4,4127900.0,0.0,대전가톨릭대학교 
2010,5.6,13.9,39.9,38.6,1866.0,3.4,99.8,7.7,95.9,2244,0.2,33.6,965200.0,50.3,대전대학교 
2010,6.3,15.0,36.6,35.6,1458.0,6.5,97.8,8.5,98.5,1946,0.4,30.3,1297200.0,42.2,대진대학교 
2010,3.1,5.9,33.2,35.5,1242.0,7.4,98.8,6.7,111.4,1037,0.3,35.2,1281400.0,45.8,덕성여자대학교 
2010,2.6,3.7,24.5,27.5,2425.0,9.6,98.9,16.5,126.9,2216,0.2,43.3,1507700.0,45.9,동국대학교 
2010,4.5,18.2,25.6,26.6,2009.0,3.9,100.0,6.3,104.7,1633,0.2,39.5,1354300.0,54.3,동국대학교(WISE) _분교
2010,7.1,11.2,35.1,23.8,510.0,2.7,100.0,5.2,67.6,1544,0.2,35.6,1008100.0,56.6,동명대학교 
2010,6.3,9.7,35.1,36.1,2077.0,3.7,100.0,6.0,102.5,2297,0.3,37.3,1133600.0,57.0,동서대학교 
2010,7.6,20.8,34.2,31.3,1317.0,3.0,99.9,4.0,89.2,1471,0.2,34.7,1701800.0,62.5,동신대학교 
2010,2.8,5.9,35.8,37.8,4299.0,7.6,99.9,5.6,108.7,3450,0.2,41.0,1256400.0,49.8,동아대학교 
2010,8.6,62.1,43.0,33.3,680.0,2.4,99.8,3.5,79.5,602,0.2,38.6,1467700.0,54.2,동양대학교 
2010,5.6,4.6,37.8,38.7,3198.0,4.2,100.0,6.3,102.8,4427,0.4,31.0,921500.0,55.2,동의대학교 
2010,6.9,19.1,52.6,31.9,33.0,9.1,97.0,3.2,64.1,179,0.4,26.3,692200.0,33.3,루터대학교 
2010,3.6,27.2,27.5,28.7,1369.0,13.4,99.7,12.6,104.1,1432,0.3,34.8,1188200.0,52.5,명지대학교 
2010,2.4,12.9,47.7,52.6,1284.0,4.3,99.6,20.6,123.4,967,0.1,49.8,1120400.0,52.2,명지대학교 _제2캠퍼스
2010,6.1,14.5,49.2,44.7,1837.0,3.3,99.3,5.4,93.0,2988,0.5,27.3,986000.0,35.8,목원대학교 
2010,1.4,51.6,37.3,38.6,148.0,0.7,100.0,7.4,103.4,107,0.4,45.3,1389300.0,69.0,목포가톨릭대학교 
2010,6.1,19.1,36.3,35.3,1793.0,5.2,99.4,5.0,97.1,2251,0.3,30.2,1133500.0,41.2,배재대학교 
2010,5.5,6.9,43.9,43.7,2517.0,3.1,100.8,6.7,101.5,3497,0.4,31.3,1123000.0,43.7,백석대학교 
2010,4.2,10.0,40.1,41.2,932.0,4.0,100.2,7.1,103.1,692,0.2,39.5,1118900.0,56.6,부산가톨릭대학교 
2010,3.4,14.8,26.1,28.3,4344.0,14.1,100.2,5.9,117.6,4499,0.3,33.3,1138200.0,51.5,부산대학교 
2010,6.0,11.6,39.9,40.9,1554.0,2.1,99.7,4.8,105.4,1592,0.2,34.3,1057000.0,40.8,부산외국어대학교 
2010,6.1,48.5,34.9,29.4,77.0,16.9,89.0,1.9,99.6,83,0.3,33.3,1200100.0,45.9,부산장신대학교 
2010,5.3,25.5,35.2,34.3,875.0,7.3,99.2,9.2,101.3,1816,0.3,30.8,1469100.0,50.1,삼육대학교 
2010,4.8,10.4,35.8,34.5,1567.0,5.4,99.8,5.2,98.4,1480,0.2,42.5,1153600.0,49.6,상지대학교 
2010,2.3,12.5,34.0,33.6,1638.0,19.7,100.0,24.5,122.9,1194,0.3,42.9,1742300.0,63.7,서강대학교 
2010,0.9,20.7,38.0,22.0,551.0,0.0,99.8,5.7,105.7,673,0.1,28.2,872500.0,51.6,서울교육대학교 
2010,13.0,11.3,38.7,38.2,124.0,15.3,100.0,4.5,99.0,222,0.5,26.3,1378100.0,38.4,서울기독대학교 
2010,1.3,12.0,14.3,15.9,3683.0,28.7,99.9,6.0,125.8,6591,0.7,23.0,2179900.0,54.2,서울대학교 
2010,2.4,6.4,28.8,31.4,1595.0,10.7,99.5,11.2,119.1,1682,0.3,32.3,1375200.0,61.1,서울시립대학교 
2010,4.2,12.7,43.8,44.9,533.0,10.7,99.3,3.2,107.5,507,0.3,41.4,943700.0,41.4,서울신학대학교 
2010,3.3,11.0,34.5,37.0,1546.0,9.1,99.4,11.7,111.9,1474,0.3,34.8,1632900.0,49.2,서울여자대학교 
2010,3.4,37.8,27.1,28.1,115.0,6.1,100.0,4.0,108.0,180,0.5,24.5,1017300.0,17.6,서울장신대학교 
2010,6.4,5.1,44.1,39.2,1382.0,2.3,100.0,4.5,92.3,1494,0.4,34.9,863800.0,34.1,서원대학교 
2010,7.4,27.5,36.3,34.1,1531.0,5.3,100.0,6.3,95.3,1953,0.3,33.4,1112800.0,49.7,선문대학교 
2010,6.2,1.7,37.6,37.4,1152.0,5.7,100.1,19.0,104.2,1201,0.3,31.4,1108200.0,45.8,성결대학교 
2010,4.7,0.0,37.6,36.5,444.0,5.0,99.1,9.7,106.3,514,0.4,29.9,1109400.0,45.4,성공회대학교 
2010,2.2,20.2,20.6,24.0,4101.0,14.9,99.9,21.9,136.6,2404,0.2,49.5,2157000.0,65.2,성균관대학교 
2010,3.1,2.3,34.4,37.4,2153.0,10.7,99.8,13.6,113.7,2185,0.3,33.8,1337300.0,43.1,성신여자대학교 
2010,5.4,48.9,40.4,37.9,1732.0,3.3,99.5,5.3,93.6,1567,0.1,39.6,1101000.0,51.6,세명대학교 
2010,3.3,1.5,36.0,38.7,2305.0,10.9,99.4,8.6,115.9,1800,0.2,38.5,1074700.0,44.1,세종대학교 
2010,8.6,41.5,57.2,44.2,798.0,1.3,92.6,2.7,79.8,1702,0.6,21.7,1648700.0,47.4,세한대학교 
2010,2.5,185.7,40.9,21.5,33.0,87.9,43.3,0.6,44.7,40,0.2,26.5,3419900.0,0.0,수원가톨릭대학교 
2010,5.7,7.8,47.5,47.5,2337.0,7.0,99.8,9.9,105.9,2018,0.2,41.0,1086100.0,43.9,수원대학교 
2010,3.0,7.4,30.7,31.8,2019.0,12.4,99.6,13.6,116.1,1987,0.3,35.7,1697700.0,57.9,숙명여자대학교 
2010,5.4,18.3,15.9,16.6,2227.0,6.2,99.3,11.9,107.4,2240,0.2,43.2,1188600.0,50.7,순천향대학교 
2010,2.3,10.8,33.0,38.5,2336.0,10.3,99.3,8.9,120.7,2006,0.1,46.2,1328100.0,61.5,숭실대학교 
2010,10.7,10.4,56.0,40.9,873.0,1.5,103.7,4.7,74.7,797,0.3,37.1,1128600.0,50.1,신경주대학교 
2010,6.0,9.8,36.0,36.1,1876.0,3.4,99.8,5.6,100.8,2232,0.3,32.5,1118800.0,49.0,신라대학교 
2010,7.6,28.5,55.1,37.8,227.0,24.7,84.9,1.6,92.8,189,0.5,25.2,957800.0,16.3,아신대학교 
2010,2.7,22.5,22.6,26.1,1803.0,19.4,100.0,14.0,121.3,1564,0.2,40.0,1403800.0,64.3,아주대학교 
2010,8.2,23.6,35.0,28.6,89.0,4.5,97.9,6.7,81.8,132,0.3,26.1,781500.0,58.0,안양대학교 _제2캠퍼스
2010,1.7,12.5,20.0,23.7,4001.0,22.2,99.9,14.4,132.9,2480,0.2,45.7,2528600.0,64.0,연세대학교 
2010,2.7,55.6,21.4,24.3,1760.0,11.4,99.2,7.7,116.8,1234,0.2,45.7,1471900.0,57.5,연세대학교(미래) _분교
2010,2.9,14.3,31.1,34.8,5211.0,6.5,99.2,4.7,116.8,3992,0.3,40.8,1326500.0,53.2,영남대학교 
