기준연도,학교명,대계열,재학생,실모집인원,재학생충원율
2014,평택대학교,예체능계열,849,920,92.3
2014,포항공과대학교,자연과학계열,433,280,154.6
2014,포항공과대학교,공학계열,961,980,98.1
2014,한경국립대학교,인문사회계열,543,549,98.9
2014,한경국립대학교,예체능계열,183,231,79.2
2014,한경국립대학교,공학계열,1259,1839,68.5
2014,한경국립대학교,자연과학계열,948,1140,83.2
2014,한경대학교(산업대),예체능계열,169,87,194.3
2014,한경대학교(산업대),공학계열,1574,631,249.4
2014,한경대학교(산업대),자연과학계열,806,427,188.8
2014,한경대학교(산업대),인문사회계열,567,220,257.7
2014,한국공학대학교,인문사회계열,284,396,71.7
2014,한국공학대학교,예체능계열,229,290,79
2014,한국공학대학교,공학계열,2795,3454,80.9
2014,한국과학기술원,공학계열,2742,2672,102.6
2014,한국과학기술원,인문사회계열,11,12,91.7
2014,한국과학기술원,자연과학계열,1227,1196,102.6
2014,한국교원대학교,예체능계열,236,240,98.3
2014,한국교원대학교,공학계열,186,160,116.3
2014,한국교원대학교,인문사회계열,1381,1214,113.8
2014,한국교원대학교,자연과학계열,627,580,108.1
2014,한국교통대학교(산업대),자연과학계열,25,0,0
2014,한국교통대학교(산업대),예체능계열,21,0,0
2014,한국교통대학교(산업대),인문사회계열,152,0,0
2014,한국교통대학교(산업대),공학계열,1014,0,0
2014,한국국제대학교,인문사회계열,1625,1767,92
2014,한국국제대학교,예체능계열,619,685,90.4
2014,한국국제대학교,공학계열,725,760,95.4
2014,한국국제대학교,자연과학계열,1098,1148,95.6
2014,한국기술교육대학교,공학계열,3860,3075,125.5
2014,한국기술교육대학교,인문사회계열,719,546,131.7
2014,한국방송통신대학교,자연과학계열,33422,50300,66.4
2014,한국방송통신대학교,공학계열,304,1000,30.4
2014,한국방송통신대학교,인문사회계열,109357,187500,58.3
2014,한국산업기술대학교(산업대),인문사회계열,316,110,287.3
2014,한국산업기술대학교(산업대),예체능계열,172,80,215
2014,한국산업기술대학교(산업대),공학계열,3439,1190,289
2014,한국성서대학교,자연과학계열,186,180,103.3
2014,한국성서대학교,공학계열,151,140,107.9
2014,한국성서대학교,인문사회계열,866,640,135.3
2014,한국예술종합학교,예체능계열,2703,2152,125.6
2014,한국예술종합학교,공학계열,121,80,151.3
2014,한국외국어대학교,인문사회계열,14437,11498,125.6
2014,한국외국어대학교,자연과학계열,1159,1077,107.6
2014,한국외국어대학교,공학계열,1199,996,120.4
2014,한국전통문화대학교(일반),공학계열,162,160,101.3
2014,한국전통문화대학교(일반),예체능계열,172,160,107.5
2014,한국전통문화대학교(일반),자연과학계열,78,80,97.5
2014,한국전통문화대학교(일반),인문사회계열,159,160,99.4
2014,한국체육대학교,예체능계열,2490,2360,105.5
2014,한국침례신학대학교,예체능계열,253,260,97.3
2014,한국침례신학대학교,인문사회계열,1380,1340,103
2014,한국항공대학교,자연과학계열,825,600,137.5
2014,한국항공대학교,공학계열,2954,2400,123.1
2014,한국항공대학교,인문사회계열,711,560,127
2014,한남대학교,공학계열,2879,2610,110.3
2014,한남대학교,인문사회계열,7568,6767,111.8
2014,한남대학교,예체능계열,1242,1068,116.3
2014,한남대학교,자연과학계열,1407,1550,90.8
2014,한동대학교,공학계열,989,972,101.7
2014,한동대학교,자연과학계열,247,244,101.2
2014,한동대학교,인문사회계열,2736,1824,150
2014,한라대학교,공학계열,2166,2040,106.2
2014,한라대학교,예체능계열,235,280,83.9
2014,한라대학교,인문사회계열,1754,1660,105.7
2014,한려대학교,자연과학계열,547,1020,53.6
2014,한려대학교,인문사회계열,75,1114,6.7
2014,한림대학교,예체능계열,318,274,116.1
2014,한림대학교,자연과학계열,2281,2186,104.3
2014,한림대학교,인문사회계열,5003,3925,127.5
2014,한림대학교,공학계열,973,823,118.2
2014,한림대학교,의학계열,294,304,96.7
2014,한밭대학교(산업대),예체능계열,204,115,177.4
