기준연도,학교명,대계열,1인당장학금
2021,가야대학교(김해),예체능계열,2136288.0871428573
2021,가야대학교(김해),인문사회계열,1778309.589817881
2021,가야대학교(김해),자연과학계열,1876386.489324534
2021,가천대학교,공학계열,1691862.7834561905
2021,가천대학교,예체능계열,1843676.8067750677
2021,가천대학교,의학계열,4277145.209596928
2021,가천대학교,인문사회계열,1483538.159830738
2021,가천대학교,자연과학계열,1842482.5504144686
2021,가톨릭관동대학교,공학계열,1458481.4866799205
2021,가톨릭관동대학교,예체능계열,1872445.2087456274
2021,가톨릭관동대학교,의학계열,1039530.2474012474
2021,가톨릭관동대학교,인문사회계열,1619373.155460352
2021,가톨릭관동대학교,자연과학계열,1580410.9575332867
2021,가톨릭꽃동네대학교,인문사회계열,2751705.374761905
2021,가톨릭꽃동네대학교,자연과학계열,2181818.237292161
2021,가톨릭대학교,공학계열,1776903.1260853836
2021,가톨릭대학교,예체능계열,1708108.7686217006
2021,가톨릭대학교,인문사회계열,1602313.2386450006
2021,가톨릭대학교,자연과학계열,1614110.6721477872
2021,가톨릭대학교 _제2캠퍼스,의학계열,1201615.8808275862
2021,가톨릭대학교 _제2캠퍼스,자연과학계열,1417540.8424187726
2021,가톨릭대학교 _제3캠퍼스,인문사회계열,3091438.7695067264
2021,감리교신학대학교,인문사회계열,2224206.6143054594
2021,강남대학교,공학계열,1768828.7031778928
2021,강남대학교,예체능계열,1918818.869820972
2021,강남대학교,인문사회계열,1727021.018334325
2021,강남대학교,자연과학계열,1551500.0
2021,강서대학교,공학계열,535714.3
2021,강서대학교,예체능계열,2537386.207692308
2021,강서대학교,인문사회계열,1527892.5279822615
2021,강서대학교,자연과학계열,1973635.536054422
2021,강원대학교,공학계열,1377922.0999198204
2021,강원대학교,예체능계열,1546099.1003314
2021,강원대학교,의학계열,1205172.0934328358
2021,강원대학교,인문사회계열,1264862.1730865268
2021,강원대학교,자연과학계열,1369610.7577380291
2021,강원대학교 _제2캠퍼스,공학계열,1433775.8288325472
2021,강원대학교 _제2캠퍼스,예체능계열,1578880.1482498285
2021,강원대학교 _제2캠퍼스,인문사회계열,1472846.4820291419
2021,강원대학교 _제2캠퍼스,자연과학계열,2205560.063733115
2021,건국대학교,공학계열,1698284.4896249762
2021,건국대학교,예체능계열,1751621.928768411
2021,건국대학교,의학계열,1742191.65
2021,건국대학교,인문사회계열,1493890.4381433425
2021,건국대학교,자연과학계열,1701313.7372431913
2021,건국대학교(글로컬) _분교,공학계열,1827950.6440836298
2021,건국대학교(글로컬) _분교,예체능계열,2016195.6115585612
2021,건국대학교(글로컬) _분교,인문사회계열,1908536.1142563259
2021,건국대학교(글로컬) _분교,자연과학계열,1882264.1787817937
2021,건양대학교,공학계열,1986737.5030901288
2021,건양대학교,예체능계열,1989158.8695290862
2021,건양대학교,인문사회계열,1861899.1438968335
2021,건양대학교,자연과학계열,2027496.043812709
2021,건양대학교 _제2캠퍼스,공학계열,1954800.316735537
2021,건양대학교 _제2캠퍼스,의학계열,1266542.1170526315
2021,건양대학교 _제2캠퍼스,인문사회계열,1481638.003508772
2021,건양대학교 _제2캠퍼스,자연과학계열,1708091.111713244
2021,경기대학교,공학계열,1773050.5194971394
2021,경기대학교,예체능계열,2042864.8918513225
2021,경기대학교,인문사회계열,1728504.770460592
2021,경기대학교,자연과학계열,1820219.2545136458
2021,경기대학교 _제2캠퍼스,예체능계열,1995174.2463999998
2021,경기대학교 _제2캠퍼스,인문사회계열,1693676.3724040831
2021,경기대학교 _제2캠퍼스,자연과학계열,1507594.8095823096
2021,경남과학기술대학교,공학계열,1313238.358498954
2021,경남과학기술대학교,예체능계열,1374430.7491582492
2021,경남과학기술대학교,인문사회계열,1226660.2635675222
2021,경남과학기술대학교,자연과학계열,1351676.393066561
2021,경남대학교,공학계열,1580538.8355690031
2021,경남대학교,예체능계열,2157015.2686465434
2021,경남대학교,인문사회계열,1567152.4819457438
2021,경남대학교,자연과학계열,1832632.8009011908
2021,경동대학교,공학계열,2459187.5025000004
2021,경동대학교,인문사회계열,2512298.077106518
2021,경동대학교,자연과학계열,1974711.097916667
2021,경동대학교 _제3캠퍼스,인문사회계열,1442083.0085676038
2021,경동대학교 _제3캠퍼스,자연과학계열,1551151.6740463406
2021,경동대학교 _제4캠퍼스,공학계열,1557430.7552380953
2021,경동대학교 _제4캠퍼스,예체능계열,1873295.9790697673
2021,경동대학교 _제4캠퍼스,인문사회계열,1423527.7957882967
