기준연도,학교명,대계열,등록금
2014,고려대학교(세종) _분교,자연과학계열,9793555.555555556
2014,고신대학교,예체능계열,7123962.5
2014,고신대학교,의학계열,9410000.0
2014,고신대학교,인문사회계열,6164550.0
2014,고신대학교,자연과학계열,7176190.909090909
2014,공주교육대학교,인문사회계열,3603000.0
2014,광신대학교,예체능계열,7601000.0
2014,광신대학교,인문사회계열,6079500.0
2014,광운대학교,공학계열,9232400.0
2014,광운대학교,예체능계열,8468000.0
2014,광운대학교,인문사회계열,7387272.7272727275
2014,광운대학교,자연과학계열,8229500.0
2014,광주가톨릭대학교,인문사회계열,0.0
2014,광주과학기술원,공학계열,2060000.0
2014,광주과학기술원,자연과학계열,2060000.0
2014,광주교육대학교,인문사회계열,3655276.923076923
2014,광주대학교,공학계열,7481400.0
2014,광주대학교,예체능계열,7468363.636363637
2014,광주대학교,인문사회계열,6399333.333333333
2014,광주대학교,자연과학계열,7396666.666666667
2014,광주여자대학교,예체능계열,7210333.333333333
2014,광주여자대학교,인문사회계열,6153200.0
2014,광주여자대학교,자연과학계열,7054250.0
2014,국립강릉원주대학교,공학계열,4702000.0
2014,국립강릉원주대학교,예체능계열,5274500.0
2014,국립강릉원주대학교,의학계열,7968000.0
2014,국립강릉원주대학교,인문사회계열,3646235.294117647
2014,국립강릉원주대학교,자연과학계열,4569875.0
2014,국립강릉원주대학교 _제2캠퍼스,공학계열,4784000.0
2014,국립강릉원주대학교 _제2캠퍼스,예체능계열,5444000.0
2014,국립강릉원주대학교 _제2캠퍼스,인문사회계열,3614500.0
2014,국립강릉원주대학교 _제2캠퍼스,자연과학계열,4899000.0
2014,국립경국대학교,공학계열,4351142.857142857
2014,국립경국대학교,예체능계열,4338333.333333333
2014,국립경국대학교,인문사회계열,3435222.222222222
2014,국립경국대학교,자연과학계열,3957153.846153846
2014,국립공주대학교,공학계열,4281722.222222222
2014,국립공주대학교,예체능계열,4284933.333333333
2014,국립공주대학교,인문사회계열,3385885.714285714
2014,국립공주대학교,자연과학계열,3999294.117647059
2014,국립군산대학교,공학계열,4411500.0
2014,국립군산대학교,예체능계열,4365200.0
2014,국립군산대학교,인문사회계열,3573294.117647059
2014,국립군산대학교,자연과학계열,4104400.0
2014,국립금오공과대학교,공학계열,3867710.3448275863
2014,국립금오공과대학교,인문사회계열,3575700.0
2014,국립금오공과대학교,자연과학계열,3713000.0
2014,국립목포대학교,공학계열,4414000.0
2014,국립목포대학교,예체능계열,4320666.666666667
2014,국립목포대학교,인문사회계열,3632250.0
2014,국립목포대학교,자연과학계열,4294571.428571428
2014,국립목포해양대학교,공학계열,3802000.0
2014,국립부경대학교,공학계열,4517878.787878788
2014,국립부경대학교,예체능계열,4428000.0
2014,국립부경대학교,인문사회계열,3531222.222222222
2014,국립부경대학교,자연과학계열,4318222.222222222
2014,국립순천대학교,공학계열,4480615.384615385
2014,국립순천대학교,예체능계열,4585600.0
2014,국립순천대학교,인문사회계열,3538727.272727273
2014,국립순천대학교,자연과학계열,4305536.363636363
2014,국립창원대학교,공학계열,4500000.0
2014,국립창원대학교,예체능계열,4485600.0
2014,국립창원대학교,인문사회계열,3565185.185185185
2014,국립창원대학교,자연과학계열,4243090.909090909
2014,국립한국교통대학교,공학계열,4327977.777777778
2014,국립한국교통대학교,예체능계열,4449000.0
2014,국립한국교통대학교,인문사회계열,3729722.222222222
2014,국립한국교통대학교,자연과학계열,4241000.0
2014,국립한국해양대학교,공학계열,4156700.0
