기준연도,학교명,대계열,재학생,실모집인원,재학생충원율
2021,인천대학교,예체능계열,894,928,96.3
2021,인하대학교,인문사회계열,6677,5404,123.6
2021,인하대학교,자연과학계열,1519,1630,93.2
2021,인하대학교,공학계열,6962,6064,114.8
2021,인하대학교,예체능계열,645,672,96
2021,인하대학교,의학계열,197,128,153.9
2021,장로회신학대학교,인문사회계열,415,400,103.8
2021,장로회신학대학교,예체능계열,184,200,92
2021,전남대학교,인문사회계열,5183,4186,123.8
2021,전남대학교,자연과학계열,4716,4502,104.8
2021,전남대학교,공학계열,3404,3220,105.7
2021,전남대학교,예체능계열,841,848,99.2
2021,전남대학교,의학계열,696,737,94.4
2021,전남대학교 _제2캠퍼스,인문사회계열,503,679,74.1
2021,전남대학교 _제2캠퍼스,자연과학계열,826,1006,82.1
2021,전남대학교 _제2캠퍼스,공학계열,1149,1369,83.9
2021,전북대학교,인문사회계열,5170,4520,114.4
2021,전북대학교,자연과학계열,4701,4706,99.9
2021,전북대학교,공학계열,5061,4962,102
2021,전북대학교,예체능계열,700,650,107.7
2021,전북대학교,의학계열,903,832,108.5
2021,전주교육대학교,인문사회계열,476,1140,41.8
2021,전주교육대학교,자연과학계열,387,0,0
2021,전주교육대학교,예체능계열,299,0,0
2021,전주대학교,인문사회계열,5007,4481,111.7
2021,전주대학교,자연과학계열,2074,2024,102.5
2021,전주대학교,공학계열,2280,2426,94
2021,전주대학교,예체능계열,1225,1207,101.5
2021,정석대학,인문사회계열,50,55,90.9
2021,정석대학,공학계열,10,145,6.9
2021,제주국제대학교,인문사회계열,196,805,24.3
2021,제주국제대학교,자연과학계열,9,80,11.3
2021,제주국제대학교,공학계열,282,630,44.8
2021,제주국제대학교,예체능계열,207,564,36.7
2021,제주대학교,인문사회계열,3929,3617,108.6
2021,제주대학교,자연과학계열,2524,2554,98.8
2021,제주대학교,공학계열,1554,1559,99.7
2021,제주대학교,예체능계열,564,590,95.6
2021,제주대학교,의학계열,207,200,103.5
