기준연도,학교명,재학생,1인당장학금
2010,영산선학대학교,38,1900000.0
2010,예수대학교,547,1271800.0
2010,예원예술대학교,1084,2249000.0
2010,예원예술대학교 _제2캠퍼스,0,0.0
2010,용인대학교,5986,1212500.0
2010,우석대학교,7635,1420000.0
2010,우송대학교,4088,1629400.0
2010,우송대학교(산업대),3599,1391000.0
2010,울산과학기술원,1114,6508400.0
2010,울산대학교,13312,1409500.0
2010,원광대학교,16770,1136800.0
2010,원광디지털대학교,3728,640900.0
2010,위덕대학교,2651,2199800.0
2010,유원대학교,2651,1555200.0
2010,을지대학교,922,1370300.0
2010,을지대학교 _제2캠퍼스,4571,1357800.0
2010,이화여자대학교,14716,1550900.0
2010,인제대학교,9233,1352300.0
2010,인제대학교 _제2캠퍼스,873,1135800.0
2010,인천가톨릭대학교,539,1111500.0
2010,인천가톨릭대학교 _제2캠퍼스,0,0.0
2010,인천대학교,8460,1212400.0
2010,인하대학교,17829,1332700.0
2010,장로회신학대학교,660,1481200.0
2010,전남대학교,17395,1208500.0
2010,전남대학교 _제2캠퍼스,3441,1251400.0
2010,전북대학교,17444,1149200.0
2010,전북대학교 _제2캠퍼스,448,824800.0
2010,전주교육대학교,1615,1046100.0
2010,전주대학교,10597,1099900.0
2010,정석대학,139,0.0
2010,제주교육대학교,292,1166700.0
2010,제주대학교,9346,1275400.0
2010,조선대학교,20059,1287200.0
2010,중부대학교,7562,1053200.0
2010,중앙대학교,12841,1670000.0
2010,중앙대학교(안성) _분교,8670,1571300.0
2010,중앙승가대학교,280,959300.0
2010,중원대학교,598,4683400.0
2010,진주교육대학교,1851,840100.0
2010,진주산업대학교(산업대),5686,844300.0
2010,차의과학대학교,482,1754100.0
2010,청운대학교,5586,1153500.0
2010,청주교육대학교,1679,1081600.0
2010,청주대학교,13036,1180700.0
2010,초당대학교(산업대),3926,1945300.0
2010,총신대학교,1650,1912800.0
2010,추계예술대학교,1235,1139400.0
2010,춘천교육대학교,1902,957100.0
2010,충남대학교,17555,1091400.0
2010,충북대학교,13954,993700.0
2010,칼빈대학교,424,973900.0
2010,탐라대학교,481,2330400.0
2010,평택대학교,3716,1096200.0
2010,포항공과대학교,1321,5302600.0
2010,한경대학교(산업대),6188,724800.0
2010,한국과학기술원,3903,14575400.0
2010,한국교원대학교,2366,1256900.0
2010,한국교통대학교(산업대),6342,729300.0
2010,한국국제대학교,3085,1150500.0
2010,한국기술교육대학교,3725,1307200.0
2010,한국방송통신대학교,153793,66800.0
2010,한국산업기술대학교(산업대),6123,927000.0
2010,한국성서대학교,1035,1293900.0
2010,한국외국어대학교,8189,1322100.0
2010,한국외국어대학교(용인) _분교,7759,1116100.0
2010,한국전통문화대학교(각종),524,1099700.0
2010,한국체육대학교,2366,1639400.0
2010,한국침례신학대학교,1538,1121900.0
2010,한국항공대학교,4252,1982400.0
2010,한남대학교,11590,938000.0
2010,한동대학교,3596,1831900.0
2010,한라대학교,3160,941900.0
2010,한려대학교(산업대),961,1389000.0
2010,한림대학교,8083,1606800.0
2010,한민학교,796,1691000.0
2010,한밭대학교(산업대),8514,659100.0
2010,한북대학교,891,813200.0
2010,한서대학교,7385,1351500.0
2010,한성대학교,6859,1210400.0
2010,한세대학교,2657,1246800.0
2010,한신대학교,5071,921300.0
2010,한양대학교,15495,1784600.0
2010,한양대학교(ERICA) _분교,8967,1395100.0
2010,한일장신대학교,1222,2297000.0
2010,한중대학교,1863,4204100.0
2010,협성대학교,4234,1012500.0
2010,호남대학교,6845,1626700.0
2010,호남신학대학교,620,1210900.0
2010,호서대학교,12179,1069200.0
2010,호원대학교,5055,1660100.0
2010,홍익대학교,11193,2056800.0
2010,홍익대학교(세종) _분교,6223,2088900.0
2010,화성의과학대학교,472,157200.0
2011,가야대학교,36,237900.0
2011,가야대학교 _제2캠퍼스,2473,1215100.0
2011,가천대학교,13178,1527200.0
2011,가천의과학대학교,3615,1351400.0
2011,가톨릭관동대학교,8667,1279700.0
2011,가톨릭꽃동네대학교,479,3416900.0
2011,가톨릭대학교,7062,1415400.0
2011,가톨릭대학교 _제2캠퍼스,573,2328200.0
2011,가톨릭대학교 _제3캠퍼스,207,5034800.0
2011,감리교신학대학교,890,1397200.0
2011,강남대학교,7333,1168800.0
2011,강서대학교,1499,1314000.0
2011,강원대학교,15208,1085200.0
2011,강원대학교 _제2캠퍼스,5924,2020500.0
2011,건국대학교,15753,1590000.0
2011,건국대학교(글로컬) _분교,7736,1244900.0
2011,건동대학교,540,495100.0
2011,건양대학교,5997,1439600.0
2011,건양대학교 _제2캠퍼스,1877,1379100.0
2011,경기대학교,11619,1234400.0
2011,경기대학교 _제2캠퍼스,2255,1198500.0
2011,경남과학기술대학교,1323,841800.0
2011,경남대학교,12956,1371100.0
2011,경동대학교,2849,1777700.0
2011,경북대학교,19500,1326900.0
2011,경북대학교 _제2캠퍼스,1941,1121600.0
2011,경북외국어대학교,362,323400.0
2011,경상국립대학교,14211,1211200.0
2011,경성대학교,12901,1540300.0
2011,경운대학교(산업대),5426,1936900.0
2011,경인교육대학교,1907,935100.0
2011,경인교육대학교 _제2캠퍼스,1210,995900.0
2011,경일대학교,5032,1159300.0
2011,경희대학교,12969,1589900.0
2011,경희대학교 _분교,11993,1796400.0
2011,계명대학교,22629,1555600.0
2011,고려대학교,19515,2058400.0
2011,고려대학교(세종) _분교,6652,1591200.0
2011,고신대학교,3790,1658900.0
2011,공주교육대학교,1921,951400.0
2011,광신대학교,511,3007900.0
2011,광운대학교,8522,1083700.0
2011,광주가톨릭대학교,94,0.0
2011,광주과학기술원,192,7183600.0
2011,광주교육대학교,1753,1468600.0
2011,광주대학교,5987,1802600.0
2011,광주대학교(산업대),103,714000.0
2011,광주여자대학교,4052,1596400.0
2011,국립강릉원주대학교,6472,912600.0
2011,국립강릉원주대학교 _제2캠퍼스,2000,1011300.0
2011,국립경국대학교,6238,1181000.0
2011,국립공주대학교,13752,1129000.0
2011,국립군산대학교,7363,1265500.0
2011,국립금오공과대학교,6524,1211100.0
2011,국립목포대학교,7620,1204500.0
2011,국립목포해양대학교,2429,1476400.0
2011,국립부경대학교,16767,1104900.0
2011,국립순천대학교,7251,1150600.0
2011,국립창원대학교,8369,1076200.0
2011,국립한국교통대학교,3861,941700.0
2011,국립한국해양대학교,6381,1508500.0
2011,국민대학교,14091,1201100.0
2011,극동대학교,4092,1642600.0
2011,금강대학교,345,7377000.0
2011,김천대학교,1713,1095700.0
2011,나사렛대학교,5678,1384400.0
2011,남부대학교,2708,1815900.0
2011,남서울대학교(산업대),10295,1435500.0
2011,단국대학교,10974,1259200.0
2011,단국대학교(천안) _분교,11726,1313900.0
2011,대구가톨릭대학교,13004,1573500.0
2011,대구교육대학교,2070,1266900.0
2011,대구대학교,18686,1268500.0
2011,대구예술대학교,1242,1801200.0
2011,대구외국어대학교,389,952000.0
2011,대구한의대학교,6554,1309800.0
2011,대신대학교,481,1709400.0
2011,대전가톨릭대학교,113,4135200.0
2011,대전대학교,13157,910400.0
2011,대전신학교,121,1245100.0
2011,대전신학대학교,128,2006000.0
2011,대진대학교,7912,1324600.0
2011,덕성여자대학교,5875,1460200.0
2011,동국대학교,13739,1622000.0
2011,동국대학교(WISE) _분교,8299,1660100.0
2011,동덕여자대학교,7274,1219500.0
2011,동명대학교,7220,1370900.0
2011,동명정보대학교,897,724600.0
2011,동서대학교,10619,1374400.0
2011,동신대학교,6324,1636500.0
2011,동아대학교,20350,1338400.0
2011,동양대학교,3666,1264000.0
2011,동의대학교,16548,1048200.0
2011,디지털서울문화예술대학교,3422,596000.0
2011,루터대학교,549,1096600.0
2011,명지대학교,6910,1334800.0
2011,명지대학교 _제2캠퍼스,6657,1293300.0
2011,목원대학교,8884,1412100.0
2011,목포가톨릭대학교,552,1587100.0
2011,배재대학교,8926,1337500.0
2011,백석대학교,12745,1498100.0
2011,부산가톨릭대학교,4061,1293300.0
2011,부산교육대학교,1988,1130300.0
2011,부산대학교,21647,1205100.0
2011,부산디지털대학교,2218,606300.0
2011,부산외국어대학교,8704,1114500.0
2011,부산장신대학교,264,1731400.0
2011,삼육대학교,5289,1545500.0
2011,상명대학교,6321,1808000.0
2011,상명대학교(천안) _분교,6125,1770800.0
2011,상주대학교,2195,546600.0
2011,상지대학교,7985,1291300.0
2011,서강대학교,8067,1982500.0
2011,서경대학교,6023,1098000.0
2011,서남대학교,1294,819700.0
2011,서남대학교 _제2캠퍼스,946,854500.0
2011,서울과학기술대학교(산업대),12207,875400.0
2011,서울교육대학교,1916,1041800.0
2011,서울기독대학교,624,1428200.0
2011,서울대학교,16426,2316400.0
2011,서울디지털대학교,20386,214000.0
2011,서울시립대학교,8475,1294600.0
2011,서울신학대학교,2266,1203600.0
2011,서울여자대학교,7673,1876200.0
2011,서울장신대학교,535,1344500.0
2011,서울한영대학교,696,964700.0
2011,서원대학교,6378,1568200.0
2011,선문대학교,9105,1346600.0
2011,성결대학교,5346,1193900.0
2011,성공회대학교,2282,1148700.0
2011,성균관대학교,18974,2458900.0
2011,성신여자대학교,9992,1517700.0
2011,세명대학교,8104,1253600.0
2011,세종대학교,10757,1180800.0
2011,세한대학교,4033,1675400.0
2011,수원가톨릭대학교,163,6486300.0
2011,수원대학교,11083,1070900.0
2011,숙명여자대학교,10430,1863300.0
2011,순복음총회신학교,181,1896000.0
2011,순천향대학교,11107,1561900.0
2011,숭실대학교,13360,1541500.0
2011,신경주대학교,3964,1370500.0
2011,신라대학교,9593,933200.0
2011,아신대학교,743,1047600.0
2011,아주대학교,9695,1370400.0
2011,안양대학교,4569,1087100.0
2011,안양대학교 _제2캠퍼스,489,861000.0
2011,연세대학교,18384,2698000.0
2011,연세대학교(미래) _분교,7761,1507700.0
2011,영남대학교,23033,1460800.0
2011,영남신학대학교,577,1432000.0
2011,영산대학교,2863,1288700.0
2011,영산대학교 _제2캠퍼스,2537,813400.0
2011,영산대학교(산업대),338,824100.0
2011,영산대학교(산업대) _제2캠퍼스,318,626600.0
2011,영산선학대학교,38,3930300.0
2011,예수대학교,582,1744300.0
2011,예원예술대학교,985,1565700.0
2011,예원예술대학교 _제2캠퍼스,0,0.0
2011,용인대학교,6060,1342400.0
2011,우석대학교,7407,1335800.0
2011,우송대학교,6055,1676400.0
2011,우송대학교(산업대),1927,1627400.0
2011,울산과학기술원,1671,6457300.0
2011,울산대학교,13436,1473900.0
2011,원광대학교,16647,1600200.0
2011,원광디지털대학교,4044,613500.0
2011,위덕대학교,2827,2142600.0
2011,유원대학교,3027,1395000.0
2011,을지대학교,880,1529400.0
2011,을지대학교 _제2캠퍼스,4638,1480700.0
2011,이화여자대학교,14959,1621500.0
2011,인제대학교,9145,1408200.0
2011,인제대학교 _제2캠퍼스,902,1085400.0
2011,인천가톨릭대학교,99,3820900.0
2011,인천가톨릭대학교 _제2캠퍼스,491,722000.0
2011,인천대학교,12029,971900.0
2011,인하대학교,18107,1404700.0
2011,장로회신학대학교,678,1487300.0
2011,전남대학교,17356,1220600.0
2011,전남대학교 _제2캠퍼스,3324,1134500.0
2011,전북대학교,17631,1217300.0
2011,전북대학교 _제2캠퍼스,580,884600.0
2011,전주교육대학교,1676,1020900.0
2011,전주대학교,10973,1248100.0
2011,정석대학,163,0.0
2011,제주교육대학교,151,1141700.0
2011,제주대학교,9613,1351700.0
2011,조선대학교,19995,1401300.0
2011,중부대학교,7868,1595500.0
2011,중앙대학교,12853,1792900.0
2011,중앙대학교 _제2캠퍼스,8452,1566700.0
2011,중앙승가대학교,267,933600.0
2011,중원대학교,871,3833200.0
2011,진주교육대학교,1753,1170100.0
2011,진주산업대학교(산업대),4106,954300.0
2011,차의과학대학교,715,1908300.0
2011,청운대학교,5918,1209700.0
2011,청주교육대학교,1586,968900.0
2011,청주대학교,12895,1366700.0
2011,초당대학교(산업대),3824,1822700.0
2011,총신대학교,1628,1291400.0
2011,추계예술대학교,1226,1676100.0
2011,춘천교육대학교,1737,1015700.0
2011,충남대학교,17472,1250000.0
2011,충북대학교,13886,1235700.0
2011,칼빈대학교,451,930200.0
2011,탐라대학교,476,2363300.0
2011,평택대학교,3760,1702800.0
2011,포항공과대학교,1302,5389300.0
2011,한경대학교(산업대),6120,761700.0
2011,한국과학기술원,3967,10147200.0
2011,한국교원대학교,2368,1242100.0
2011,한국교통대학교(산업대),4544,797700.0
2011,한국국제대학교,3332,1038900.0
2011,한국기술교육대학교,3833,1367800.0
2011,한국방송통신대학교,148323,72300.0
2011,한국산업기술대학교(산업대),6252,1086500.0
2011,한국성서대학교,1057,1354300.0
2011,한국예술종합학교,2373,945800.0
2011,한국외국어대학교,8484,1420800.0
2011,한국외국어대학교(용인) _분교,7929,1244800.0
2011,한국전통문화대학교(각종),516,1092600.0
2011,한국체육대학교,2420,1662900.0
2011,한국침례신학대학교,1508,1365200.0
2011,한국항공대학교,4225,2007300.0
2011,한남대학교,11897,1175200.0
2011,한동대학교,3669,1727600.0
2011,한라대학교,3384,1261700.0
2011,한려대학교,260,745000.0
2011,한려대학교(산업대),684,1078000.0
2011,한림대학교,8472,1586800.0
2011,한민학교,716,1593200.0
2011,한밭대학교(산업대),8483,698200.0
2011,한북대학교,1151,823600.0
2011,한서대학교,7554,1434100.0
2011,한성대학교,6965,1406900.0
2011,한세대학교,2715,1514500.0
2011,한신대학교,5191,1100200.0
2011,한양대학교,15487,1932400.0
2011,한양대학교(ERICA) _분교,9097,1494400.0
2011,한일장신대학교,1201,2568100.0
2011,한중대학교,1977,4001000.0
2011,협성대학교,4443,1532000.0
2011,호남대학교,6691,1554800.0
