기준년도,학교종류,설립구분,상태,지역,학교,대계열,입학정원(A),정원내 모집인원(B),정원내 지원자(C),정원내 입학자(D),충원율(%),경쟁률,충원율_평균,충원율_편차,충원율_표준편차,충원안정성비율
2014,대학교,사립,기존,광주,송원대학교,공학계열,170,170,675,161,94.71,3.97,98.428,-3.718,3.7214,0.0378
2014,대학교,사립,기존,광주,송원대학교,예체능계열,115,115,299,112,97.39,2.6,98.1662,-0.7762,1.9509,0.0199
2014,대학교,사립,기존,광주,송원대학교,인문사회계열,315,315,1324,312,99.05,4.2,97.7925,1.2575,4.5276,0.0463
2014,대학교,사립,기존,광주,송원대학교,자연과학계열,200,200,1968,200,100,9.84,98.9517,1.0483,1.4367,0.0145
2014,대학교,국립,기존,광주,전남대학교,공학계열,839,839,3826,838,99.88,4.56,99.88,0,0,0
2014,대학교,국립,기존,광주,전남대학교,예체능계열,225,225,800,224,99.56,3.56,99.56,0,0,0
2014,대학교,국립,기존,광주,전남대학교,인문사회계열,1214,1214,5738,1212,99.84,4.73,99.92,-0.08,0.1131,0.0011
2014,대학교,국립,기존,광주,전남대학교,자연과학계열,1154,1154,5159,1153,99.91,4.47,99.91,0,0,0
2014,대학교,사립,기존,광주,조선대학교,공학계열,1539,1539,6074,1533,99.61,3.95,98.428,1.182,3.7214,0.0378
2014,대학교,사립,기존,광주,조선대학교,예체능계열,545,545,1767,545,100,3.24,98.1662,1.8338,1.9509,0.0199
2014,대학교,사립,기존,광주,조선대학교,인문사회계열,2071,2071,8339,2064,99.66,4.03,97.7925,1.8675,4.5276,0.0463
2014,대학교,사립,기존,광주,조선대학교,자연과학계열,590,590,2822,587,99.49,4.78,98.9517,0.5383,1.4367,0.0145
2014,대학교,사립,기존,광주,호남대학교,공학계열,360,360,1482,347,96.39,4.12,98.428,-2.038,3.7214,0.0378
2014,대학교,사립,기존,광주,호남대학교,예체능계열,340,340,1463,335,98.53,4.3,98.1662,0.3638,1.9509,0.0199
2014,대학교,사립,기존,광주,호남대학교,인문사회계열,708,708,3278,696,98.31,4.63,97.7925,0.5175,4.5276,0.0463
2014,대학교,사립,기존,광주,호남대학교,자연과학계열,420,420,2301,404,96.19,5.48,98.9517,-2.7617,1.4367,0.0145
2014,대학교,사립,기존,광주,호남신학대학교,예체능계열,50,50,164,50,100,3.28,98.1662,1.8338,1.9509,0.0199
2014,대학교,사립,기존,광주,호남신학대학교,인문사회계열,120,120,157,104,86.67,1.31,97.7925,-11.1225,4.5276,0.0463
2014,대학교,국립,기존,대구,경북대학교,공학계열,1621,1621,12557,1618,99.81,7.75,99.81,0,0,0
2014,대학교,국립,기존,대구,경북대학교,예체능계열,312,312,2436,311,99.68,7.81,99.68,0,0,0
2014,대학교,국립,기존,대구,경북대학교,인문사회계열,1444,1444,13870,1422,98.48,9.61,99.11,-0.63,0.891,0.009
2014,대학교,국립,기존,대구,경북대학교,자연과학계열,1496,1496,12352,1492,99.73,8.26,99.73,0,0,0
2014,대학교,사립,기존,대구,계명대학교,공학계열,874,874,7302,872,99.77,8.35,99.77,0,0,0
2014,대학교,사립,기존,대구,계명대학교,예체능계열,890,890,6349,889,99.89,7.13,99.89,0,0,0
2014,대학교,사립,기존,대구,계명대학교,인문사회계열,2535,2535,15634,2502,98.7,6.17,98.7,0,0,0
2014,대학교,사립,기존,대구,계명대학교,자연과학계열,671,671,5216,662,98.66,7.77,98.66,0,0,0
2014,대학교,특별법법인,기존,대구,대구경북과학기술원,자연과학계열,200,200,1953,168,84,9.76,84,0,0,0
2014,교육대학,국립,기존,대구,대구교육대학교,인문사회계열,383,383,1972,382,99.74,5.15,99.11,0.63,0.891,0.009
2014,대학교,사립,기존,대전,건양대학교 _제2캠퍼스,인문사회계열,55,55,340,55,100,6.18,96.7212,3.2788,8.7787,0.0908
2014,대학교,사립,기존,대전,건양대학교 _제2캠퍼스,자연과학계열,513,513,3849,513,100,7.5,99.5314,0.4686,0.6489,0.0065
2014,대학교,사립,기존,대전,대전대학교,공학계열,524,524,3253,524,100,6.21,99.624,0.376,0.5413,0.0054
2014,대학교,사립,기존,대전,대전대학교,예체능계열,237,237,1648,235,99.16,6.95,99.8017,-0.6417,0.3441,0.0034
2014,대학교,사립,기존,대전,대전대학교,인문사회계열,1205,1205,6724,1201,99.67,5.58,96.7212,2.9488,8.7787,0.0908
2014,대학교,사립,기존,대전,대전대학교,자연과학계열,407,407,2747,407,100,6.75,99.5314,0.4686,0.6489,0.0065
2014,대학교,사립,기존,대전,대전신학대학교,인문사회계열,60,60,86,45,75,1.43,96.7212,-21.7212,8.7787,0.0908
2014,대학교,사립,기존,대전,목원대학교,공학계열,373,373,2190,372,99.73,5.87,99.624,0.106,0.5413,0.0054
2014,대학교,사립,기존,대전,목원대학교,예체능계열,569,569,3239,567,99.65,5.69,99.8017,-0.1517,0.3441,0.0034
2014,대학교,사립,기존,대전,목원대학교,인문사회계열,921,921,4560,921,100,4.95,96.7212,3.2788,8.7787,0.0908
2014,대학교,사립,기존,대전,목원대학교,자연과학계열,215,215,1042,212,98.6,4.85,99.5314,-0.9314,0.6489,0.0065
2014,대학교,사립,기존,대전,배재대학교,공학계열,535,535,2865,528,98.69,5.36,99.624,-0.934,0.5413,0.0054
2014,대학교,사립,기존,대전,배재대학교,예체능계열,249,249,1113,249,100,4.47,99.8017,0.1983,0.3441,0.0034
2014,대학교,사립,기존,대전,배재대학교,인문사회계열,1124,1124,5762,1118,99.47,5.13,96.7212,2.7488,8.7787,0.0908
2014,대학교,사립,기존,대전,배재대학교,자연과학계열,370,370,2030,365,98.65,5.49,99.5314,-0.8814,0.6489,0.0065
2014,대학교,사립,기존,대전,우송대학교,공학계열,540,540,3795,540,100,7.03,99.624,0.376,0.5413,0.0054
2014,대학교,사립,기존,대전,우송대학교,예체능계열,250,250,2201,250,100,8.8,99.8017,0.1983,0.3441,0.0034
2014,대학교,사립,기존,대전,우송대학교,인문사회계열,792,792,6319,790,99.75,7.98,96.7212,3.0288,8.7787,0.0908
2014,대학교,사립,기존,대전,우송대학교,자연과학계열,578,578,6136,578,100,10.62,99.5314,0.4686,0.6489,0.0065
2014,대학교,사립,기존,대전,을지대학교,자연과학계열,147,147,1199,147,100,8.16,99.5314,0.4686,0.6489,0.0065
2014,대학교,국립,기존,대전,충남대학교,공학계열,1106,1106,6176,1103,99.73,5.58,99.755,-0.025,0.0354,0.0004
2014,대학교,국립,기존,대전,충남대학교,예체능계열,238,238,946,237,99.58,3.97,99.79,-0.21,0.297,0.003
2014,대학교,국립,기존,대전,충남대학교,인문사회계열,1263,1263,7588,1259,99.68,6.01,99.515,0.165,0.2333,0.0023
2014,대학교,국립,기존,대전,충남대학교,자연과학계열,1143,1143,6134,1142,99.91,5.37,99.91,0,0,0
2014,대학교,특별법법인,기존,대전,한국과학기술원,공학계열,630,630,2242,453,71.9,3.56,71.9,0,0,0
2014,대학교,특별법법인,기존,대전,한국과학기술원,자연과학계열,340,340,3110,298,87.65,9.15,87.65,0,0,0
2014,대학교,사립,기존,대전,한국침례신학대학교,예체능계열,65,65,118,65,100,1.82,99.8017,0.1983,0.3441,0.0034
2014,대학교,사립,기존,대전,한국침례신학대학교,인문사회계열,335,335,712,335,100,2.13,96.7212,3.2788,8.7787,0.0908
2014,대학교,사립,기존,대전,한남대학교,공학계열,670,670,3416,668,99.7,5.1,99.624,0.076,0.5413,0.0054
