기준년도,학교,정원내 신입생 충원율(%),경쟁률
2011,성신여자대학교 ,99.9,19.5
2011,세명대학교 ,99.7,7.6
2011,세종대학교 ,99.9,14.8
2011,세한대학교 ,100.1,3.5
2011,수원가톨릭대학교 ,51.1,0.6
2011,수원대학교 ,100.8,15.1
2011,숙명여자대학교 ,99.6,17.3
2011,순복음총회신학교 ,43.5,0.5
2011,순천향대학교 ,99.7,12.4
2011,숭실대학교 ,99.1,12.7
2011,신경주대학교 ,108.4,5.3
2011,신라대학교 ,100.0,6.2
2011,아신대학교 ,90.6,1.8
2011,아주대학교 ,99.9,12.5
2011,안양대학교 ,99.9,15.6
2011,안양대학교 _제2캠퍼스,100.0,7.1
2011,연세대학교 ,99.9,19.5
2011,연세대학교(미래) _분교,99.3,9.2
2011,영남대학교 ,99.5,5.7
2011,영남신학대학교 ,99.3,1.3
2011,영산대학교 ,100.2,5.6
2011,영산대학교 _제2캠퍼스,100.3,6.1
2011,예수대학교 ,100.0,5.6
2011,예원예술대학교 ,105.9,5.6
2011,용인대학교 ,98.7,6.5
2011,우석대학교 ,100.0,5.0
2011,우송대학교 ,100.0,8.4
2011,울산과학기술원 ,99.6,4.9
2011,울산대학교 ,99.6,5.5
2011,원광대학교 ,99.8,4.5
2011,원광디지털대학교 ,79.1,1.2
2011,위덕대학교 ,100.0,5.1
2011,유원대학교 ,99.1,5.5
2011,을지대학교 ,99.3,8.5
2011,을지대학교 _제2캠퍼스,99.7,24.3
2011,이화여자대학교 ,99.8,12.8
2011,인제대학교 ,100.0,9.0
2011,인천가톨릭대학교 ,71.4,1.2
2011,인천가톨릭대학교 _제2캠퍼스,100.0,6.8
2011,인천대학교 ,99.2,8.3
2011,인하대학교 ,99.7,15.0
2011,장로회신학대학교 ,100.0,4.8
2011,전남대학교 ,99.6,6.1
2011,전남대학교 _제2캠퍼스,98.8,4.7
2011,전북대학교 ,100.0,6.5
2011,전주교육대학교 ,100.0,5.7
2011,전주대학교 ,100.7,4.1
2011,정석대학 ,95.0,1.0
2011,제주대학교 ,100.0,3.9
2011,조선대학교 ,99.8,4.6
2011,중부대학교 ,99.3,8.0
2011,중앙대학교 ,99.7,35.2
2011,중앙승가대학교 ,66.7,0.8
2011,중원대학교 ,97.2,5.1
2011,진주교육대학교 ,99.7,7.7
2011,차의과학대학교 ,100.0,3.2
2011,청운대학교 ,100.0,10.7
2011,청주교육대학교 ,99.7,5.5
2011,청주대학교 ,100.0,6.3
2011,총신대학교 ,99.7,3.6
2011,추계예술대학교 ,100.0,9.1
2011,춘천교육대학교 ,99.7,3.0
2011,충남대학교 ,99.7,7.1
2011,충북대학교 ,100.0,8.3
2011,칼빈대학교 ,100.0,3.7
2011,평택대학교 ,98.8,16.6
2011,포항공과대학교 ,97.0,6.3
2011,한국과학기술원 ,85.7,3.6
2011,한국교원대학교 ,100.0,5.2
2011,한국기술교육대학교 ,99.7,10.2
2011,한국방송통신대학교 ,51.4,0.7
2011,한국성서대학교 ,102.2,5.3
2011,한국예술종합학교 ,91.4,15.6
2011,한국외국어대학교 ,99.9,19.6
2011,한국체육대학교 ,100.0,4.0
2011,한국침례신학대학교 ,100.0,2.1
2011,한국항공대학교 ,100.2,14.5
2011,한남대학교 ,100.0,6.2
2011,한동대학교 ,99.3,7.2
2011,한라대학교 ,100.5,5.8
2011,한림대학교 ,99.9,8.6
2011,한서대학교 ,100.7,11.5
2011,한성대학교 ,98.5,18.2
2011,한세대학교 ,99.8,11.8
2011,한신대학교 ,100.0,13.7
2011,한양대학교 ,99.8,26.8
2011,한양대학교(ERICA) _분교,99.8,15.6
2011,한일장신대학교 ,90.3,1.7
2011,협성대학교 ,100.0,17.0
2011,호남대학교 ,100.1,3.6
2011,호남신학대학교 ,97.6,1.7
2011,호서대학교 ,100.0,10.1
2011,호원대학교 ,100.1,12.3
2011,홍익대학교 ,99.6,10.5
2011,화성의과학대학교 ,98.7,12.0
2012,가천대학교 ,100.3,22.0
2012,가톨릭관동대학교 ,99.4,4.8
2012,가톨릭꽃동네대학교 ,100.0,5.4
2012,가톨릭대학교 ,99.8,23.9
2012,가톨릭대학교 _제2캠퍼스,100.0,22.3
2012,가톨릭대학교 _제3캠퍼스,58.8,1.1
2012,감리교신학대학교 ,100.0,2.1
2012,강남대학교 ,99.8,17.9
2012,강서대학교 ,100.0,5.5
2012,강원대학교 ,100.0,7.3
2012,강원대학교 _제2캠퍼스,99.9,5.2
2012,건국대학교 ,99.6,23.9
2012,건국대학교(글로컬) _분교,99.7,9.7
2012,건양대학교 ,99.7,5.9
2012,건양대학교 _제2캠퍼스,99.8,8.6
2012,경기대학교 ,99.8,21.7
2012,경기대학교 _제2캠퍼스,100.0,27.1
2012,경남대학교 ,99.6,4.2
2012,경동대학교 ,101.4,4.8
2012,경북대학교 ,99.9,9.5
2012,경상국립대학교 ,100.0,6.9
2012,경성대학교 ,100.2,7.3
2012,경운대학교 ,96.9,5.0
2012,경인교육대학교 ,100.0,2.0
2012,경일대학교 ,99.7,4.4
2012,경희대학교 ,99.9,21.4
2012,계명대학교 ,99.7,7.5
2012,고려대학교 ,100.0,23.5
2012,고려대학교(세종) _분교,98.7,11.2
2012,고신대학교 ,100.0,4.8
2012,공주교육대학교 ,100.0,5.2
2012,광신대학교 ,101.7,1.5
2012,광운대학교 ,99.7,15.8
2012,광주가톨릭대학교 ,65.0,0.7
2012,광주과학기술원 ,99.0,7.4
2012,광주교육대학교 ,99.7,3.6
2012,광주대학교 ,99.9,4.2
2012,광주여자대학교 ,99.3,5.8
2012,국립강릉원주대학교 ,99.3,5.0
2012,국립강릉원주대학교 _제2캠퍼스,99.8,5.6
2012,국립경국대학교 ,99.9,5.7
2012,국립공주대학교 ,99.9,7.3
2012,국립군산대학교 ,100.0,7.4
2012,국립금오공과대학교 ,99.9,6.1
2012,국립목포대학교 ,100.0,5.9
2012,국립목포해양대학교 ,99.7,4.7
2012,국립부경대학교 ,99.8,7.1
2012,국립순천대학교 ,99.9,6.6
2012,국립창원대학교 ,99.8,8.6
2012,국립한국교통대학교 ,99.7,10.5
2012,국립한국해양대학교 ,100.1,8.4
2012,국립한밭대학교 ,99.9,5.2
2012,국민대학교 ,99.8,17.6
2012,극동대학교 ,99.3,11.5
2012,금강대학교 ,80.6,2.7
2012,김천대학교 ,98.1,4.1
2012,나사렛대학교 ,99.9,6.5
2012,남부대학교 ,97.0,5.9
2012,남서울대학교 ,98.5,7.6
2012,단국대학교 ,99.8,17.4
2012,대구가톨릭대학교 ,100.0,6.6
2012,대구교육대학교 ,99.5,4.6
2012,대구대학교 ,99.7,6.2
2012,대구예술대학교 ,100.0,3.4
2012,대구한의대학교 ,100.2,5.0
2012,대신대학교 ,83.2,1.5
2012,대전가톨릭대학교 ,62.5,0.7
2012,대전대학교 ,99.8,6.5
2012,대전신학대학교 ,78.3,1.3
2012,대진대학교 ,99.2,6.5
2012,덕성여자대학교 ,99.3,8.8
2012,동국대학교 ,99.5,21.4
2012,동국대학교(WISE) _분교,100.0,7.2
2012,동덕여자대학교 ,98.9,13.0
2012,동명대학교 ,100.5,7.8
2012,동서대학교 ,100.2,10.8
2012,동신대학교 ,100.0,4.5
2012,동아대학교 ,99.9,7.7
2012,동양대학교 ,99.9,4.6
2012,동의대학교 ,100.0,9.3
2012,디지털서울문화예술대학교 ,86.2,1.6
2012,루터대학교 ,96.0,3.6
2012,명지대학교 ,99.3,14.3
2012,명지대학교 _제2캠퍼스,98.7,20.0
2012,목원대학교 ,99.9,5.1
2012,목포가톨릭대학교 ,100.0,5.2
2012,배재대학교 ,99.1,5.7
2012,백석대학교 ,99.9,8.8
2012,부산가톨릭대학교 ,99.0,8.0
2012,부산교육대학교 ,99.7,5.3
2012,부산대학교 ,100.5,4.8
2012,부산디지털대학교 ,71.9,1.1
2012,부산외국어대학교 ,99.8,5.6
2012,부산장신대학교 ,100.0,2.0
2012,삼육대학교 ,99.8,9.2
2012,상명대학교 ,98.7,11.2
2012,상지대학교 ,99.8,5.9
2012,서강대학교 ,99.9,30.1
2012,서경대학교 ,99.1,13.7
2012,서울과학기술대학교 ,99.9,8.3
2012,서울교육대학교 ,99.7,2.6
2012,서울기독대학교 ,100.0,2.4
2012,서울대학교 ,99.8,5.9
2012,서울디지털대학교 ,81.9,1.7
2012,서울시립대학교 ,98.8,27.4
2012,서울신학대학교 ,99.8,3.9
2012,서울여자대학교 ,99.5,12.4
2012,서울장신대학교 ,100.0,3.4
2012,서울한영대학교 ,100.0,2.6
2012,서원대학교 ,100.0,4.3
2012,선문대학교 ,100.0,7.9
2012,성결대학교 ,100.2,15.4
2012,성공회대학교 ,98.7,8.8
2012,성균관대학교 ,99.4,27.0
2012,성신여자대학교 ,99.7,19.3
2012,세명대학교 ,99.1,6.8
2012,세종대학교 ,100.3,15.6
2012,세한대학교 ,100.0,4.1
2012,송원대학교 ,98.1,5.6
2012,수원가톨릭대학교 ,48.9,0.9
2012,수원대학교 ,100.5,17.6
2012,숙명여자대학교 ,99.7,17.8
2012,순복음총회신학교 ,23.5,0.3
2012,순천향대학교 ,99.7,10.8
2012,숭실대학교 ,99.4,19.8
2012,신경주대학교 ,73.6,4.1
2012,신라대학교 ,100.1,5.5
2012,아신대학교 ,94.5,2.0
2012,아주대학교 ,99.7,15.6
2012,안양대학교 ,100.3,11.8
2012,안양대학교 _제2캠퍼스,100.0,5.3
2012,연세대학교 ,99.9,21.9
2012,연세대학교(미래) _분교,99.5,9.4
2012,영남대학교 ,99.6,6.5
2012,영남신학대학교 ,87.9,1.3
2012,영산대학교 ,100.0,7.4
2012,영산대학교 _제2캠퍼스,99.8,7.6
2012,예수대학교 ,98.5,4.7
2012,예원예술대학교 ,101.7,5.7
2012,용인대학교 ,99.5,7.1
2012,우석대학교 ,98.4,4.8
2012,우송대학교 ,100.0,8.6
2012,울산과학기술원 ,100.4,7.1
2012,울산대학교 ,99.8,6.3
2012,원광대학교 ,99.4,3.9
2012,원광디지털대학교 ,78.1,1.1
2012,위덕대학교 ,97.2,4.1
2012,유원대학교 ,95.8,7.2
2012,을지대학교 ,99.3,9.6
2012,을지대학교 _제2캠퍼스,99.0,23.2
2012,이화여자대학교 ,99.7,13.6
2012,인제대학교 ,99.8,8.6
2012,인천가톨릭대학교 ,96.7,1.3
2012,인천가톨릭대학교 _제2캠퍼스,100.0,6.1
2012,인천대학교 ,99.4,8.9
2012,인하대학교 ,99.8,15.7
2012,장로회신학대학교 ,100.0,3.9
2012,전남대학교 ,99.6,6.4
2012,전남대학교 _제2캠퍼스,98.3,5.5
2012,전북대학교 ,100.0,6.7
2012,전주교육대학교 ,99.6,3.5
2012,전주대학교 ,100.0,4.4
2012,정석대학 ,76.0,0.8
2012,제주국제대학교 ,69.8,2.2
2012,제주대학교 ,99.9,4.1
2012,조선대학교 ,99.7,4.0
2012,중부대학교 ,100.2,6.6
2012,중앙대학교 ,99.7,30.7
2012,중앙대학교 _제2캠퍼스,99.7,11.0
2012,중앙승가대학교 ,52.5,0.7
2012,중원대학교 ,81.7,4.8
2012,진주교육대학교 ,100.0,9.0
2012,차의과학대학교 ,99.1,7.4
2012,청운대학교 ,100.1,10.6
2012,청주교육대학교 ,100.0,7.6
2012,청주대학교 ,100.0,7.1
2012,초당대학교 ,91.5,4.0
2012,총신대학교 ,99.4,3.8
2012,추계예술대학교 ,100.0,7.5
2012,춘천교육대학교 ,100.0,3.1
2012,충남대학교 ,99.8,7.7
2012,충북대학교 ,100.0,8.2
2012,칼빈대학교 ,98.2,2.5
2012,평택대학교 ,100.6,11.7
2012,포항공과대학교 ,100.0,7.5
2012,한경국립대학교 ,99.6,9.2
2012,한국공학대학교 ,99.7,9.6
2012,한국과학기술원 ,82.2,3.6
2012,한국교원대학교 ,99.8,6.3
2012,한국기술교육대학교 ,100.0,10.4
2012,한국방송통신대학교 ,47.0,0.6
2012,한국성서대학교 ,101.7,5.2
2012,한국예술종합학교 ,94.6,16.9
2012,한국외국어대학교 ,99.8,20.6
2012,한국체육대학교 ,99.7,3.9
2012,한국침례신학대학교 ,100.0,2.1
2012,한국항공대학교 ,99.8,15.1
2012,한남대학교 ,99.7,5.1
2012,한동대학교 ,100.0,7.0
2012,한라대학교 ,100.0,6.0
2012,한림대학교 ,99.8,8.1
2012,한서대학교 ,100.1,12.3
2012,한성대학교 ,99.1,14.7
2012,한세대학교 ,99.0,12.5
2012,한신대학교 ,100.1,14.8
2012,한양대학교 ,99.9,33.1
2012,한양대학교(ERICA) _분교,99.3,17.5
2012,한일장신대학교 ,91.1,1.7
2012,협성대학교 ,100.3,11.7
2012,호남대학교 ,100.0,3.6
2012,호남신학대학교 ,90.6,1.5
2012,호서대학교 ,99.7,8.2
2012,호원대학교 ,82.6,10.7
2012,홍익대학교 ,99.6,14.4
2012,화성의과학대학교 ,100.0,9.3
2013,가천대학교 ,100.2,18.7
2013,가톨릭관동대학교 ,99.7,5.3
2013,가톨릭꽃동네대학교 ,100.0,3.8
2013,가톨릭대학교 ,99.7,18.7
2013,가톨릭대학교 _제2캠퍼스,100.0,18.6
2013,가톨릭대학교 _제3캠퍼스,71.3,1.2
2013,감리교신학대학교 ,100.0,2.6
2013,강남대학교 ,99.6,11.9
2013,강서대학교 ,100.0,5.7
2013,강원대학교 ,99.8,6.3
2013,강원대학교 _제2캠퍼스,99.8,4.3
2013,건국대학교 ,99.6,14.7
2013,건국대학교(글로컬) _분교,99.6,7.8
2013,건양대학교 ,99.7,5.6
2013,건양대학교 _제2캠퍼스,100.0,7.2
2013,경기대학교 ,99.5,11.7
2013,경기대학교 _제2캠퍼스,98.7,14.9
2013,경남대학교 ,99.6,4.4
2013,경동대학교 ,97.5,4.7
2013,경동대학교 _제3캠퍼스,100.2,6.0
2013,경북대학교 ,99.6,9.1
2013,경상국립대학교 ,100.0,6.1
2013,경성대학교 ,100.3,6.3
2013,경운대학교 ,98.8,5.1
2013,경인교육대학교 ,100.0,3.4
2013,경일대학교 ,98.5,3.6
2013,경희대학교 ,99.8,16.0
2013,계명대학교 ,99.6,7.1
2013,고려대학교 ,99.9,20.0
2013,고려대학교(세종) _분교,98.6,8.9
2013,고신대학교 ,100.0,4.2
2013,공주교육대학교 ,100.0,4.8
2013,광신대학교 ,98.4,1.5
2013,광운대학교 ,99.8,12.3
2013,광주가톨릭대학교 ,60.0,0.6
2013,광주과학기술원 ,98.2,10.3
2013,광주교육대학교 ,100.3,4.0
2013,광주대학교 ,100.0,3.6
2013,광주여자대학교 ,98.8,4.7
2013,국립강릉원주대학교 ,99.8,4.1
2013,국립강릉원주대학교 _제2캠퍼스,99.8,4.9
