기준년도,학교,전임교원수,1인당 학생수(정원기준),1인당 학생수(재학생기준)
2010,영남신학대학교 ,26.0,39.8,43.7
2010,영산대학교 ,137.0,31.0,17.2
2010,영산대학교 _제2캠퍼스,89.0,32.5,25.0
2010,영산선학대학교 ,9.0,22.2,4.2
2010,예수대학교 ,24.0,23.3,22.8
2010,예원예술대학교 ,45.0,27.0,24.2
2010,용인대학교 ,167.0,42.9,44.0
2010,우석대학교 ,283.0,31.4,31.5
2010,우송대학교 ,222.0,35.3,21.0
2010,울산과학기술원 ,83.0,18.4,16.0
2010,울산대학교 ,1016.0,15.0,16.5
2010,원광대학교 ,673.0,30.6,30.2
2010,위덕대학교 ,109.0,37.2,29.9
2010,유원대학교 ,105.0,42.0,27.1
2010,을지대학교 ,273.0,4.1,4.3
2010,을지대학교 _제2캠퍼스,118.0,33.8,36.9
2010,이화여자대학교 ,912.0,25.9,26.7
2010,인제대학교 ,323.0,34.6,35.6
2010,인천가톨릭대학교 ,29.0,31.0,22.8
2010,인천대학교 ,398.0,25.0,27.2
2010,인하대학교 ,811.0,24.1,29.0
2010,장로회신학대학교 ,69.0,44.5,47.0
2010,전남대학교 ,1021.0,23.0,25.1
2010,전남대학교 _제2캠퍼스,179.0,22.6,20.1
2010,전북대학교 ,983.0,22.7,24.8
2010,전주교육대학교 ,56.0,41.1,36.8
2010,전주대학교 ,358.0,35.3,35.1
2010,제주대학교 ,564.0,21.3,21.4
2010,조선대학교 ,784.0,30.7,31.5
2010,중부대학교 ,191.0,51.1,46.0
2010,중앙대학교 ,712.0,27.1,29.5
2010,중앙승가대학교 ,18.0,33.7,19.9
2010,중원대학교 ,42.0,19.5,15.3
2010,진주교육대학교 ,70.0,36.0,32.4
2010,차의과학대학교 ,342.0,3.5,3.5
2010,청운대학교 ,144.0,40.8,41.1
2010,청주교육대학교 ,64.0,39.2,34.0
2010,청주대학교 ,362.0,36.3,39.4
2010,총신대학교 ,93.0,45.7,48.5
2010,추계예술대학교 ,49.0,36.9,31.5
2010,춘천교육대학교 ,75.0,37.1,25.4
2010,충남대학교 ,902.0,25.7,28.6
2010,충북대학교 ,729.0,24.8,26.6
2010,칼빈대학교 ,27.0,37.4,35.1
2010,평택대학교 ,123.0,39.3,38.0
2010,포항공과대학교 ,248.0,15.6,16.2
2010,한국과학기술원 ,553.0,0.0,21.2
2010,한국교원대학교 ,185.0,40.9,42.2
2010,한국기술교육대학교 ,153.0,28.8,30.4
2010,한국방송통신대학교 ,138.0,1741.3,1304.2
2010,한국산업기술대학교(산업대) ,154.0,39.5,42.4
2010,한국성서대학교 ,34.0,37.7,40.4
2010,한국예술종합학교 ,128.0,17.4,17.6
2010,한국외국어대학교 ,360.0,32.4,35.0
2010,한국체육대학교 ,103.0,31.4,31.3
2010,한국침례신학대학교 ,49.0,60.5,56.2
2010,한국항공대학교 ,141.0,31.4,35.8
2010,한남대학교 ,351.0,41.2,39.4
2010,한동대학교 ,119.0,32.0,36.8
2010,한라대학교 ,93.0,43.4,36.2
2010,한림대학교 ,805.0,11.1,11.8
2010,한북대학교 ,45.0,29.3,21.5
2010,한서대학교 ,242.0,33.2,33.6
2010,한성대학교 ,214.0,36.6,39.1
2010,한세대학교 ,103.0,36.4,39.6
2010,한신대학교 ,155.0,37.8,38.8
2010,한양대학교 ,945.0,26.2,29.0
2010,한양대학교(ERICA) _분교,359.0,22.1,25.9
2010,한일장신대학교 ,45.0,41.8,38.3
2010,협성대학교 ,145.0,37.3,34.8
2010,호남대학교 ,240.0,35.7,33.7
2010,호남신학대학교 ,29.0,50.8,48.1
2010,호서대학교 ,422.0,35.1,33.6
2010,호원대학교 ,138.0,42.4,37.0
2010,홍익대학교 ,509.0,30.3,32.7
2010,화성의과학대학교 ,29.0,26.3,17.8
2011,가천대학교 ,438.0,34.5,35.5
2011,가톨릭관동대학교 ,418.0,25.8,23.5
2011,가톨릭꽃동네대학교 ,21.0,30.0,28.8
2011,가톨릭대학교 ,221.0,36.8,41.0
2011,가톨릭대학교 _제2캠퍼스,898.0,3.5,3.0
2011,가톨릭대학교 _제3캠퍼스,27.0,16.4,13.9
2011,감리교신학대학교 ,34.0,52.1,55.0
2011,강남대학교 ,220.0,34.3,38.6
2011,강서대학교 ,43.0,37.3,37.2
2011,강원대학교 ,753.0,24.6,25.1
2011,강원대학교 _제2캠퍼스,201.0,35.0,31.4
2011,건국대학교 ,605.0,31.5,37.3
2011,건국대학교(글로컬) _분교,435.0,18.5,20.2
2011,건양대학교 ,185.0,37.2,37.2
2011,건양대학교 _제2캠퍼스,161.0,11.2,12.7
2011,경기대학교 ,395.0,36.1,39.4
2011,경기대학교 _제2캠퍼스,48.0,45.3,48.3
2011,경남과학기술대학교 ,171.0,35.3,35.0
2011,경남대학교 ,363.0,43.5,42.9
2011,경동대학교 ,75.0,48.0,40.1
2011,경북대학교 ,1064.0,24.3,27.9
