기준년도,학교명,졸업자 수,진학률
2023,정석대학,26,0.0
2023,제주국제대학교,162,2.5
2023,제주대학교,1911,7.4
2023,조선대학교,4167,4.4
2023,중부대학교,1644,2.3
2023,중앙대학교,4144,9.6
2023,중앙대학교 _제2캠퍼스,1075,15.1
2023,중앙승가대학교,40,32.5
2023,중원대학교,785,3.6
2023,진주교육대학교,323,0.3
2023,차의과학대학교,460,12.6
2023,창신대학교,425,2.1
2023,청운대학교,1453,2.1
2023,청주교육대학교,281,1.1
2023,청주대학교,2556,3.1
2023,초당대학교,711,0.8
2023,총신대학교,401,17.7
2023,추계예술대학교,262,13.0
2023,춘천교육대학교,321,1.2
2023,충남대학교,3474,13.6
2023,충북대학교,2987,9.7
2023,칼빈대학교,84,15.5
2023,평택대학교,847,1.7
2023,포항공과대학교,256,58.6
2023,한경국립대학교,1117,6.6
2023,한국공학대학교,1504,7.0
2023,한국과학기술원,709,50.1
2023,한국교원대학교,574,1.2
2023,한국기술교육대학교,868,6.0
2023,한국방송통신대학교,27027,4.4
2023,한국성서대학교,213,7.5
2023,한국예술종합학교,496,8.1
2023,한국외국어대학교,3889,5.8
2023,한국전통문화대학교,134,23.9
2023,한국체육대학교,547,3.7
2023,한국침례신학대학교,269,20.4
2023,한국항공대학교,888,13.3
2023,한남대학교,2234,5.3
2023,한동대학교,771,18.9
2023,한라대학교,760,2.5
2023,한림대학교,1669,7.2
2023,한서대학교,1410,2.8
2023,한성대학교,1548,3.6
2023,한세대학교,536,4.9
2023,한신대학교,1067,4.3
2023,한양대학교,3559,15.8
2023,한양대학교(ERICA) _분교,2223,14.4
2023,한일장신대학교,244,7.0
2023,협성대학교,931,4.4
2023,호남대학교,1892,1.2
2023,호남신학대학교,120,19.2
2023,호서대학교,2709,4.4
2023,호원대학교,1317,1.4
2023,홍익대학교,2888,6.5
2023,홍익대학교 _제2캠퍼스,1313,4.1
2023,화성의과학대학교,119,1.7
2022,가야대학교(김해),554,0.5
2022,가천대학교,4437,4.7
2022,가톨릭관동대학교,1685,3.6
2022,가톨릭꽃동네대학교,123,0.8
2022,가톨릭대학교,1626,7.2
2022,가톨릭대학교 _제2캠퍼스,179,0.0
2022,가톨릭대학교 _제3캠퍼스,39,53.8
2022,감리교신학대학교,187,18.7
2022,강남대학교,1611,1.2
2022,강서대학교,318,4.1
2022,강원대학교,4277,7.6
2022,강원대학교 _제2캠퍼스,1600,3.1
2022,건국대학교,3863,9.3
2022,건국대학교(글로컬) _분교,1667,5.0
2022,건양대학교,864,3.1
2022,건양대학교 _제2캠퍼스,849,4.5
2022,경기대학교,2760,4.9
2022,경기대학교 _제2캠퍼스,434,0.2
2022,경남과학기술대학교,1154,4.3
2022,경남대학교,2601,3.2
2022,경동대학교,230,0.4
2022,경동대학교 _제3캠퍼스,995,0.1
2022,경동대학교 _제4캠퍼스,606,1.2
2022,경북대학교,5295,10.7
2022,경상국립대학교,3270,9.8
2022,경성대학교,2995,2.4
2022,경운대학교,1025,0.8
2022,경인교육대학교 _제2캠퍼스,682,0.0
2022,경일대학교,1300,2.1
2022,경희대학교,6514,7.7
2022,계명대학교,5107,4.4
2022,고려대학교,4905,18.0
2022,고려대학교(세종) _분교,1496,9.6
2022,고신대학교,779,6.8
2022,공주교육대학교,371,0.5
2022,광신대학교,122,14.8
2022,광운대학교,1802,9.0
2022,광주가톨릭대학교,16,31.3
2022,광주과학기술원,167,64.7
2022,광주교육대학교,338,0.0
2022,광주대학교,1536,1.9
2022,광주여자대학교,871,2.2
2022,국립강릉원주대학교,1222,7.5
2022,국립강릉원주대학교 _제2캠퍼스,486,1.2
2022,국립경국대학교,1313,6.7
2022,국립공주대학교,2995,7.5
2022,국립군산대학교,1551,5.6
2022,국립금오공과대학교,1439,8.9
2022,국립목포대학교,1484,4.3
2022,국립목포해양대학교,611,1.5
2022,국립부경대학교,3870,7.5
2022,국립순천대학교,1560,4.7
2022,국립창원대학교,1820,6.0
2022,국립한국교통대학교,2037,5.2
2022,국립한국해양대학교,1538,5.7
2022,국립한밭대학교,2101,4.0
2022,국민대학교,3930,7.1
2022,극동대학교,772,1.2
2022,금강대학교,93,2.2
2022,김천대학교,767,0.4
2022,나사렛대학교,1142,1.8
2022,남부대학교,695,0.6
2022,남서울대학교,2211,1.4
2022,단국대학교,3033,5.6
2022,단국대학교 _제2캠퍼스,2827,9.2
2022,대구가톨릭대학교,2810,5.3
2022,대구경북과학기술원,133,63.9
2022,대구교육대학교,396,0.0
2022,대구대학교,4033,3.5
2022,대구예술대학교,197,2.5
2022,대구한의대학교,1535,3.2
2022,대신대학교,105,23.8
2022,대전가톨릭대학교,8,100.0
2022,대전대학교,1863,2.3
2022,대전신학대학교,24,45.8
2022,대진대학교,1529,2.2
2022,덕성여자대학교,1487,5.9
2022,동국대학교,3297,8.9
2022,동국대학교(WISE) _분교,1675,4.3
2022,동덕여자대학교,1666,5.7
2022,동명대학교,1727,1.4
2022,동서대학교,2184,0.9
2022,동신대학교,1477,1.8
2022,동아대학교,4264,5.0
2022,동양대학교,786,1.8
2022,동의대학교,3362,2.5
2022,루터대학교,80,12.5
2022,명지대학교,1526,6.6
2022,명지대학교 _제2캠퍼스,2119,2.1
2022,목원대학교,1628,6.4
2022,목포가톨릭대학교,122,0.0
2022,배재대학교,1608,2.9
2022,백석대학교,2809,0.8
2022,부산가톨릭대학교,924,2.6
2022,부산교육대학교,378,0.8
2022,부산대학교,4832,11.5
2022,부산외국어대학교,1775,1.2
2022,부산장신대학교,64,14.1
2022,삼육대학교,1297,4.9
