기준연도,학교명,학과명,등록금,대계열
2018,명지대학교 _제2캠퍼스,경제학과,6754000,인문사회계열
2018,명지대학교 _제2캠퍼스,국어국문학과,6754000,인문사회계열
2018,명지대학교 _제2캠퍼스,국제통상학과,6810000,인문사회계열
2018,명지대학교 _제2캠퍼스,디지털콘텐츠디자인학과,9833000,공학계열
2018,명지대학교 _제2캠퍼스,문헌정보학과,6754000,인문사회계열
2018,명지대학교 _제2캠퍼스,미래융합경영학과,7493000,인문사회계열
2018,명지대학교 _제2캠퍼스,미술사학과,6754000,인문사회계열
2018,명지대학교 _제2캠퍼스,법무정책학과,6754000,인문사회계열
2018,명지대학교 _제2캠퍼스,법무행정학과,7493000,인문사회계열
2018,명지대학교 _제2캠퍼스,법학과,7493000,인문사회계열
2018,명지대학교 _제2캠퍼스,부동산학과,7509500,인문사회계열
2018,명지대학교 _제2캠퍼스,사학과,6754000,인문사회계열
2018,명지대학교 _제2캠퍼스,사회과학대학,7493000,인문사회계열
2018,명지대학교 _제2캠퍼스,사회복지학과,7493000,인문사회계열
2018,명지대학교 _제2캠퍼스,아동학과,6754000,인문사회계열
2018,명지대학교 _제2캠퍼스,아랍지역학과,7493000,인문사회계열
