기준년도,학교,학과,등록금
,,아트앤테크놀로지전공,"9,837,000"
,,영미문화계,"8,183,000"
,,인문계,"8,183,000"
,,자연과학부,"9,405,000"
,,전자공학계,0
,,전자공학전공,"10,395,000"
,,커뮤니케이션학부,"8,183,000"
,,컴퓨터공학계,0
,,컴퓨터공학전공,"10,395,000"
,,화공생명공학계,0
,,화공생명공학전공,"10,395,000"
,서경대학교,경영학부,"7,186,000"
,,공공인적자원학부,0
,,공공인적자원학부(사회과학대학),"7,186,000"
,,관현악전공,"9,678,000"
,,국어국문학과,"6,362,000"
,,국제비즈니스어학부,"7,186,000"
,,군사학과,"9,210,000"
,,글로벌경영학과,"11,116,000"
,,금융경제학과,0
,,금융경제학과(사회과학대학),"6,362,000"
,,금융정보공학과,0
,,금융정보공학과(이공대학),"9,210,000"
,,나노융합공학과,"9,210,000"
,,도시공학과,"9,210,000"
,,디자인학부(문화산업공예디자인전공),"8,386,000"
,,디자인학부(비주얼콘텐츠디자인전공),"8,386,000"
,,모델연기전공,"9,678,000"
,,무대기술전공,"9,678,000"
,,무대패션전공,"9,678,000"
,,무용예술학과,"9,678,000"
,,문화콘텐츠학부(인문과학대학),"7,186,000"
,,뮤지컬전공,"9,678,000"
,,미용예술학과,"10,666,000"
,,미용전공,0
,,산업공학과,"9,210,000"
,,생활문화디자인전공,"9,210,000"
,,성악전공,"8,854,000"
,,시각정보디자인전공,"9,210,000"
,,아동학과,"7,186,000"
,,연기전공,"9,678,000"
,,영어학과,0
,,영화영상전공,"8,854,000"
,,영화영상학과,"9,678,000"
,,영화전공,0
,,유럽어학부,0
,,일어학과,0
,,재즈전공,"9,678,000"
,,전자공학과,"9,210,000"
,,중어학과,0
,,철학과,"6,362,000"
,,컴퓨터공학과,"9,210,000"
,,컴퓨터과학과,"8,548,000"
,,토목건축공학과,"9,210,000"
,,토목공학과,"8,386,000"
,,패션전공,0
,,피아노전공,"9,678,000"
,,화학생명공학과,"9,210,000"
,,화학생명공학부,"8,386,000"
,서남대학교 (폐교),간호학과,"8,632,900"
,,경영학과,"6,106,000"
,,경찰행정법학과,"6,106,000"
,,공학부,"7,776,000"
,,국어국문학과,"6,106,000"
,,디자인학과,"7,076,000"
,,물리치료학과,"7,869,500"
,,보건행정학과,"7,219,000"
,,보건환경학과,"7,219,000"
,,사회복지학과,"6,106,000"
,,사회체육학과,"7,011,000"
,,생명과학과,"6,976,000"
,,어문학과군,0
,,음악학과,"7,076,000"
,,의료공학과,"7,219,000"
,,의예과,"10,500,000"
,,의학과,"9,900,000"
,,임상병리학과,"7,459,000"
,,작업치료학과,"7,459,000"
,,컴퓨터정보통신학과,"6,976,000"
,서남대학교 _제2캠퍼스(폐교),건축공학과,"7,876,000"
,,경영전산정보학과,0
,,경영학과,"6,106,000"
,,경찰행정법학과,"6,106,000"
,,공무원행정학과,"6,106,000"
,,글로벌마케팅학과,"6,106,000"
,,방사선학과,"7,617,000"
,,병원행정학과,"7,219,000"
,,보건의료공학과,"7,219,000"
,,부동산학과,"6,106,000"
,,사회복지행정학과군,"6,106,000"
,,사회체육학과,"7,019,000"
,,산업보건학과,"7,219,000"
,,상담심리학과,"6,106,000"
,,외국어학과,"6,106,000"
,,응급구조학과,"7,617,000"
,,전기전자공학과,"7,876,000"
,,치위생학과,"8,340,500"
,,컴퓨터정보학과,"6,976,000"
,,토목공학과,"7,876,000"
,,환경화학공학과,"7,876,000"
,서울과학기술대학교,건설시스템디자인공학과,"5,437,200"
,,건축학부건축공학전공,"5,568,000"
,,건축학부건축학전공,"5,659,000"
,,글로벌경영학과,"4,568,200"
,,글로벌경영학과(경영학전공),"4,517,600"
,,글로벌경영학과(글로벌테크노경영전공),"4,753,000"
,,글로벌융합산업공학과,"5,546,000"
,,글로벌융합산업공학과(ITM전공),"5,568,000"
,,글로벌융합산업공학과(MSDE전공),"5,568,000"
,,글로벌융합산업공학과(산업정보시스템전공),"5,568,000"
,,금속공예학과,"5,659,000"
,,기계・자동차공학과,"5,568,000"
,,기계시스템디자인공학과,"5,568,000"
,,도자문화학과,"5,659,000"
,,디자인학과,"5,659,000"
,,문예창작학과,"4,753,000"
,,스포츠과학과,"5,568,000"
,,식품공학과,"5,568,000"
,,신소재공학과,"5,337,000"
,,안경광학과,"5,568,000"
,,안전공학과,"5,568,000"
,,영어과,"4,447,500"
,,전기정보공학과,"5,568,000"
,,전기정보시스템공학과,0
,,전자IT미디어공학과,"5,568,000"
,,정밀화학과,"5,568,000"
,,조형예술학과,"5,659,000"
,,컴퓨터공학과,"5,568,000"
,,행정학과,"4,522,400"
,,화공생명공학과,"5,568,000"
,,환경공학과,"5,568,000"
,서울과학기술대학교(산업대) (폐교),건설공학부,"4,853,000"
,,건설공학부 토목공학전공,"4,853,000"
,,건축학부 건축공학전공,"4,853,000"
,,건축학부 건축학전공,"4,895,200"
,,경영학과,"4,139,000"
,,공업디자인학과,"4,933,000"
,,국제융합시스템프로그램 IT Management전공,"4,853,000"
,,국제융합시스템프로그램 MSDE전공,"4,853,000"
,,글로벌테크노경영프로그램,"4,139,000"
,,금속공예디자인학과,"4,933,000"
,,기계공학과,"4,853,000"
,,기계설계・자동화공학부,"4,853,000"
,,도자문화디자인학과,"4,933,000"
,,매체공학과,"4,853,000"
,,문예창작학과,"4,139,000"
,,산업정보시스템공학과,"4,853,000"
,,스포츠과학과,"4,933,000"
,,시각디자인학과,"4,933,000"
,,식품공학과,"4,853,000"
,,신소재공학과,"4,853,000"
,,안경광학과,"4,853,000"
,,안전공학과,"4,853,000"
,,영어과,"4,139,000"
,,자동차공학과,"4,853,000"
,,전기공학과,"4,853,000"
,,전자정보공학과,"4,853,000"
,,정밀화학과,"4,853,000"
,,제어계측공학과,"4,853,000"
,,제품설계금형공학과,"4,853,000"
,,조형예술학과,"4,933,000"
,,컴퓨터공학과,"4,853,000"
,,행정학과,"4,139,000"
,,화학공학과,"4,853,000"
,,환경공학과,"4,853,000"
,서울교육대학교,초등교육학과,"3,259,000"
,서울기독대학교,국제경영정보학과,"7,312,000"
,,무용학과,"8,963,100"
,,사회복지학과,"7,185,000"
,,신학과,"7,185,000"
,,음악학과,"8,965,700"
,서울대학교,간호학과,"6,195,000"
,,건설환경공학부,"6,243,000"
,,건축공학전공,0
,,건축학과(건축공학전공),"6,243,000"
,,건축학과(건축학전공(5년)),"6,243,000"
,,건축학전공(5년),0
,,경영학과,"5,117,000"
,,경제학부,"5,117,000"
,,교육학과,"5,117,000"
,,국악과,"8,101,000"
,,국어교육과,"5,117,000"
,,기계항공공학부,"6,243,000"
,,기악과,"8,101,000"
,,농경제사회학부,"5,117,000"
,,독어교육과,"5,117,000"
,,동양화과,"7,569,000"
,,디자인학부,"7,569,000"
,,물리・천문학부,"6,195,000"
,,물리교육과,"6,195,000"
,,바이오시스템・소재학부,"6,195,000"
,,불어교육과,"5,117,000"
,,사회교육과,"5,117,000"
,,사회복지학과,"5,117,000"
,,사회학과,"5,117,000"
,,산림과학부,"6,195,000"
,,산업공학과,"6,243,000"
,,생명과학부,"6,195,000"
,,생물교육과,"6,195,000"
,,서양화과,"7,569,000"
,,성악과,"8,101,000"
,,소비자아동학부,"5,117,000"
,,수리과학부,"5,133,000"
,,수의예과,"6,391,000"
,,수의학과,"9,408,000"
,,수학교육과,"5,133,000"
,,식물생산과학부,"6,195,000"
,,식품・동물생명공학부,"6,195,000"
,,식품영양학과,"6,195,000"
,,심리학과,"5,475,500"
,,약학과(2+4년제),"9,247,000"
,,언론정보학과,"5,117,000"
,,에너지자원공학과,"6,243,000"
,,역사교육과,"5,117,000"
,,영어교육과,"5,117,000"
,,외교학과,0
,,원자핵공학과,"6,243,000"
,,윤리교육과,"5,117,000"
,,응용생물화학부,"6,195,000"
,,"의류,식품영양학과군","6,026,000"
,,의류학과,"6,195,000"
,,의예과,"6,391,000"
,,의학과,"10,204,000"
,,인류학과,"5,475,500"
,,인문계열,"5,117,000"
,,인문계열1,"4,948,000"
,,인문계열2,"4,948,000"
,,자유전공학부(인문),"5,386,500"
,,자유전공학부(자연),"6,195,000"
,,작곡과,"8,101,000"
,,재료공학부,"6,243,000"
,,전기・정보공학부,"6,243,000"
,,전기공학부,"6,074,000"
,,정치외교학부,"5,117,000"
,,정치학과,0
,,제약학과(2+4학제),"9,247,000"
,,조경・지역시스템공학부,"6,195,000"
,,조선해양공학과,"6,243,000"
,,조소과,"7,569,000"
,,지구과학교육과,"6,195,000"
,,지구환경과학부,"6,195,000"
,,지리교육과,"5,475,500"
,,지리학과,"5,475,500"
,,체육교육과,"6,195,000"
,,컴퓨터공학부,"6,243,000"
,,통계학과,"6,195,000"
,,화학교육과,"6,195,000"
,,화학부,"6,195,000"
,,화학생물공학부,"6,243,000"
,서울시립대학교,건축학부 건축공학전공,"2,793,000"
,,건축학부 건축학전공(5년제),"2,793,000"
,,경영학부,"2,136,000"
,,경제학부,"2,136,000"
,,공간정보공학과,"2,793,000"
,,교통공학과,"2,793,000"
,,국사학과,"2,136,000"
,,국어국문학과,"2,136,000"
,,국제관계학과,"2,136,000"
,,기계정보공학과,"2,793,000"
,,도시공학과,"2,793,000"
,,도시사회학과,"2,136,000"
,,도시행정학과,"2,136,000"
,,물리학과,"2,549,000"
,,사회복지학과,"2,136,000"
,,산업디자인학과,"2,980,000"
,,생명과학과,"2,549,000"
,,생활체육정보학과,0
,,세무학과,"2,136,000"
,,수학과,"2,345,000"
,,스포츠과학과,"2,834,000"
,,신소재공학과,"2,793,000"
,,영어영문학과,"2,136,000"
,,음악학과,"3,313,000"
,,자유전공학부,"2,136,000"
,,전자전기컴퓨터공학부,"2,793,000"
,,조경학과,"2,793,000"
,,중국어문화학과,"2,136,000"
,,철학과,"2,136,000"
,,컴퓨터과학부,"2,793,000"
,,토목공학과,"2,793,000"
,,통계학과,"2,549,000"
,,행정학과,"2,136,000"
,,화학공학과,"2,793,000"
,,환경공학부,"2,793,000"
,,환경원예학과,"2,549,000"
,,환경조각학과,"2,980,000"
,서울신학대학교,교회음악과,"9,045,100"
,,기독교교육과,"7,302,900"
,,보육학과,"7,311,500"
,,사회복지학과,"7,311,500"
,,신학과,"7,308,500"
,,실용음악과,"9,516,000"
,,영어과,"7,300,800"
,,유아교육과,"7,311,500"
,,일본어과,"7,372,000"
,,중국어과,"7,311,500"
,서울여자대학교,경영학과,"7,673,500"
,,경제학과,"7,673,500"
,,공예학과,"10,390,500"
,,교육심리학과,"7,673,500"
,,국어국문학과,"7,673,500"
,,기독교학과,"7,673,500"
,,독어독문학과,"7,673,500"
,,멀티미디어학과,"9,031,000"
,,문헌정보학과,"7,673,500"
,,방송영상학전공,"6,730,000"
,,불어불문학과,"7,673,500"
,,사학과,"7,673,500"
,,사회복지학과,"7,673,500"
,,산업디자인학과,"10,390,500"
,,생명환경공학과,"9,031,000"
,,서양화과,"9,422,000"
,,수학과,"8,922,000"
,,시각디자인학과,"10,390,500"
,,식품공학과,"9,031,000"
,,식품영양학과,"9,031,000"
,,아동학과,"7,673,500"
,,언론영상학부,"7,861,000"
,,언론홍보학전공,"6,730,000"
,,영어영문학과,"7,673,500"
,,원예생명조경학과,"9,031,000"
,,의류학과,"9,031,000"
,,일어일문학과,"7,673,500"
,,자율전공학부(인문사회계열),"7,673,500"
,,자율전공학부(자연계열),"9,031,000"
,,정보보호학과,"9,031,000"
,,중어중문학과,"7,673,500"
,,체육학과,"9,031,000"
,,컴퓨터학과,"9,031,000"
,,콘텐츠디자인학과,"9,031,000"
,,행정학과,"7,673,500"
,,현대미술과,"10,653,000"
,,화학과,"9,031,000"
,서울장신대학교,교회음악과,"10,597,000"
,,사회복지학과,"7,711,000"
,,신학과,"7,645,000"
,서울한영대학교,교회음악과,"8,582,900"
,,기독교상담학과,"6,996,500"
,,기독교아동복지학과,"7,003,000"
,,선교영어학과,"6,973,300"
,,신학과,"7,005,700"
,서원대학교,건축공학・실내건축전공,0
,,건축학과,"8,616,500"
,,건축학전공,0
,,경영정보학과,"7,012,500"
,,경영학과,"7,017,300"
,,경제학과,"7,008,200"
,,공연영상예술학과,"8,644,000"
,,광고홍보학과,"7,012,500"
,,교육학과,"7,008,600"
,,국어교육과,"7,005,400"
,,국어국문학과,0
,,금융보험학과,"7,012,500"
,,독어독문학과,"6,251,300"
,,디자인학과,"8,648,100"
,,레저스포츠학과,"7,896,000"
,,레저운동관리학과,0
,,멀티미디어공학과,0
,,멀티미디어학과,"8,684,700"
,,무역학과,"7,012,500"
,,미술학과,0
,,법.경찰학과,"7,012,500"
,,사회교육과,"7,008,600"
,,사회복지학과,"7,025,900"
,,생물교육과,"7,896,000"
,,생활복지학과,0
,,수학교육과,"7,891,600"
,,식품공학과,"8,185,900"
,,식품영양학과,"7,896,000"
,,역사교육과,"7,008,600"
,,연극영화과,0
,,영어교육과,"7,008,600"
,,영어영문학과,"7,006,200"
,,외식산업학과,"8,134,100"
,,유아교육과,"7,012,500"
,,윤리교육과,"7,008,600"
,,융합아트학과,"8,652,900"
,,음악교육과,"8,663,000"
,,음악학과,0
,,의류학과,"7,896,000"
,,임상건강운동학과,"7,906,500"
,,정보통신공학과,"8,663,000"
,,정치행정학과,"7,012,500"
,,제약공학과,"8,815,000"
,,중어중문학과,"7,010,400"
,,지리교육과,"7,012,500"
,,차학과,0
,,체육교육과,"7,896,000"
,,컴퓨터공학과,"8,663,000"
,,컴퓨터교육과,"7,129,300"
,,한국어문학과,"7,006,200"
,,항공호텔서비스학과,"8,815,000"
,,화예디자인학과,0
,,화장품과학과,"8,815,000"
,,환경건설정보학과,0
,,환경공학과,"8,657,400"
,,회계학과,"7,012,500"
,선문대학교,IT경영학과,"8,348,900"
,,간호학과,"9,270,000"
,,건축공학전공,"8,510,000"
,,건축학부,"9,270,000"
,,건축학전공,"8,510,000"
,,경영학부,"7,622,000"
,,경영학전공,"6,862,000"
,,경영회계전공,"6,862,000"
,,경찰행정법학과,"7,622,000"
,,경찰행정학전공,0
,,광고홍보학전공,"7,062,000"
,,국어국문학과,"7,622,000"
,,국제경제전공,"6,862,000"
,,국제경제통상학부,"7,622,000"
,,국제관계학과,"7,696,600"
,,국제레저관광학과,"7,822,000"
,,국제통상전공,"6,862,000"
,,기계공학과,"9,270,000"
,,기초과학부,"8,676,000"
,,나노화학전공,"7,916,000"
,,노어러시아학과,"7,622,000"
,,동북아학과,"7,622,000"
,,모바일소프트웨어전공,0
,,무도경찰경호학부,"7,916,000"
,,무도경호학과,"8,676,000"
,,문화콘텐츠학과,"7,622,000"
,,물리치료학과,"9,270,000"
,,법학과,"7,622,000"
,,사회복지학과,"7,622,000"
,,산업경영공학과,"9,270,000"
,,상담ㆍ산업심리학과,"7,622,000"
,,생명화학공학과,"9,270,000"
,,서비스경영전공,"6,862,000"
,,수산생명의학과,"8,676,000"
,,순결가정문화학과,"7,622,000"
,,스페인어중남미학과,"7,622,000"
,,스포츠과학부,"8,676,000"
,,스포츠과학부(사회체육전공),"7,916,000"
,,스포츠과학부(스포츠보건전공),"7,916,000"
,,시각디자인학과,"9,270,000"
,,식품과학과,"8,676,000"
,,신문방송학전공,"7,062,000"
,,신소재공학과,"9,270,000"
,,언론광고학부,"7,822,000"
,,역사학과,"7,622,000"
,,영어학과,"7,622,000"
,,응급구조학과,"9,270,000"
,,의생명과학과,"8,676,000"
,,일어일본학과,"7,622,000"
,,전자공학과,"9,270,000"
,,정보디스플레이학과,"9,270,000"
,,정보수학전공,"7,916,000"
,,정보통신공학과,"9,270,000"
,,제약공학과,"9,270,000"
,,중어중국학과,"7,622,000"
,,치위생학과,"9,270,000"
,,컴퓨터공학과,"9,270,000"
,,컴퓨터공학전공,0
,,토목공학과,"9,270,000"
,,통일신학과,"7,672,000"
,,하이브리드공학과,"9,270,000"
,,한국언어문화학과,"7,622,000"
,,행정학과,"7,622,000"
,,환경공학과,"9,270,000"
,성결대학교,경영학부,"7,512,000"
,,국어국문학과,"7,512,000"
,,도시계획부동산학부,"7,512,000"
,,멀티미디어공학부,"9,260,000"
,,뷰티디자인학부,"10,150,000"
,,사회복지학부,"7,512,000"
,,산업경영공학부,"9,260,000"
,,신학부,"7,512,000"
,,연극영화학부,"10,150,000"
,,영어영문학과,"7,512,000"
,,유아교육과,"7,512,000"
,,유통물류학부,"7,512,000"
,,음악학부,"10,150,000"
,,일어일문학과,"7,512,000"
,,정보통신공학부,"9,260,000"
,,중어중문학과,"7,512,000"
,,지역사회과학부,"7,512,000"
,,체육교육과,"9,260,000"
,,컴퓨터공학부,"9,260,000"
,,한국학부,"6,662,000"
,,행정학부,"7,512,000"
,성공회대학교,경영학부,"7,546,000"
,,글로컬IT학과,"8,592,000"
,,디지털컨텐츠학과,"8,592,000"
,,멀티미디어시스템공학과,"8,592,000"
,,사회과학부,"7,546,000"
,,사회복지학과,"7,546,000"
,,소프트웨어공학과,"8,592,000"
,,신문방송학과,"7,764,000"
,,신학과,"7,546,000"
,,영어학과,"7,546,000"
,,일어일본학과,"7,546,000"
,,정보통신공학과,"8,592,000"
,,중어중국학과,"7,546,000"
,성균관대학교,건축공학과,"9,114,000"
,,건축학과,"10,058,000"
,,경영학과,"7,900,000"
,,경제학과,"6,956,000"
,,고분자시스템공학과,"9,114,000"
,,공학계열,"10,058,000"
,,교육학과,"7,900,000"
,,국어국문학과,"6,956,000"
,,글로벌경영학과,"11,986,000"
,,글로벌경제학과,"10,622,000"
,,글로벌리더학부,"9,262,000"
,,기계공학부,"9,114,000"
,,독어독문학과,"6,956,000"
,,디자인학과,"10,058,000"
,,러시아어문학과,"6,956,000"
,,무용학과,"10,058,000"
,,문헌정보학과,"6,956,000"
,,물리학과,"8,070,000"
,,미술학과,"10,058,000"
,,바이오메카트로닉스학과,"9,114,000"
,,사학과,"6,956,000"
,,사회과학계열,"7,900,000"
,,사회복지학과,"6,956,000"
,,사회학과,"6,956,000"
,,사회환경시스템공학과,"9,114,000"
,,생명과학과,"8,070,000"
,,소비자가족학과,"6,956,000"
,,소프트웨어학과,"10,058,000"
,,수학과,"8,070,000"
,,수학교육과,"9,014,000"
,,스포츠과학과,"9,014,000"
,,시스템경영공학과,"9,114,000"
,,식품생명공학과,"9,114,000"
,,신문방송학과,"6,956,000"
,,신소재공학부,"9,114,000"
,,심리학과,"6,956,000"
,,아동・청소년학과,"6,956,000"
,,약학과,"10,296,000"
,,연기예술학과,"10,058,000"
,,영상학과,"10,058,000"
,,영어영문학과,"6,956,000"
,,유전공학과,"9,114,000"
,,유학・동양학과,"6,956,000"
,,의상학과,"10,058,000"
,,의예과,"12,076,000"
,,의학과,"11,338,000"
,,인문과학계열,"7,900,000"
,,자연과학계열,"9,014,000"
,,전자전기공학부,"10,058,000"
,,정치외교학과,"6,956,000"
,,조경학과,"9,114,000"
,,중어중문학과,"6,956,000"
,,철학과,"6,956,000"
,,컴퓨터공학과,"10,058,000"
,,컴퓨터교육과,"9,014,000"
,,통계학과,"6,956,000"
,,프랑스어문학과,"6,956,000"
,,한문교육과,"7,900,000"
,,한문학과,"6,956,000"
,,행정학과,"6,956,000"
,,화학공학부,"9,114,000"
,,화학과,"8,070,000"
,성신여자대학교,IT학부,"9,064,000"
,,가족소비자학과,0
,,간호학과,"9,064,000"
,,경영학과,"7,592,000"
,,경제학과,"7,592,000"
,,공예과,"10,408,000"
,,교육학과,"7,592,000"
,,국어국문학과,"7,592,000"
,,글로벌의과학과,"9,618,000"
,,기악과,"10,604,000"
,,독어독문학과,"7,592,000"
,,동양화과,"10,408,000"
,,메이크업디자인학과,"10,408,000"
,,무용예술학과,"10,604,000"
,,문화예술경영학과,"8,326,000"
,,미디어영상연기학과,"10,604,000"
,,미디어커뮤니케이션학과,"8,326,000"
,,법학과,"7,592,000"
,,복지학과,0
,,불어불문학과,"7,592,000"
,,사학과,"7,592,000"
,,사회교육과,"7,592,000"
,,사회복지학과,"8,326,000"
,,산업디자인과,"10,408,000"
,,생명과학・화학부,"9,064,000"
,,생활문화소비자학과,"8,326,000"
,,서양화과,"10,408,000"
,,성악과,"10,604,000"
,,수학과,"8,326,000"
,,스포츠레저학과,"9,064,000"
,,식품영양학과,"9,064,000"
,,심리학과,"7,592,000"
,,영어영문학과,"7,592,000"
,,운동재활복지학과,"9,064,000"
,,유아교육과,"7,592,000"
,,윤리교육과,"7,592,000"
,,융합보안학과,"8,326,000"
,,의류학과,"9,064,000"
,,일어일문학과,"7,592,000"
,,자율전공학부(인문.사회),"7,394,000"
,,자율전공학부(자연),"7,394,000"
,,작곡과,"10,604,000"
,,정치외교학과,"7,592,000"
,,조소과,"10,408,000"
,,중어중문학과,"7,592,000"
,,지리학과,"7,592,000"
,,청정융합과학과,"9,064,000"
,,통계학과,"8,326,000"
,,한문교육과,"7,592,000"
,,현대실용음악학과,"10,604,000"
,세명대학교,간호학과,"8,380,000"
,,건축공학과,"8,380,000"
,,경상학부,"6,806,000"
,,경영학과,"6,096,000"
,,경찰행정학과,"6,096,000"
,,경찰행정학부,"6,806,000"
,,관광경영학과,"6,806,000"
,,광고홍보학과,"6,806,000"
,,국제통상학과,"6,096,000"
,,미디어문학부,"6,806,000"
,,미디어창작학과,"6,096,000"
,,바이오환경공학과,"8,380,000"
,,방송연예학과,"8,380,000"
,,법학과,"6,806,000"
,,보건안전공학과,"8,380,000"
,,부동산학과,"6,806,000"
,,사회복지학과,"6,806,000"
,,산업디자인학과,"8,380,000"
,,생활체육학부,"8,380,000"
,,소방방재학과,"6,806,000"
,,시각디자인학과,"8,380,000"
,,실내디자인학과,"8,380,000"
,,영어학과,"6,806,000"
,,외식경영학과,"6,806,000"
,,일본어학과,"6,806,000"
,,임상병리학과,"8,380,000"
,,자연약재과학과,"7,662,000"
,,작업치료학과,"8,380,000"
,,전기공학과,"8,380,000"
,,전자공학과,"8,380,000"
,,전자상거래학과,"6,806,000"
,,정보통신학부,"7,662,000"
,,중국어학과,"6,806,000"
,,컴퓨터학부,"7,662,000"
,,토목공학과,"8,380,000"
,,패션디자인학과,"8,380,000"
,,한국어문학과,"6,096,000"
,,한방식품영양학부,"7,662,000"
,,한의예과,"9,694,000"
,,한의학과,"8,984,000"
,,행정학과,"6,096,000"
,,호텔경영학과,"6,806,000"
,,호텔관광학부,"6,096,000"
,,회계학과,"6,096,000"
,세종대학교,건설환경공학과,"9,584,000"
,,건축공학부,"9,584,000"
,,건축공학전공,"8,594,000"
,,건축공학전공/건축공학부,0
,,건축학전공,"8,594,000"
,,건축학전공/건축공학부,0
,,경영학부,"7,244,000"
,,경영학전공,"6,254,000"
,,경제통상학과,"7,244,000"
,,공간정보공학과,"9,584,000"
,,관광경영전공,"6,254,000"
,,광전자공학과,"9,584,000"
,,광전자공학전공,0
,,교육학과,"7,244,000"
,,국어국문학과,"7,244,000"
,,기계공학전공,"8,594,000"
,,기계항공우주공학부,"9,584,000"
,,나노공학전공/나노신소재공학부,"8,594,000"
,,나노신소재공학과,"9,584,000"
,,나노신소재공학부,0
,,디지털콘텐츠전공,"8,594,000"
,,디지털콘텐츠학과,"9,584,000"
,,만화애니메이션학과,"9,658,000"
,,무용과,"9,658,000"
,,물리학과,"8,434,000"
,,물리학전공/물리천문,"7,444,000"
,,바이오자원공학과,"9,584,000"
,,분자생물학과,"9,584,000"
,,분자생물학부/생명과학대학,0
,,분자생물학전공,"7,827,300"
,,분자생물학전공/분자생물학부,0
,,산업디자인학과,"9,658,000"
,,생명공학과,"9,584,000"
,,생명공학부/생명과학대학,0
,,생명공학전공,"8,594,000"
,,생명공학전공/생명공학부,0
,,수학전공,"7,444,000"
,,수학전공/수학통계학부,0
,,수학통계학부,"8,434,000"
,,식품공학과,"9,584,000"
,,식품공학부/생명과학대학,0
,,식품공학전공,"8,594,000"
,,식품공학전공/식품공학부,0
,,신문방송학과,"7,244,000"
,,신소재공학전공,"8,594,000"
,,신소재공학전공/나노신소재공학부,0
,,에너지자원공학과,"9,584,000"
,,역사학과,"7,244,000"
,,영어영문학과,"7,244,000"
,,영화예술학과,"9,658,000"
,,외식경영전공,"6,254,000"
,,원자력공학과,"9,584,000"
,,음악과,"9,658,000"
,,응용통계학전공/수학통계학부,"7,444,000"
,,일어일문학과,"7,244,000"
,,자유전공학부,"7,244,000"
,,전자공학과,"9,584,000"
,,전자공학전공,0
,,정보보호학과,"9,584,000"
,,정보통신공학과,"9,584,000"
,,정보통신공학전공,0
,,중국통상학과,"7,244,000"
,,중국학과,"6,254,000"
,,지구정보공학과,"8,594,000"
,,지구정보공학전공,0
,,지구환경과학과,0
,,천문우주학과,"8,434,000"
,,천문우주학전공/물리천문학부,"7,444,000"
,,체육학과,"8,434,000"
,,컴퓨터공학과,"9,584,000"
,,컴퓨터공학전공,"8,594,000"
,,토목환경공학과,0
,,토목환경공학전공/토목,0
,,패션디자인학과,"9,658,000"
,,항공우주공학전공,"8,594,000"
,,행정학과,"7,244,000"
,,호텔경영전공,"6,254,000"
,,호텔관광경영학부,0
,,호텔관광외식경영학부,"7,244,000"
,,화학과,"8,434,000"
,,환경에너지융합학과,"8,434,000"
,,회화과,"9,658,000"
,세한대학교,간호학과,"6,978,000"
,,경영정보학과,"5,080,000"
,,경영학과,"5,803,000"
,,경영한국어학과,"5,224,600"
,,경찰학부,"5,195,700"
,,경찰행정학과,"5,803,000"
,,경호・무도학부,"6,214,000"
,,경호무도비서학과,"6,937,000"
,,골프경영학과,"6,811,700"
,,관광영어학과,"5,224,600"
,,관광외국어학과,"5,803,000"
,,관광외국어학부,"5,152,300"
,,관광중국어학과,"5,224,600"
,,관광한국어학과,"5,224,600"
,,국제한국어교육학과,"5,224,600"
,,기술교육과,"6,978,000"
,,디자인학과,"7,418,300"
,,디자인학부,"6,946,000"
,,레저ㆍ체육학부,"6,402,000"
,,레저산업학부,"6,946,000"
,,만화애니메이션학과,"7,446,800"
,,물리치료학과,"6,985,400"
,,뮤지컬학과,"7,481,000"
,,복지상담학과,"5,268,000"
,,사회복지상담학과,"5,803,000"
,,사회복지학과,"5,205,300"
,,생활체육학과,"6,214,000"
,,소방대학,0
,,소방행정학과,"5,747,700"
,,수학교육과,"6,594,000"
,,시각디자인학과,"6,859,200"
,,실용음악학과,"7,467,200"
,,실용음악학부,"6,890,700"
,,안경광학과,"6,978,000"
,,언어치료청각학과,"6,978,000"
,,영어교육과,"6,070,000"
,,유아교육과,"6,070,000"
,,음악・뮤지컬학과,"6,758,000"
,,음악학과,"7,469,900"
,,인문사회대학,"5,080,000"
,,인테리어디자인학과,"6,867,700"
,,작업치료학과,"6,978,000"
,,전통연희학과,"7,434,000"
,,제품디자인학과,"6,867,700"
,,조형문화과,"7,434,000"
,,체육학부,"6,937,000"
,,컴퓨터교육과,"6,978,000"
,,컴퓨터응용기술학과,"6,875,500"
,,태권도학과,"6,214,000"
,,특수교육과,"6,376,000"
,,한・중교류대학,0
,,한중아세안대학 예능계열,"7,481,000"
,,한중아세안대학 인문사회계열,"5,803,000"
,,해양레저선박학과,"6,758,000"
,,해양레저스포츠학과,"6,214,000"
,,해양레저학과,"6,937,000"
,송원대학교,간호학과,"7,450,000"
,,건축공학과,"6,578,000"
,,공간환경시스템공학과,"5,988,000"
,,국방공무원과,"6,100,000"
,,금융세무경영학과,"6,100,000"
,,기계자동차공학과,"6,593,000"
,,뷰티예술학과,"6,900,000"
,,사회복지학과,"6,100,000"
,,사회체육학과,"6,900,000"
,,상담심리학과,"6,100,000"
,,식품영양학과,"6,900,000"
,,실용예술학과,"6,900,000"
,,언어재활심리학과,"6,900,000"
,,유아교육과,"6,100,000"
,,재활건강학과,"6,900,000"
,,전기전자공학과,"6,593,000"
,,철도운수경영학과,"6,100,000"
,,치위생학과,"7,450,000"
,,컴퓨터정보학과,"6,578,000"
,,토목공학과,"6,698,000"
,,항공서비스학과,"6,100,000"
