기준년도,학교,학과,등록금
,,생명공학전공,8576000
,,사회학전공,6338000
,,사회복지학전공,6338000
,,사회과학부,7218000
,,분자생물학전공,7596000
,,법학전공,6338000
,,법학부,7218000
,가톨릭대학교 _제2캠퍼스,간호학과,8940000
,,의학과,10740000
,가톨릭대학교 _제3캠퍼스,신학과,7218000
,감리교신학대학교,신학과,5796000
,,종교철학전공,5796000
,,종교철학과,5796000
,,신학전공,5796000
,,신학부,6624000
,,기독교교육학전공,5796000
,,기독교교육학과,5796000
,강남대학교,유아교육과,7666000
,,음악학과,9976000
,,음악학전공,9086000
,,응용수학과,9976000
,,자율전공학부,7666000
,,전자ㆍ시스템정보공학부,9086000
,,전자공학과,9976000
,,제1대학 자율전공계열,6776000
,,제2대학 자율전공계열,6776000
,,제3대학 자율전공계열,9086000
,,중국실용지역학과,7666000
,,중국실용지역학부,6776000
,,중국어ㆍ문화학부,6776000
,,중국어문화학과,7666000
,,중등특수교육과,7666000
,,철학과,7666000
,,초등특수교육과,7666000
,,컴퓨터미디어공학부,9086000
,,컴퓨터미디어정보공학부,9976000
,,특수교육과,6776000
,,행정학과,7666000
,,회화ㆍ디자인학부,9976000
,,회화전공,9086000
,,영문학과,7666000
,,실버산업학부,7666000
,,인문학부,6776000
,,건축공학과,9976000
,,경영학부,7666000
,,경제통상학부,6776000
,,경제학과,7666000
,,공과대학자율전공학부,9976000
,,교육학과,7666000
,,국어국문학과,7666000
,,국제지역학부,7666000
,,국제통상학과,7666000
,,국제학부,6776000
,,도시건축공학부,9086000
,,도시공학과,9976000
,,독일바이마르학부,13982000
,,신학부,6776000
,,신학과,7666000
,,세무학과,7666000
,,산업시스템공학과,9976000
,,사회체육학과,8850000
,,사회복지학부,7666000
,,사회과학부,6776000
,,부동산학과,7666000
,,부동산ㆍ세무학부,6776000
,,법학과,7666000
,,문헌정보학과,7666000
,강서대학교,미용예술경영학과,0
,,음악학부,9385500
,,웨딩플레너경영학과,0
,,외국어인문학부,7324000
,,신학부,7324000
,,사회복지학부,7324000
,,사회복지학과,0
,,복지행정학과,0
,,경영학부,7839000
,강원대학교,정보통계학과,4302000
,,불어불문학과,3843000
,,사학과,3843000
,,사학철학과군,3658700
,,사회학과,3843000
,,산림경영・조경학부,4487300
,,산림경영학과,4698000
,,산림경영학전공,4487300
,,산림바이오소재공학과,4698000
,,산림자원보호학전공,4487300
,,산림자원조성학전공,4487300
,,산림자원학과,4698000
,,산림자원학부,4487300
,,산림환경보호학과,4698000
,,산업공학과,4926000
,,생명건강공학전공,4698000
,,생명과학과,4698000
,,생명과학부,4487300
,,생물공학과,4926000
,,생물산업공학전공,4487300
,,생물소재공학전공,4671700
,,생물자원공학부,4487300
,,생물학전공,4487300
,,생화학과,4698000
,,생화학전공,4487300
,,분자생명과학전공,4698000
,,분자생명과학과,4487300
,,독어독문학과,3843000
,,동물생명공학과,4673500
,,동물생명시스템전공,4487300
,,동물생명시스템학과,4698000
,,동물생명자원학부,4487300
,,동물식품・동물생명공학과군,4487300
,,동물식품응용과학과,4673500
,,동물자원과학과,4698000
,,동물자원과학전공,4487300
,,디자인학과,5120500
,,메카트로닉스전공,4739300
,,무역학전공,3658700
,,무용학과,5120500
,,문화인류학과,3843000
,,물리학과,4673500
,,물리화학과군,4487300
,,미술학과,5120500
,,바이오산업공학부,4698000
,,바이오시스템공학과,4698000
,,바이오자원환경학과,4698000
,,법학부,3646000
,,법학전공,3646000
,,부동산학과,3843000
,,분자・의생명공학전공,4487300
,,수리정보학부,4094700
,,수의예과,4922000
,,수의학과,6190000
,,의생명공학전공,4698000
,,일반사회교육과,3843000
,,일본학과,3843000
,,임산공학과,4487300
,,임산제지공학과군,4487300
,,자원생물환경학과,4487300
,,자유전공계열,3658700
,,전기전자공학부,4739300
,,전기전자공학전공,4929300
,,전자공학전공,4952000
,,전자통신공학전공,4929300
,,지질.지구물리학과군,4487300
,,정보통계학전공,4094700
,,정치외교・신문방송학과군,3658700
,,정치외교학과,3843000
,,제지공학과,4673500
,,조경학과,4698000
,,조경학전공,4487300
,,중어중문학과,3843000
,,지구물리학과,4673500
,,지구시스템공학전공,4739300
,,지구환경공학부,4739300
,,지리교육과,3843000
,,지역건설 ・ 생물산업공학부,4487300
,,응용생물학전공,4487300
,,응용생물학과,4698000
,,수학과,4302000
,,수학교육과,4280000
,,수학전공,4094700
,,스토리텔링학과,3843000
,,스포츠과학부,4925500
,,시스템면역과학전공,4698000
,,식물생명공학전공,4487300
,,식물자원응용공학과,4698000
,,식물자원응용공학전공,4487300
,,식품생명공학전공,4676600
,,신문방송학과,3843000
,,신소재공학과,4926000
,,심리사회문화인류학과군,3658700
,,심리학과,3843000
,,약학과,4856000
,,에너지.자원공학과,4952000
,,역사교육과,3843000
,,영상문화학과,3843000
,,영어교육과,3843000
,,영어영문학과,3843000
,,원예.자원생물환경화학과군,4487300
,,원예학과,4673500
,,윤리교육과,3843000
,,음악학과,5120500
,,농업자원경제학과,3843000
,,기계의용공학과,4926000
,,기계메카트로닉스공학부,4739300
,,지질학과,4673500
,,철학과,3843000
,,컴퓨터과학전공,4677800
,,컴퓨터정보통신공학전공,4754400
,,컴퓨터학부,4487300
,,토목공학과,4926000
,,한문교육과,3843000
,,행정부동산학과군,3658700
,,행정학과,3843000
,,화학공학과,4926000
,,화학과,4673500
,,환경공학과,4952000
,,환경공학전공,4739300
,,환경과학과,4673500
,,회계학과,3862000
,,회계학전공,3658700
,,지역건설공학과,4698000
,,BT특성화학부(대학) 생명공학부,4487300
,,가정교육과,4673500
,,간호학과,4673500
,,기계메카트로닉스공학과,4952000
,,국제무역학과,3862000
,,국어국문학과,3843000
,,국어교육과,3843000
,,교육학과,3843000
,,관광경영학전공,3658700
,,관광경영학과,3862000
,,과학교육학부,4673500
,,경제학전공,3658700
,,경제학과,3862000
,,경제무역학부,3658700
,,경영학전공,3658700
,,경영학과,3862000
,,경영관광회계학부,3658700
,,건축학전공,4876800
,,건축학부,4926000
,,건축공학전공,4926000
,강원대학교 _제2캠퍼스,재료금속공학과,4952000
,,재난관리공학전공,4926000
,,작업치료학과,4698000
,,자동화기계전공,4774000
,,자동차공학전공,4739300
,,자동차공학과,4952000
,,일본어학전공,3646000
,,일본어학과,3862000
,,응급구조학과,4772000
,,유아교육과,3862000
,,영유아보육학과,3646000
,,영미언어문화학과,3862000
,,영미언어문화전공,3646000
,,에너지・자원공학전공,4739300
,,에너지.자원공학과,4952000
,,재료금속공학전공,4722000
,,전기공학과,4952000
,,환경방재공학전공,4774000
,,환경공학과,4952000
,,화학공학전공,4739300
,,화학공학과,4952000
,,행정학과,3862000
,,토목공학전공,4739300
,,토목공학과,4952000
,,컴퓨터공학과,4926000
,,치위생학과,4698000
,,지역경제학과,3843000
,,제어계측공학전공,4739300
,,제어계측공학과,4952000
,,정보통신공학전공,4926000
,,전자공학전공,4926000
,,전기공학전공,4739300
,,안경광학과,4698000
,,실내가구디자인학과,5024000
,,메카트로닉스공학과,4952000
,,레저스포츠학과,4925500
,,도예디자인학과,4670000
,,기계공학전공,4739300
,,기계공학과,4952000
,,관광학과,3843000
,,공공행정학과,3684000
,,공공정책학과,3608000
,,건축학과(5),4810400
,,건축공학전공,4739300
,,건축공학과,4952000
,,건설방재공학전공,4722000
,,건설방재공학과,4952000
,,간호학과,4698000
,,CAD/CAM전공,4722000
,,메카트로닉스전공,4670000
,,문화상품디자인학과,5082700
,,신소재공학전공,4739300
,,신소재공학과,4952000
,,식품영양학과,4772000
,,시각멀티미디어디자인학과,5024000
,,소방방재공학전공,4926000
,,생약자원개발학과,4772000
,,산업디자인학과,5024000
