기준년도,학교,계열,재적학생수,중도탈락학생수,중도탈락비율_재계산
2011,덕성여자대학교,인문사회계열,4296,116,2.7
2011,덕성여자대학교,자연과학계열,1569,75,4.78
2011,동국대학교,공학계열,4591,124,2.7
2011,동국대학교,예체능계열,860,21,2.44
2011,동국대학교,의학계열,24,0,0
2011,동국대학교,인문사회계열,12523,267,2.13
2011,동국대학교,자연과학계열,2585,60,2.32
2011,동국대학교(WISE) _분교,공학계열,1717,82,4.78
2011,동국대학교(WISE) _분교,기타,131,6,4.58
2011,동국대학교(WISE) _분교,예체능계열,694,32,4.61
2011,동국대학교(WISE) _분교,의학계열,1028,6,0.58
2011,동국대학교(WISE) _분교,인문사회계열,7630,384,5.03
2011,동국대학교(WISE) _분교,자연과학계열,1155,49,4.24
2011,동덕여자대학교,공학계열,672,25,3.72
2011,동덕여자대학교,예체능계열,2204,86,3.9
2011,동덕여자대학교,의학계열,341,8,2.35
2011,동덕여자대학교,인문사회계열,4531,163,3.6
2011,동덕여자대학교,자연과학계열,769,32,4.16
2011,동명대학교,공학계열,6531,588,9
2011,동명대학교,예체능계열,1267,132,10.42
2011,동명대학교,의학계열,93,1,1.08
2011,동명대학교,인문사회계열,4171,349,8.37
2011,동명대학교,자연과학계열,394,34,8.63
2011,동명정보대학교,공학계열,795,83,10.44
2011,동명정보대학교,예체능계열,190,24,12.63
2011,동명정보대학교,인문사회계열,508,32,6.3
2011,동서대학교,공학계열,4066,293,7.21
2011,동서대학교,예체능계열,3705,266,7.18
2011,동서대학교,의학계열,407,6,1.47
2011,동서대학교,인문사회계열,7221,416,5.76
2011,동서대학교,자연과학계열,807,63,7.81
2011,동신대학교,공학계열,1981,161,8.13
2011,동신대학교,예체능계열,853,106,12.43
2011,동신대학교,의학계열,1165,22,1.89
2011,동신대학교,인문사회계열,4099,327,7.98
2011,동신대학교,자연과학계열,1168,59,5.05
2011,동아대학교,공학계열,7949,216,2.72
2011,동아대학교,예체능계열,2996,99,3.3
2011,동아대학교,의학계열,470,9,1.91
2011,동아대학교,인문사회계열,12691,244,1.92
2011,동아대학교,자연과학계열,4171,88,2.11
2011,동양대학교,공학계열,2290,152,6.64
2011,동양대학교,예체능계열,469,57,12.15
2011,동양대학교,의학계열,65,1,1.54
2011,동양대학교,인문사회계열,3263,191,5.85
2011,동양대학교,자연과학계열,244,23,9.43
2011,동의대학교,공학계열,7838,476,6.07
2011,동의대학교,예체능계열,1589,98,6.17
2011,동의대학교,의학계열,835,13,1.56
2011,동의대학교,인문사회계열,11049,501,4.53
2011,동의대학교,자연과학계열,2661,141,5.3
2011,루터대학교,예체능계열,81,12,14.81
2011,루터대학교,인문사회계열,536,55,10.26
2011,루터대학교,자연과학계열,107,4,3.74
2011,명지대학교,공학계열,5642,240,4.25
2011,명지대학교,예체능계열,1737,89,5.12
2011,명지대학교,인문사회계열,865,42,4.86
2011,명지대학교,자연과학계열,2912,125,4.29
2011,명지대학교 _제2캠퍼스,예체능계열,205,4,1.95
2011,명지대학교 _제2캠퍼스,인문사회계열,10407,381,3.66
2011,목원대학교,공학계열,3375,220,6.52
2011,목원대학교,기타,582,22,3.78
2011,목원대학교,예체능계열,2462,125,5.08
2011,목원대학교,인문사회계열,6562,389,5.93
2011,목원대학교,자연과학계열,749,47,6.28
2011,목포가톨릭대학교,의학계열,432,5,1.16
2011,목포가톨릭대학교,인문사회계열,167,13,7.78
2011,배재대학교,공학계열,2589,189,7.3
2011,배재대학교,예체능계열,1294,116,8.96
2011,배재대학교,의학계열,21,0,0
2011,배재대학교,인문사회계열,7822,440,5.63
2011,배재대학교,자연과학계열,1921,135,7.03
2011,백석대학교,공학계열,2373,154,6.49
2011,백석대학교,기타,114,12,10.53
2011,백석대학교,예체능계열,2491,137,5.5
2011,백석대학교,의학계열,157,1,0.64
2011,백석대학교,인문사회계열,12893,609,4.72
2011,백석대학교,자연과학계열,382,10,2.62
2011,부산가톨릭대학교,공학계열,896,56,6.25
2011,부산가톨릭대학교,기타,112,2,1.79
2011,부산가톨릭대학교,의학계열,1114,18,1.62
2011,부산가톨릭대학교,인문사회계열,2360,121,5.13
2011,부산가톨릭대학교,자연과학계열,715,19,2.66
2011,부산교육대학교,인문사회계열,2066,17,0.82
2011,부산대학교,공학계열,9682,255,2.63
2011,부산대학교,예체능계열,1629,61,3.74
2011,부산대학교,의학계열,567,2,0.35
2011,부산대학교,인문사회계열,11698,206,1.76
2011,부산대학교,자연과학계열,5828,125,2.14
2011,부산외국어대학교,공학계열,599,28,4.67
2011,부산외국어대학교,예체능계열,242,5,2.07
2011,부산외국어대학교,인문사회계열,11904,501,4.21
2011,부산장신대학교,기타,157,11,7.01
2011,부산장신대학교,인문사회계열,186,6,3.23
2011,삼육대학교,공학계열,754,42,5.57
2011,삼육대학교,기타,253,6,2.37
2011,삼육대학교,예체능계열,1357,69,5.08
2011,삼육대학교,의학계열,492,4,0.81
2011,삼육대학교,인문사회계열,2675,130,4.86
2011,삼육대학교,자연과학계열,1797,83,4.62
2011,상명대학교,공학계열,788,37,4.7
2011,상명대학교,예체능계열,1495,48,3.21
2011,상명대학교,인문사회계열,5514,158,2.87
2011,상명대학교,자연과학계열,1246,39,3.13
2011,상명대학교(천안) _분교,공학계열,1999,101,5.05
2011,상명대학교(천안) _분교,예체능계열,2903,114,3.93
2011,상명대학교(천안) _분교,의학계열,83,3,3.61
2011,상명대학교(천안) _분교,인문사회계열,3059,122,3.99
2011,상명대학교(천안) _분교,자연과학계열,734,36,4.9
2011,상주대학교,공학계열,1451,88,6.06
2011,상주대학교,인문사회계열,567,27,4.76
2011,상주대학교,자연과학계열,870,39,4.48
2011,상지대학교,공학계열,2320,147,6.34
2011,상지대학교,예체능계열,887,45,5.07
2011,상지대학교,의학계열,594,8,1.35
2011,상지대학교,인문사회계열,5039,234,4.64
2011,상지대학교,자연과학계열,2103,144,6.85
2011,서강대학교,공학계열,1883,43,2.28
2011,서강대학교,인문사회계열,8033,110,1.37
2011,서강대학교,자연과학계열,2036,73,3.59
2011,서경대학교,공학계열,2874,193,6.72
2011,서경대학교,예체능계열,1424,104,7.3
2011,서경대학교,인문사회계열,4129,229,5.55
2011,서경대학교,자연과학계열,487,27,5.54
2011,서남대학교,공학계열,99,6,6.06
2011,서남대학교,예체능계열,19,0,0
2011,서남대학교,의학계열,674,19,2.82
2011,서남대학교,인문사회계열,399,27,6.77
2011,서남대학교,자연과학계열,497,23,4.63
2011,서남대학교 _제2캠퍼스,공학계열,189,14,7.41
2011,서남대학교 _제2캠퍼스,의학계열,18,1,5.56
2011,서남대학교 _제2캠퍼스,인문사회계열,1230,113,9.19
2011,서남대학교 _제2캠퍼스,자연과학계열,180,15,8.33
2011,서울과학기술대학교(산업대),공학계열,8645,200,2.31
2011,서울과학기술대학교(산업대),예체능계열,1578,42,2.66
2011,서울과학기술대학교(산업대),인문사회계열,2148,58,2.7
2011,서울과학기술대학교(산업대),자연과학계열,1515,28,1.85
2011,서울교육대학교,인문사회계열,2005,19,0.95
2011,서울기독대학교,기타,107,2,1.87
2011,서울기독대학교,예체능계열,113,14,12.39
2011,서울기독대학교,인문사회계열,441,29,6.58
2011,서울대학교,공학계열,4848,62,1.28
2011,서울대학교,예체능계열,1252,15,1.2
2011,서울대학교,의학계열,1441,10,0.69
2011,서울대학교,인문사회계열,9635,64,0.66
2011,서울대학교,자연과학계열,4221,80,1.9
2011,서울시립대학교,공학계열,4124,74,1.79
2011,서울시립대학교,예체능계열,153,4,2.61
2011,서울시립대학교,인문사회계열,6277,120,1.91
2011,서울시립대학교,자연과학계열,2115,61,2.88
2011,서울신학대학교,기타,539,15,2.78
2011,서울신학대학교,예체능계열,449,18,4.01
2011,서울신학대학교,인문사회계열,1536,74,4.82
2011,서울여자대학교,공학계열,814,35,4.3
2011,서울여자대학교,예체능계열,1142,33,2.89
2011,서울여자대학교,인문사회계열,5573,143,2.57
2011,서울여자대학교,자연과학계열,1878,56,2.98
2011,서울장신대학교,기타,321,11,3.43
2011,서울장신대학교,예체능계열,162,18,11.11
2011,서울장신대학교,인문사회계열,211,4,1.9
2011,서울한영대학교,기타,167,10,5.99
2011,서울한영대학교,예체능계열,88,9,10.23
2011,서울한영대학교,인문사회계열,483,33,6.83
2011,서원대학교,공학계열,1284,94,7.32
2011,서원대학교,예체능계열,1011,79,7.81
2011,서원대학교,의학계열,222,20,9.01
2011,서원대학교,인문사회계열,6172,291,4.71
2011,서원대학교,자연과학계열,672,50,7.44
2011,선교청대학교,예체능계열,36,36,100
2011,선교청대학교,인문사회계열,139,3,2.16
2011,선문대학교,공학계열,3851,279,7.24
2011,선문대학교,예체능계열,482,48,9.96
2011,선문대학교,의학계열,216,8,3.7
2011,선문대학교,인문사회계열,7978,475,5.95
2011,선문대학교,자연과학계열,1573,100,6.36
2011,성결대학교,공학계열,897,55,6.13
2011,성결대학교,예체능계열,491,30,6.11
2011,성결대학교,인문사회계열,4257,221,5.19
2011,성결대학교,자연과학계열,226,14,6.19
2011,성공회대학교,공학계열,829,42,5.07
2011,성공회대학교,기타,151,12,7.95
2011,성공회대학교,인문사회계열,2469,124,5.02
2011,성균관대학교,공학계열,7692,202,2.63
2011,성균관대학교,예체능계열,1647,38,2.31
2011,성균관대학교,의학계열,301,0,0
2011,성균관대학교,인문사회계열,14373,273,1.9
2011,성균관대학교,자연과학계열,3808,149,3.91
2011,성신여자대학교,공학계열,939,25,2.66
2011,성신여자대학교,예체능계열,1780,45,2.53
2011,성신여자대학교,의학계열,403,7,1.74
2011,성신여자대학교,인문사회계열,7048,196,2.78
2011,성신여자대학교,자연과학계열,1635,62,3.79
2011,세명대학교,공학계열,3657,234,6.4
2011,세명대학교,예체능계열,1159,98,8.46
2011,세명대학교,의학계열,922,9,0.98
2011,세명대학교,인문사회계열,6062,279,4.6
2011,세명대학교,자연과학계열,830,46,5.54
2011,세종대학교,공학계열,5712,166,2.91
2011,세종대학교,예체능계열,1794,60,3.34
2011,세종대학교,인문사회계열,5758,167,2.9
2011,세종대학교,자연과학계열,2832,127,4.48
2011,세한대학교,공학계열,358,43,12.01
2011,세한대학교,예체능계열,1983,234,11.8
2011,세한대학교,의학계열,172,1,0.58
2011,세한대학교,인문사회계열,2509,213,8.49
2011,세한대학교,자연과학계열,562,25,4.45
2011,수원가톨릭대학교,기타,242,5,2.07
2011,수원대학교,공학계열,4440,246,5.54
2011,수원대학교,예체능계열,2726,231,8.47
2011,수원대학교,의학계열,30,1,3.33
2011,수원대학교,인문사회계열,5138,255,4.96
2011,수원대학교,자연과학계열,2829,160,5.66
2011,숙명여자대학교,공학계열,615,19,3.09
2011,숙명여자대학교,예체능계열,1729,34,1.97
2011,숙명여자대학교,의학계열,201,5,2.49
2011,숙명여자대학교,인문사회계열,8896,189,2.12
2011,숙명여자대학교,자연과학계열,1818,82,4.51
2011,순복음총회신학교,기타,121,32,26.45
2011,순복음총회신학교,인문사회계열,20,5,25
2011,순천향대학교,공학계열,3628,230,6.34
2011,순천향대학교,예체능계열,708,52,7.34
